source,target,predicate,dossier_id,relationship_id
AF36/YV36 field application,aflatoxin contamination from toxigenic A. flavus populations,suppresses_ecologically,M4-FUNG-0008,R006
MIBiG aflatoxin compound annotation,native AF36 product evidence,does_not_equal,M4-FUNG-0008,R007
BGC0000011,AY092402.3:1-59535,encoded_by,M4-FUNG-0009,R001
SRRC 1432,CBS 550.77 / NRRL 28622 / ATCC 38873,same_strain_as,M4-FUNG-0009,R002
A. ochraceoroseus,sterigmatocystin + aflatoxin B1 + aflatoxin B2,produces,M4-FUNG-0009,R003
A. ochraceoroseus aflR,A. nidulans aflR mutant,complements,M4-FUNG-0009,R004
A. ochraceoroseus aflQ/ordA,BGC0000011,located_outside,M4-FUNG-0009,R005
A. ochraceoroseus aflQ/ordA,A. parasiticus aflQ mutant,complements,M4-FUNG-0009,R006
BGC0000011 architecture,A. nidulans sterigmatocystin cluster,resembles,M4-FUNG-0009,R007
BGC0000012,AB120221.1:1-21971,encoded_by,M4-FUNG-0010,R001
Alt5 / PKSN,alternapyrone,produces,M4-FUNG-0010,R002
alternapyrone,core intermediate / released PKS product rather than proven full-cluster end product,may_be,M4-FUNG-0010,R007
Alt1,cytochrome P450 tailoring,predicted_function,M4-FUNG-0010,R003
Alt2,cytochrome P450 tailoring,predicted_function,M4-FUNG-0010,R004
Alt3,cytochrome P450 tailoring,predicted_function,M4-FUNG-0010,R005
Alt4,FAD/FMN-dependent oxidative tailoring,predicted_function,M4-FUNG-0010,R006
BGC0000012-like clusters,multiple Pleosporalean/Dothideomycete fungi,distributed_across,M4-FUNG-0010,R008
BGC0000013 displayed region,"A. nidulans chromosome IV / BN001304.1:1,099,810–1,145,772",located_on,M4-FUNG-0011,R001
compact functional locus,"BN001304.1:1,119,810–1,127,658",spans,M4-FUNG-0011,R002
PkgA,alternariol/isocoumarin polyketide backbone,synthesizes,M4-FUNG-0011,R003
PkgB,PkgA polyketide product,enables_efficient_release_of,M4-FUNG-0011,R004
PkgA + PkgB direct induction,alternariol + dehydrocitreoisocoumarin + minor isocoumarins,produces,M4-FUNG-0011,R005
nearby putative TF induction,detectable new natural product under tested conditions,fails_to_produce,M4-FUNG-0011,R006
MIBiG historical alternariol structure reference,A. nidulans production,does_not_establish,M4-FUNG-0011,R007
sterigmatocystin-deficient background,induced natural-product discovery,reduces_confounding_for,M4-FUNG-0011,R008
BGC0000022,"AACD01000015.1:109,597–170,464",displayed_on,M4-FUNG-0012,R001
MIBiG locus feature,"AACD01000015.1:111,993–153,232",spans,M4-FUNG-0012,R002
MIBiG locus feature,"cicF/PKS at 139,085–146,905",corresponds_primarily_to,M4-FUNG-0015,R002
functional afo programme,afoA + afoB/afoC/afoD/afoE/afoF/afoG,contains_required,M4-FUNG-0012,R003
AN1030,asperfuranone cluster under ScpR activation,coexpressed_with,M4-FUNG-0012,R004
AN1030,asperfuranone production in deletion assay,not_required_for,M4-FUNG-0012,R005
AfoG,AfoE,supplies_starter_to,M4-FUNG-0012,R006
AfoD deletion,preasperfuranone,accumulates,M4-FUNG-0012,R007
ScpR chromosome-II regulator,AfoA on chromosome VIII,activates_via,M4-FUNG-0012,R008
AfoB,product transport/recovery,supports,M4-FUNG-0012,R009
BGC0000027,KC148521.1:1-80000,encoded_by,M4-FUNG-0013,R001
M. purpureus discovery locus,M. pilosus BGC0000027,homologous_to,M4-FUNG-0013,R002
MpPKS5,Monascus azaphilone pigment backbone,required_for,M4-FUNG-0013,R003
MppR1,MpPKS5 / pigment pathway access,regulates,M4-FUNG-0013,R004
MpFAS2,short-chain C8/C10 acyl moieties for pigment decoration,supplies,M4-FUNG-0013,R005
MppE,yellow ankaflavin/monascin branch,promotes,M4-FUNG-0013,R006
MppG,orange rubropunctatin/monascorubrin branch,promotes,M4-FUNG-0013,R007
mppE overexpression phenotype,culture method,depends_on,M4-FUNG-0013,R008
BGC0000030,"HF679027.1:82,202–128,472 / chromosome V",displayed_on,M4-FUNG-0014,R001
functional bik core,"FFUJ_06742–FFUJ_06747 / 102,202–119,287",spans,M4-FUNG-0014,R002
Bik1,pre-bikaverin polyketide scaffold,produces,M4-FUNG-0014,R003
Bik2,bikaverin pathway intermediates,oxidizes,M4-FUNG-0014,R004
Bik3,bikaverin pathway intermediates,methylates,M4-FUNG-0014,R005
Bik4,bik1/bik2/bik3 expression,positively_regulates,M4-FUNG-0014,R006
Bik5,bik1/bik4/bik6 and pathway output,positively_regulates,M4-FUNG-0014,R007
Bik6,bikaverin export/recovery,supports,M4-FUNG-0014,R008
PacC,alkaline pH,represses_under,M4-FUNG-0014,R009
high nitrogen,bik1–bik6 transcription,represses,M4-FUNG-0014,R010
high nitrogen,FUS transcription and fusarin production,activates,M4-FUNG-0023,R008
ralsolamycin,bik1/bik2/bik3 transcription and bikaverin production,induces,M4-FUNG-0014,R011
bikaverin,Ralstonia invasion frequency in chlamydospores,reduces,M4-FUNG-0014,R012
BGC0000037 display region,"BN001301.1 chromosome I:119,085–166,905",located_on,M4-FUNG-0015,R001
CicF,3-methylorsellinic acid scaffold,produces,M4-FUNG-0015,R003
CicB deletion,3-methylorsellinic acid,accumulates,M4-FUNG-0015,R004
CicC deletion,nidulol,accumulates,M4-FUNG-0015,R005
CicD,cichorine pathway and derivative production,positively_regulates,M4-FUNG-0015,R006
CicG,cichorine production under YES deletion assay,not_required_for,M4-FUNG-0015,R007
cichorine-derived precursor,aspercryptin assembled by separate BGC,contributes_to,M4-FUNG-0015,R008
acidified extraction,otherwise missed ionizable pathway intermediates,reveals,M4-FUNG-0015,R009
local cic cluster,lactone-to-lactam conversion,likely_requires_extra_cluster_function_for,M4-FUNG-0015,R010
MlcA,compactin nonaketide core,builds,M4-FUNG-0016,R001
MlcG,MlcA reductive programming,partners_with,M4-FUNG-0016,R002
MlcB,compactin diketide side chain,synthesizes,M4-FUNG-0016,R003
MlcH,diketide side chain + ML-236A → compactin,couples,M4-FUNG-0016,R004
MlcR,mlc biosynthetic genes,positively_regulates,M4-FUNG-0016,R005
MlcD,compactin target resistance,confers,M4-FUNG-0016,R006
MlcE,compactin efflux/self-resistance,predicted_to_support,M4-FUNG-0016,R007
BGC0000045,JX971534.1:1-31000,encoded_by,M4-FUNG-0017,R001
AtCURS1,AtCURS2,supplies_starter_to,M4-FUNG-0017,R002
AtCURS2,"10,11-dehydrocurvularin",produces_with_AtCURS1,M4-FUNG-0017,R003
CurR,dehydrocurvularin locus,predicted_to_regulate,M4-FUNG-0017,R004
CurE,dehydrocurvularin,predicted_to_export,M4-FUNG-0017,R005
AtCURS1 + AtCURS2,heterologous final-product formation,sufficient_for,M4-FUNG-0017,R006
starter-unit feeding,AtCURS1 requirement experimentally,bypasses,M4-FUNG-0017,R007
A. terreus NIH2624,producer-strain curS1/curS2 orthologs,lacks,M4-FUNG-0017,R008
BGC0000046,FJ977165.1:1–25000,encoded_by,M4-FUNG-0018,R001
DEP6,DEP1–DEP5,positively_regulates,M4-FUNG-0018,R002
DEP5,depudecin polyketide scaffold formation,required_for,M4-FUNG-0018,R003
DEP2,oxidative tailoring toward depudecin,required_for,M4-FUNG-0018,R004
DEP4,oxidative tailoring toward depudecin,required_for,M4-FUNG-0018,R005
DEP3,transport/export of depudecin or related function,predicted_to_support,M4-FUNG-0018,R006
depudecin,cabbage virulence,contributes_to,M4-FUNG-0018,R007
depudecin,Arabidopsis virulence in defining assay,not_required_detectably_for,M4-FUNG-0018,R008
higher temperature 23→30°C,depudecin production,reduces,M4-FUNG-0018,R009
reduced nitrate / ammonium substitution,depudecin production at 23°C,increases_contextually,M4-FUNG-0018,R010
DEP cluster family,horizontal transfer and recurrent partial degeneration across fungi,shows,M4-FUNG-0018,R011
BGC0000048,"DQ149246.3:1–52,829 / pksA mini-cluster",encodes_region,M4-FUNG-0019,R001
dothistromin functional programme,six loci on chromosome 12,distributed_across,M4-FUNG-0019,R002
PksA,de novo dothistromin scaffold synthesis,required_for,M4-FUNG-0019,R003
PksA mutant,downstream precursor-to-dothistromin conversion competence,retains,M4-FUNG-0019,R004
DotA/Ver1 loss,versicolorin A,accumulates,M4-FUNG-0019,R005
DsAflR,multiple physically separated dothistromin loci,coordinates,M4-FUNG-0019,R006
DsLaeA,DsAflR and dothistromin output,negatively_regulates,M4-FUNG-0019,R007
H3K27me3,dispersed chromosome-12 dothistromin genes,represses_or_constrains,M4-FUNG-0019,R008
early exponential state,high dothistromin-gene expression and production,associates_with,M4-FUNG-0019,R009
dothistromin,mesophyll colonization / lesion expansion / sporulation,promotes,M4-FUNG-0019,R010
dothistromin,initial infection and disease-cycle completion,not_required_for,M4-FUNG-0019,R011
chromosome-11 NorB,DsAflR,responds_to,M4-FUNG-0019,R012
BGC0000057 display region,"AACD01000135.1:108,096–154,597",located_on,M4-FUNG-0020,R001
OrsA,orsellinic acid,produces,M4-FUNG-0020,R002
OrsA + OrsB + OrsC,F9775A/F9775B local biosynthesis,required_for,M4-FUNG-0020,R003
OrsB deletion,gerfelin + C10-deoxygerfelin + orsellinic acid,accumulates,M4-FUNG-0020,R004
OrsC deletion,diorcinol + orsellinic acid,accumulates,M4-FUNG-0020,R005
AN7913–AN7915,OA/F9775A/B under targeted-deletion conditions,coinduced_but_not_required_for,M4-FUNG-0020,R006
S. rapamycinicus physical contact,ors transcription and OA/lecanoric acid/F9775 chemistry,induces,M4-FUNG-0020,R007
SAGA/ADA GcnE/AdaB,bacteria-induced ors activation,required_for,M4-FUNG-0020,R008
CclA loss,ors/F9775 programme,derepresses,M4-FUNG-0020,R009
CclA loss,mdp secondary-metabolite locus,derepresses,M4-FUNG-0031,R002
CclA loss,broader higginsianin/secondary-metabolite output,derepresses,M4-FUNG-0451,R004
VeA,ors/F9775 programme,represses_contextually,M4-FUNG-0020,R010
VeA,aflR expression and ST production,supports,M4-FUNG-0039,R007
VeA,ATM1 expression and aflatrem production,positively regulates,M4-FUNG-0072,R003
MvlA overexpression,ΔveA/ΔcclA F9775 activation,suppresses,M4-FUNG-0020,R011
stationary liquid Czapek culture,wild-type OA/F9775 production,enables,M4-FUNG-0020,R012
BGC0000062,AF155773.5,encoded_by,M4-FUNG-0021,R001
Fum21,most FUM biosynthetic genes,positively_regulates,M4-FUNG-0021,R002
Fum1,Fum8 in pathway order,precedes,M4-FUNG-0021,R003
Fum8,Fum6-dependent oxidation,precedes,M4-FUNG-0021,R004
Fum13,C3 carbonyl to C3 hydroxyl,reduces,M4-FUNG-0021,R005
Fum2,C10 hydroxylation/congener class,controls,M4-FUNG-0021,R006
Fum3,final C5 hydroxylation,performs,M4-FUNG-0021,R007
Fum7/Fum10/Fum11/Fum14,tricarballylic ester arms,construct_and_attach,M4-FUNG-0021,R008
Fum18,ceramide-synthase-based FB1 self-protection,confers,M4-FUNG-0021,R009
Fum19,FUM cluster expression and FB1 level,negatively_regulates,M4-FUNG-0021,R010
Fum16,palmitoyl-CoA/ceramide self-protection module,supports,M4-FUNG-0021,R011
FUM15–FUM19,self-protection/regulatory subcluster,form,M4-FUNG-0021,R012
FUM1 loss,fumonisin but not tested maize ear pathogenicity,abolishes,M4-FUNG-0021,R013
BGC0000063,"EU449979.1:1–53,327",encoded_by,M4-FUNG-0022,R001
FoFum8 Val580,predominant C-series fumonisin output,associates_with_and_causes,M4-FUNG-0022,R002
FvFum8 Ala580,predominant B-series fumonisin output,associates_with_and_causes,M4-FUNG-0022,R003
FoFUM8,glycine for FC backbone formation,uses_preferentially,M4-FUNG-0022,R004
FvFUM8,alanine for FB backbone formation,uses_preferentially,M4-FUNG-0022,R005
FUM15,hydroxy-FC1 hydroxylation,not_required_for,M4-FUNG-0022,R006
CPM1,FUM19 at O-1890 cluster edge,adjacent_to,M4-FUNG-0022,R007
O-1890,Dianthus caryophyllus in Korea,isolated_from,M4-FUNG-0022,R008
BGC0000064,"AY604568.1:1–11,857",encoded_by,M4-FUNG-0023,R001
F. verticillioides transcriptional FUS locus,FUS1–FUS9 / FVEG_11086–FVEG_11078,contains,M4-FUNG-0023,R002
Fus1,prefusarin scaffold,produces,M4-FUNG-0023,R003
Fus8,prefusarin C20 and later C20 aldehyde to carboxylate,oxidizes,M4-FUNG-0023,R004
Fus2,2-pyrrolidone ring closure + C15 oxidation + C13–C14 epoxidation,drives,M4-FUNG-0023,R005
Fus9,carboxy-fusarin C to fusarin C,methylates,M4-FUNG-0023,R006
Fus3–Fus7,canonical fusarin C formation in F. fujikuroi,coexpressed_but_not_required_for,M4-FUNG-0023,R007
Ustilago maydis coculture,F. verticillioides FUS1–FUS9 transcription at day 2,induces,M4-FUNG-0023,R009
FvStuA,FUS cluster transcription,positively_regulates,M4-FUNG-0023,R010
BGC0000070,"GU574478.1:1–55,000",encoded_by,M4-FUNG-0024,R001
GsfA,heptaketide benzophenone precursor,produces,M4-FUNG-0024,R002
GsfB,3-OH of benzophenone pathway intermediate,methylates,M4-FUNG-0024,R003
GsfC,9-OH of benzophenone pathway intermediate,methylates,M4-FUNG-0024,R004
GsfI,griseophenone C → griseophenone B,chlorinates,M4-FUNG-0024,R005
GsfF,grisan oxa-spiro scaffold by oxidative phenolic coupling,forms,M4-FUNG-0024,R006
GsfD,5-OH of late grisan intermediate,methylates,M4-FUNG-0024,R007
GsfE,dehydrogriseofulvin → griseofulvin stereospecifically,reduces,M4-FUNG-0024,R008
GsfK,canonical griseofulvin production under tested conditions,not_required_for,M4-FUNG-0024,R009
GsfH,canonical griseofulvin production under tested conditions,not_required_for,M4-FUNG-0024,R010
BGC0000076,EU520417.1 / DSM11931,encoded_by,M4-FUNG-0025,R001
BGC0000076,BGC0000077,near_identical_strain_counterpart_of,M4-FUNG-0026,R002
BGC0000077,BGC0000076,near_identical_strain_counterpart_of,M4-FUNG-0025,R002
BGC0000077,EU520418.1 / DSM11932,encoded_by,M4-FUNG-0026,R001
Hpm8,Hpm3,supplies_reduced_starter_to,M4-FUNG-0025,R003
Hpm8,Hpm3,supplies_reduced_starter_to,M4-FUNG-0026,R003
Hpm3 + Hpm8,DHZ 14-membered resorcylic acid lactone scaffold,produce,M4-FUNG-0025,R004
Hpm3 + Hpm8,DHZ 14-membered resorcylic acid lactone scaffold,produce,M4-FUNG-0026,R004
Hpm5,4-OH of hypothemycin/RAL substrates,methylates,M4-FUNG-0025,R005
Hpm5,4-OH of hypothemycin/RAL substrates,methylates,M4-FUNG-0026,R005
Hpm7,"1′,2′ double bond",epoxidizes,M4-FUNG-0025,R006
Hpm7,"1′,2′ double bond",epoxidizes,M4-FUNG-0026,R006
Hpm1,DHZ-derived RAL side chain,hydroxylates,M4-FUNG-0025,R007
Hpm1,DHZ-derived RAL side chain,hydroxylates,M4-FUNG-0026,R007
Hpm2,"7′,8′ olefin",isomerizes,M4-FUNG-0025,R008
Hpm2,"7′,8′ olefin",isomerizes,M4-FUNG-0026,R008
Hpm6,cis hypothemycin,hypothesized_to_export_selectively,M4-FUNG-0025,R009
Hpm6,cis hypothemycin,hypothesized_to_export_selectively,M4-FUNG-0026,R009
Hpm9,late side-chain alcohol to ketone/enone state,proposed_to_oxidize,M4-FUNG-0025,R010
Hpm9,late side-chain alcohol to ketone/enone state,proposed_to_oxidize,M4-FUNG-0026,R010
BGC0000088,"AH007774.2:1–55,428",encoded_by,M4-FUNG-0027,R001
LovB,BGC0000088/AH007774.2 on AF151722,encoded_separately_from,M4-FUNG-0027,R002
LovC,specific LovB-bound enoyl intermediates,trans_reduces,M4-FUNG-0027,R003
LovB + LovC,dihydromonacolin L scaffold,produce,M4-FUNG-0027,R004
LovG,dihydromonacolin L from LovB,releases,M4-FUNG-0027,R005
LovA,DML acid → monacolin L acid → monacolin J acid,converts,M4-FUNG-0027,R006
LovF,2-methylbutyryl side-chain donor,synthesizes,M4-FUNG-0027,R007
LovD,LovF-bound 2-methylbutyryl group to monacolin J,transfers,M4-FUNG-0027,R008
carbon assimilation limitation,onset of native lovastatin production,associates_with,M4-FUNG-0027,R009
ROS accumulation,lovE/lovF expression and lovastatin production,positively_associates_with_and_regulates,M4-FUNG-0027,R010
cluster HMG-CoA reductase homolog,producer resistance/self-protection,supports,M4-FUNG-0027,R011
BGC0000089,BGC0000088 lovastatin programme,legacy_partial_of,M4-FUNG-0028,R001
AF141925.1,AH007774,replaced_by,M4-FUNG-0028,R002
AF141924.1 + AF141925.1,17-gene lovastatin cluster,historically_encode,M4-FUNG-0028,R003
M4-FUNG-0028,M4-FUNG-0027 / BGC0000088,cross_references,M4-FUNG-0028,R004
BGC0000098,"DQ176595.1:1–45,000",encoded_by,M4-FUNG-0029,R001
MokA,monacolin K core-scaffold biosynthesis,required_for,M4-FUNG-0029,R002
MokE,MokA iterative-PKS execution,trans_reduces/supports,M4-FUNG-0029,R003
MokB,diketide side chain downstream of monacolin J,synthesizes,M4-FUNG-0029,R004
MokF,MokB-derived side chain to monacolin J,predicted_to_transfer,M4-FUNG-0029,R005
MokH,mok cluster transcription and MK output,positively_regulates,M4-FUNG-0029,R006
MokI overexpression,MK output/recovery,increases,M4-FUNG-0029,R007
10 mM glutamate,MK production and mokB–mokI expression,increases,M4-FUNG-0029,R008
temperature shift 30→25°C,MK despite lower biomass,increases,M4-FUNG-0029,R009
MpClr4 inactivation,MK production,increases,M4-FUNG-0029,R010
MpDot1 inactivation,MK production,decreases,M4-FUNG-0029,R011
monacolin K,lovastatin,chemically_identical_to,M4-FUNG-0029,R012
BGC0000099,"HM070047.1:1–8,104",encoded_by,M4-FUNG-0030,R001
functional monascorubrin programme,pks3 + rp1 + rp2 + rp3 + rp4,contains,M4-FUNG-0030,R002
RP1,PKS3-dependent pathway,positively_regulates_inferred,M4-FUNG-0030,R003
PKS3,compound-1/polyketide chromophore branch,produces,M4-FUNG-0030,R004
RP2 + RP3 + RP4,3-oxo-decanoic-acid/fatty-acid branch,required_for,M4-FUNG-0030,R005
pks3 + rp1,citrinin branch,required_for,M4-FUNG-0030,R006
rp2/rp3/rp4,citrinin formation under tested conditions,not_required_for,M4-FUNG-0030,R007
pks3 + rp1–rp4,monascorubrin and ankaflavin,required_for,M4-FUNG-0030,R008
free amino acids,monascorubrin/rubropunctatin after scaffold formation,conjugate_with,M4-FUNG-0030,R009
25°C mold state,diffusible red-pigment programme,supports,M4-FUNG-0030,R010
ten tested neighboring ORFs outside rp1–rp4,visible red-pigment phenotype,not_required_for,M4-FUNG-0030,R011
BGC0000101,"BN001308.1:4,367,684–4,413,245 displayed region",encoded_by,M4-FUNG-0031,R001
MdpG,atrochrysone thioester,synthesizes,M4-FUNG-0031,R003
MdpF,atrochrysone carboxylic acid from MdpG,releases,M4-FUNG-0031,R004
MdpH1/MdpH2,flux toward emodin rather than endocrocin,direct,M4-FUNG-0031,R005
MdpE + MdpA,mdp cluster transcription,activate,M4-FUNG-0031,R006
MdpD,xanthone branch but not monodictyphenone,required_for,M4-FUNG-0031,R007
XptA + XptB,xanthone-pathway intermediates,prenylate,M4-FUNG-0031,R008
XptC,late prenylated precursors to shamixanthone/epishamixanthone,converts,M4-FUNG-0031,R009
AN7999,obvious prenyl-xanthone production under tested conditions,not_required_for,M4-FUNG-0031,R010
prenylated xanthones,Hülle cells during sexual development,accumulate_in,M4-FUNG-0031,R011
Hülle-cell xanthones,sexual structures from arthropod fungivory,protect,M4-FUNG-0031,R012
BGC0000104,"HQ731031.1:1–33,515 displayed region",encoded_by,M4-FUNG-0032,R001
MpaC,5-methylorsellinic acid,produces,M4-FUNG-0032,R002
MpaDE,5-MOA → DHMB → DHMP,converts,M4-FUNG-0032,R003
MpaA,DHMP → FDHMP,farnesylates,M4-FUNG-0032,R004
MpaA,Golgi membrane,localizes_to,M4-FUNG-0032,R011
MpaB,FDHMP side chain → FDHMP-3C,oxidatively_cleaves,M4-FUNG-0032,R005
MpaG,"DMMPA, FDHMP and FDHMP-3C",methylates,M4-FUNG-0032,R006
peroxisomal β-oxidation,methylated prenyl side chain toward MPA-CoA,shortens,M4-FUNG-0032,R007
MpaH,MPA-CoA → MPA,hydrolyzes,M4-FUNG-0032,R008
MpaH,peroxisome,localizes_to,M4-FUNG-0032,R013
MpaF / IMPDH-B,self-resistance to MPA,confers,M4-FUNG-0032,R009
mpaD + mpaE database CDSs,single mpaDE fusion gene,form_native_transcript,M4-FUNG-0032,R010
MpaDE + MpaB,endoplasmic reticulum,localize_to,M4-FUNG-0032,R012
BGC0000107,"BN001302.1:1,116,199–1,162,873 displayed region",encoded_by,M4-FUNG-0033,R001
WA,YWA1,synthesizes,M4-FUNG-0033,R002
wA loss,white conidia,causes,M4-FUNG-0033,R003
YA,yellow YWA1-derived pigment toward green conidial pigment,oxidizes/modifies,M4-FUNG-0033,R004
AbaA,yA transcription,directly_activates,M4-FUNG-0033,R005
FwA,YWA1 independently of YA,modifies_inferred,M4-FUNG-0033,R006
ChaA,FwA-derived pigment branch,acts_downstream_of_inferred,M4-FUNG-0033,R007
wA,"yA, fwA and chaA",epistatic_to,M4-FUNG-0033,R008
fwA,chaA,epistatic_to,M4-FUNG-0033,R009
conidial development,YA/laccase accumulation,induces,M4-FUNG-0033,R010
mature green pigment,conidia against UV damage,protects,M4-FUNG-0033,R011
PatK,6-methylsalicylic acid,synthesizes,M4-FUNG-0034,R001
PatG,6-MSA → m-cresol,decarboxylates,M4-FUNG-0034,R002
PatH,m-cresol → m-hydroxybenzyl alcohol,hydroxylates,M4-FUNG-0034,R003
PatI,m-hydroxybenzyl alcohol → gentisyl alcohol,hydroxylates,M4-FUNG-0034,R004
PatN,isoepoxydon → phyllostine,converts,M4-FUNG-0034,R005
PatF,phyllostine → neopatulin,converts,M4-FUNG-0034,R006
PatD,neopatulin → E-ascladiol,converts,M4-FUNG-0034,R007
PatE,E-ascladiol → patulin,oxidizes,M4-FUNG-0034,R008
PatL,patulin cluster transcription,activates,M4-FUNG-0034,R009
patulin,cultivar-dependent apple aggressiveness,increases,M4-FUNG-0034,R010
BGC0000121,"KC145148.1:1–40,346 displayed region",encoded_by,M4-FUNG-0035,R001
PtaA,emodin-family polyketide scaffold,initiates,M4-FUNG-0035,R002
PtaB/PtaC/PtaD/PtaF,early emodin-family scaffold maturation,support,M4-FUNG-0035,R003
PtaH/PtaI,aromatic pathway intermediates,methylate,M4-FUNG-0035,R004
PtaJ,methylated anthraquinone toward benzophenone state,ring_cleaves,M4-FUNG-0035,R005
PtaM,isosulochrin-like or RES-1214-1 substrate,chlorinates,M4-FUNG-0035,R006
PtaE,benzophenone precursor into diphenyl ether,oxidatively_couples,M4-FUNG-0035,R007
RES-1214-1,pestheic acid / RES-1214-2,can_be_chlorinated_to,M4-FUNG-0035,R008
pestheic acid,RES-1214-2 / dihydromaldoxin,synonym_of,M4-FUNG-0035,R009
pta cluster expression,pestheic-acid production in rice fermentation,associates_with,M4-FUNG-0035,R010
W106-1,Camellia sinensis,endophyte_of,M4-FUNG-0035,R011
Pyr2,HPPO,synthesizes,M4-FUNG-0036,R001
Pyr6,HPPO,farnesylates,M4-FUNG-0036,R002
Pyr5,farnesyl-HPPO,epoxidizes,M4-FUNG-0036,R003
