dossier_id,source_id,source_type_raw,year_raw,title_or_database_raw,doi_or_accession_raw,pmid_raw,url_raw
M4-FUNG-0003,S005,primary research,1995,The Aspergillus parasiticus polyketide synthase gene pksA is required for aflatoxin B1 biosynthesis,10.1007/BF02191593,7565588,https://doi.org/10.1007/BF02191593
M4-FUNG-0003,S006,primary research,1995,Increased expression of Aspergillus parasiticus aflR relieves nitrate inhibition of aflatoxin biosynthesis,10.1128/AEM.61.6.2372-2377.1995,7793958,https://doi.org/10.1128/AEM.61.6.2372-2377.1995
M4-FUNG-0003,S007,primary research,2000,Generation of aflR disruption mutants of Aspergillus parasiticus,10.1007/s002530000319,10919326,https://doi.org/10.1007/s002530000319
M4-FUNG-0003,S008,primary research,2002,Chromosomal location plays a role in regulation of aflatoxin gene expression in Aspergillus parasiticus,10.1128/AEM.68.1.306-315.2002,11772640,https://doi.org/10.1128/AEM.68.1.306-315.2002
M4-FUNG-0003,S009,primary research,2004,Aflatoxin biosynthesis cluster gene cypA is required for G aflatoxin formation,10.1128/AEM.70.11.6518-6524.2004,15528514,https://doi.org/10.1128/AEM.70.11.6518-6524.2004
M4-FUNG-0003,S010,primary research,2002,Characterization of a partial duplication of the aflatoxin gene cluster in Aspergillus parasiticus ATCC 56775,10.1007/s00253-002-0945-4,11956746,https://doi.org/10.1007/s00253-002-0945-4
M4-FUNG-0003,S011,taxonomy database,current,NCBI Taxonomy: Aspergillus parasiticus,TaxID 5067,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=5067
M4-FUNG-0003,S012,primary research,2005,Function of the cypX and moxY genes in aflatoxin biosynthesis in Aspergillus parasiticus,10.1128/AEM.71.6.3192-3198.2005,15933021,https://pubmed.ncbi.nlm.nih.gov/15933021/
M4-FUNG-0003,S013,primary research,2005,An aflatoxin biosynthesis cluster gene encodes a novel oxidase required for conversion of versicolorin A to sterigmatocystin,10.1128/AEM.71.12.8963-8965.2005,16332900,https://pubmed.ncbi.nlm.nih.gov/16332900/
M4-FUNG-0003,S014,primary research,2006,The aflatoxin biosynthesis cluster gene aflX encodes an oxidoreductase involved in conversion of versicolorin A to demethylsterigmatocystin,10.1128/AEM.72.2.1096-1101.2006,16461654,https://pubmed.ncbi.nlm.nih.gov/16461654/
M4-FUNG-0003,S015,primary research,2008,Involvement of the nadA gene in formation of G-group aflatoxins in Aspergillus parasiticus,10.1016/j.fgb.2008.03.003,18486503,https://pubmed.ncbi.nlm.nih.gov/18486503/
M4-FUNG-0003,S016,primary research,2008,Are the genes nadA and norB involved in formation of aflatoxin G1?,10.3390/ijms9091717,19325828,https://pubmed.ncbi.nlm.nih.gov/19325828/
M4-FUNG-0003,S017,primary research,1998,"Characterization of the critical amino acids of an Aspergillus parasiticus cytochrome P-450 monooxygenase encoded by ordA that is involved in the biosynthesis of aflatoxins B1, G1, B2, and G2",10.1128/AEM.64.12.4834-4841.1998,9835571,https://pubmed.ncbi.nlm.nih.gov/9835571/
M4-FUNG-0004,S001,database,2024,MIBiG BGC0000006.3,BGC0000006.3,,https://mibig.secondarymetabolites.org/repository/BGC0000006.3/index.html
M4-FUNG-0004,S002,sequence database,2004,"Aspergillus flavus isolate AF13 aflatoxin biosynthesis gene cluster, complete sequence",AY510451.1,,https://www.ncbi.nlm.nih.gov/nuccore/AY510451.1
M4-FUNG-0004,S003,primary research,1989,Virulence and Cultural Characteristics of Two Aspergillus flavus Strains Pathogenic on Cotton,10.1094/PHYTO-79-808,,https://doi.org/10.1094/PHYTO-79-808
M4-FUNG-0004,S004,primary research,2004,Aflatoxin biosynthesis cluster gene cypA is required for G aflatoxin formation,10.1128/AEM.70.11.6518-6524.2004,15528514,https://doi.org/10.1128/AEM.70.11.6518-6524.2004
M4-FUNG-0004,S005,primary research,2020,Two New Aspergillus flavus Reference Genomes Reveal a Large Insertion Potentially Contributing to Isolate Stress Tolerance and Aflatoxin Production,10.1534/g3.120.401405,32817124,https://doi.org/10.1534/g3.120.401405
M4-FUNG-0004,S006,primary research,2000,Influence of Lipids with and without Other Cottonseed Reserve Materials on Aflatoxin B1 Production by Aspergillus flavus,10.1021/jf0000878,10956158,https://doi.org/10.1021/jf0000878
M4-FUNG-0004,S007,primary research,2002,Time Course Study of Substrate Utilization by Aspergillus flavus in Medium Simulating Corn (Zea mays) Kernels,10.1021/jf011048e,11804543,https://doi.org/10.1021/jf011048e
M4-FUNG-0004,S008,primary research,1993,Competitive Exclusion of a Toxigenic Strain of Aspergillus flavus by an Atoxigenic Strain,10.1094/PHYTO-83-1283,,https://www.apsnet.org/publications/phytopathology/backissues/Documents/1993Articles/Phyto83n12_1283.pdf
M4-FUNG-0004,S009,review/minireview,2004,Clustered pathway genes in aflatoxin biosynthesis,10.1128/AEM.70.3.1253-1262.2004,15006741,https://doi.org/10.1128/AEM.70.3.1253-1262.2004
M4-FUNG-0004,S010,taxonomy database,current,NCBI Taxonomy: Aspergillus flavus,TaxID 5059,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=5059
M4-FUNG-0004,S011,culture collection,current,ATCC Aspergillus flavus 96044,ATCC 96044,,https://www.atcc.org/products/96044
M4-FUNG-0004,S012,primary research,2005,Function of the cypX and moxY genes in aflatoxin biosynthesis in Aspergillus parasiticus,10.1128/AEM.71.6.3192-3198.2005,15933021,https://pubmed.ncbi.nlm.nih.gov/15933021/
M4-FUNG-0004,S013,primary research,2005,An aflatoxin biosynthesis cluster gene encodes a novel oxidase required for conversion of versicolorin A to sterigmatocystin,10.1128/AEM.71.12.8963-8965.2005,16332900,https://pubmed.ncbi.nlm.nih.gov/16332900/
M4-FUNG-0004,S014,primary research,2006,The aflatoxin biosynthesis cluster gene aflX encodes an oxidoreductase involved in conversion of versicolorin A to demethylsterigmatocystin,10.1128/AEM.72.2.1096-1101.2006,16461654,https://pubmed.ncbi.nlm.nih.gov/16461654/
M4-FUNG-0004,S015,primary research,1998,"Characterization of the critical amino acids of an Aspergillus parasiticus cytochrome P-450 monooxygenase encoded by ordA that is involved in the biosynthesis of aflatoxins B1, G1, B2, and G2",10.1128/AEM.64.12.4834-4841.1998,9835571,https://pubmed.ncbi.nlm.nih.gov/9835571/
M4-FUNG-0005,S001,database,2024,MIBiG BGC0000007.3,BGC0000007.3,,https://mibig.secondarymetabolites.org/repository/BGC0000007.3/index.html
M4-FUNG-0005,S002,primary research,1999,Divergence of West African and North American Communities of Aspergillus Section Flavi,10.1128/AEM.65.5.2264-2266.1999,10224034,https://journals.asm.org/doi/10.1128/aem.65.5.2264-2266.1999
M4-FUNG-0005,S003,primary research,2002,Variability in nitrogen regulation of aflatoxin production by Aspergillus flavus strains,10.1007/s00253-002-1094-5,12382060,https://doi.org/10.1007/s00253-002-1094-5
M4-FUNG-0005,S004,primary research,2004,Aflatoxin biosynthesis cluster gene cypA is required for G aflatoxin formation,10.1128/AEM.70.11.6518-6524.2004,15528514,https://doi.org/10.1128/AEM.70.11.6518-6524.2004
M4-FUNG-0005,S005,primary research,2005,Divergent regulation of aflatoxin production at acidic pH by two Aspergillus strains,10.1007/s11046-005-1150-7,,https://doi.org/10.1007/s11046-005-1150-7
M4-FUNG-0005,S006,primary research,2005,Aflatoxin biosynthesis gene clusters and flanking regions,10.1111/j.1365-2672.2005.02637.x,16108793,https://doi.org/10.1111/j.1365-2672.2005.02637.x
M4-FUNG-0005,S007,primary research,2018,Aspergillus texensis: A Novel Aflatoxin Producer with S Morphology from the United States,10.3390/toxins10120513,30513994,https://doi.org/10.3390/toxins10120513
M4-FUNG-0005,S008,taxonomic research,2019,"Taxonomy of Aspergillus section Flavi and their production of aflatoxins, ochratoxins and other mycotoxins",10.1016/j.simyco.2018.06.001,30108412,https://doi.org/10.1016/j.simyco.2018.06.001
M4-FUNG-0005,S009,taxonomy database,current,NCBI Taxonomy: Aspergillus aflatoxiformans,TaxID 2059437,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=2059437
M4-FUNG-0005,S010,sequence database,current,"Aspergillus aflatoxiformans isolate BN008-R calmodulin (cmdA) gene, partial cds",MK119715.1,,https://www.ncbi.nlm.nih.gov/nuccore/MK119715.1
M4-FUNG-0005,S011,primary research,2005,Function of the cypX and moxY genes in aflatoxin biosynthesis in Aspergillus parasiticus,10.1128/AEM.71.6.3192-3198.2005,15933021,https://pubmed.ncbi.nlm.nih.gov/15933021/
M4-FUNG-0005,S012,primary research,2005,An aflatoxin biosynthesis cluster gene encodes a novel oxidase required for conversion of versicolorin A to sterigmatocystin,10.1128/AEM.71.12.8963-8965.2005,16332900,https://pubmed.ncbi.nlm.nih.gov/16332900/
M4-FUNG-0005,S013,primary research,2006,The aflatoxin biosynthesis cluster gene aflX encodes an oxidoreductase involved in conversion of versicolorin A to demethylsterigmatocystin,10.1128/AEM.72.2.1096-1101.2006,16461654,https://pubmed.ncbi.nlm.nih.gov/16461654/
M4-FUNG-0005,S014,primary research,1998,"Characterization of the critical amino acids of an Aspergillus parasiticus cytochrome P-450 monooxygenase encoded by ordA that is involved in the biosynthesis of aflatoxins B1, G1, B2, and G2",10.1128/AEM.64.12.4834-4841.1998,9835571,https://pubmed.ncbi.nlm.nih.gov/9835571/
M4-FUNG-0005,S015,primary research,2008,Are the genes nadA and norB involved in formation of aflatoxin G1?,10.3390/ijms9091717,19325828,https://pubmed.ncbi.nlm.nih.gov/19325828/
M4-FUNG-0006,S001,database,2024,MIBiG BGC0000008.3,BGC0000008.3,,https://mibig.secondarymetabolites.org/repository/BGC0000008.3/index.html
M4-FUNG-0006,S002,database,current,NCBI genome assembly — Aspergillus flavus AF70,GCA_000952835.1,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_000952835.1/
M4-FUNG-0006,S003,primary research,1989,Virulence and Cultural Characteristics of Two Aspergillus flavus Strains Pathogenic on Cotton,10.1094/PHYTO-79-808,,https://doi.org/10.1094/PHYTO-79-808
M4-FUNG-0006,S004,primary research,2004,Aflatoxin biosynthesis cluster gene cypA is required for G aflatoxin formation,10.1128/AEM.70.11.6518-6524.2004,15528514,https://doi.org/10.1128/AEM.70.11.6518-6524.2004
M4-FUNG-0006,S005,primary research,2018,Whole genome comparison of Aspergillus flavus L-morphotype strain NRRL 3357 (type) and S-morphotype strain AF70,10.1371/journal.pone.0199169,29966003,https://doi.org/10.1371/journal.pone.0199169
M4-FUNG-0006,S006,primary research,2018,Inferring the presence of aflatoxin-producing Aspergillus flavus strains using RNA sequencing and electronic probes as a transcriptomic screening tool,10.1371/journal.pone.0198575,30325975,https://doi.org/10.1371/journal.pone.0198575
M4-FUNG-0006,S007,primary research,2005,Divergent regulation of aflatoxin production at acidic pH by two Aspergillus strains,10.1007/s11046-005-1150-7,,https://doi.org/10.1007/s11046-005-1150-7
M4-FUNG-0006,S008,primary research,2017,"The Aspergillus flavus Homeobox Gene, hbx1, Is Required for Development and Aflatoxin Production",10.3390/toxins9100315,29023405,https://doi.org/10.3390/toxins9100315
M4-FUNG-0006,S009,primary research,2019,The Transcriptional Regulator Hbx1 Affects the Expression of Thousands of Genes in the Aflatoxin-Producing Fungus Aspergillus flavus,10.1534/g3.118.200870,30425054,https://doi.org/10.1534/g3.118.200870
M4-FUNG-0006,S010,primary research,2025,"The putative forkhead transcription factor FhpA is necessary for development, aflatoxin production, and stress response in Aspergillus flavus",10.1371/journal.pone.0315766,,https://doi.org/10.1371/journal.pone.0315766
M4-FUNG-0006,S011,primary research,2020,Two New Aspergillus flavus Reference Genomes Reveal a Large Insertion Potentially Contributing to Isolate Stress Tolerance and Aflatoxin Production,10.1534/g3.120.401405,32817124,https://doi.org/10.1534/g3.120.401405
M4-FUNG-0007,S001,database,2024,MIBiG BGC0000009.3,BGC0000009.3,,https://mibig.secondarymetabolites.org/repository/BGC0000009.3/index.html
M4-FUNG-0007,S002,taxonomy database,current,NCBI Taxonomy — Aspergillus nomiae,TaxID 41061; strain TaxID 1509407,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=41061&mode=Info
M4-FUNG-0007,S003,primary taxonomy research,1987,"Aspergillus nomius, a new aflatoxin-producing species related to Aspergillus flavus and Aspergillus tamarii",10.1007/BF00393843,,https://doi.org/10.1007/BF00393843
M4-FUNG-0007,S004,primary research,2004,Aflatoxin biosynthesis cluster gene cypA is required for G aflatoxin formation,10.1128/AEM.70.11.6518-6524.2004,15528514,https://doi.org/10.1128/AEM.70.11.6518-6524.2004
M4-FUNG-0007,S005,primary genomics,2015,Genomic sequence of the aflatoxigenic filamentous fungus Aspergillus nomius,10.1186/s12864-015-1719-6,26216546,https://doi.org/10.1186/s12864-015-1719-6
M4-FUNG-0007,S006,primary research,2012,Aspergillus flavus grown in peptone as the carbon source exhibits spore density- and peptone concentration-dependent aflatoxin biosynthesis,10.1186/1471-2180-12-106,22694821,https://doi.org/10.1186/1471-2180-12-106
M4-FUNG-0007,S007,primary research,2018,Suppression of Aflatoxin Production in Aspergillus Species by Selected Peanut Stilbenoids,10.1021/acs.jafc.7b04542,29207242,https://doi.org/10.1021/acs.jafc.7b04542
M4-FUNG-0007,S008,primary research,2022,Transformation of Major Peanut Stilbenoid Phytoalexins Caused by Selected Microorganisms,10.1021/acs.jafc.1c06122,,https://doi.org/10.1021/acs.jafc.1c06122
M4-FUNG-0007,S009,primary research,2020,"Effect of temperature on growth, gene expression, and aflatoxin production by Aspergillus nomius isolated from Brazil nuts",10.1007/s12550-019-00380-w,31828531,https://doi.org/10.1007/s12550-019-00380-w
M4-FUNG-0007,S010,primary research,2022,Early expression of the aflatoxin gene cluster in Aspergillus nomiae isolated from Brazil nut,10.1016/j.toxicon.2022.01.008,35104535,https://doi.org/10.1016/j.toxicon.2022.01.008
M4-FUNG-0007,S011,primary metabolomics/taxonomy context,2019,Secondary Metabolite Dereplication and Phylogenetic Analysis Identify Various Emerging Mycotoxins and Reveal the High Intra-Species Diversity in Aspergillus flavus,10.3389/fmicb.2019.00667,,https://doi.org/10.3389/fmicb.2019.00667
M4-FUNG-0007,S012,curated BGC database,current,FunBGCs FBGC00052,FBGC00052,,https://staffweb1.cityu.edu.hk/ymatsuda/funbgcs/funbgcs/FBGC00052.html
M4-FUNG-0007,S013,authoritative nomenclature database,current,Index Fungorum — Aspergillus nomiae name record,IF 634998,,https://www.indexfungorum.org/names/NamesRecord.asp?RecordID=634998
M4-FUNG-0008,S001,database,2024,MIBiG BGC0000010.3,BGC0000010.3,,https://mibig.secondarymetabolites.org/repository/BGC0000010.3/index.html
M4-FUNG-0008,S002,sequence database,2004,"Aspergillus flavus isolate AF36 aflatoxin biosynthesis gene cluster, complete sequence",AY510455.1,,https://www.ncbi.nlm.nih.gov/nuccore/AY510455.1
M4-FUNG-0008,S003,primary research,2004,An isolate of Aspergillus flavus used to reduce aflatoxin contamination in cottonseed has a defective polyketide synthase gene,10.1007/s00253-004-1670-y,15235754,https://doi.org/10.1007/s00253-004-1670-y
M4-FUNG-0008,S004,primary research,2004,Aflatoxin biosynthesis cluster gene cypA is required for G aflatoxin formation,10.1128/AEM.70.11.6518-6524.2004,15528514,https://doi.org/10.1128/AEM.70.11.6518-6524.2004
M4-FUNG-0008,S005,primary research,2016,Degeneration of aflatoxin gene clusters in Aspergillus flavus from Africa and North America,10.1186/s13568-016-0228-6,27576895,https://doi.org/10.1186/s13568-016-0228-6
M4-FUNG-0008,S006,primary research,2015,Genetic Analysis of the Aspergillus flavus Vegetative Compatibility Group to Which a Commercial Aflatoxin Biocontrol Agent Belongs,10.1128/AEM.00738-15,26092465,https://doi.org/10.1128/AEM.00738-15
M4-FUNG-0008,S007,primary research,2016,The vegetative compatibility group to which the US biocontrol agent Aspergillus flavus AF36 belongs is also endemic to Mexico,10.1111/jam.13047,26744130,https://doi.org/10.1111/jam.13047
M4-FUNG-0008,S008,primary genomics,2023,Nanopore PCR-cDNA sequencing of the biocontrol isolate Aspergillus flavus AF36 (NRRL 18543) informs gene annotation,10.1128/MRA.00527-23,37728564,https://doi.org/10.1128/MRA.00527-23
M4-FUNG-0008,S009,primary field research,2014,Evaluation of the Atoxigenic Aspergillus flavus Strain AF36 in Pistachio Orchards,10.1094/PDIS-10-13-1053-RE,30708840,https://doi.org/10.1094/PDIS-10-13-1053-RE
M4-FUNG-0009,S001,database,2024,MIBiG BGC0000011.3,BGC0000011.3,,https://mibig.secondarymetabolites.org/repository/BGC0000011.3/index.html
M4-FUNG-0009,S002,sequence/taxonomy database,current,NCBI AY092402.3 / Taxonomy,AY092402.3; TaxID 138278,,https://www.ncbi.nlm.nih.gov/nuccore/AY092402.3
M4-FUNG-0009,S003,taxonomy reference,2020,"Classification of Aspergillus, Penicillium, Talaromyces and related genera",NR,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7426331/
M4-FUNG-0009,S004,primary research,2009,Characterization of the Aspergillus ochraceoroseus aflatoxin/sterigmatocystin biosynthetic gene cluster,10.3852/08-173,19537208,https://pubmed.ncbi.nlm.nih.gov/19537208/
M4-FUNG-0009,S005,primary research,2005,Characterization of aflatoxin-producing fungi outside of Aspergillus section Flavi,10.3852/mycologia.97.2.425,16396350,https://pubmed.ncbi.nlm.nih.gov/16396350/
M4-FUNG-0009,S006,primary research,2012,Functional and phylogenetic analysis of the Aspergillus ochraceoroseus aflQ (ordA) gene ortholog,10.3852/11-328,22495451,https://www.tandfonline.com/doi/abs/10.3852/11-328
M4-FUNG-0009,S007,USDA research abstract,2007,Cloning and Characterization of the Aspergillus ochraceoroseus Aflatoxin Biosynthetic Gene Cluster,NR,,https://www.ars.usda.gov/research/publications/publication/?seqNo115=208124
M4-FUNG-0009,S008,draft-genome research,2016,Draft Genome Sequences of Two Closely Related Aflatoxigenic Aspergillus Species Obtained from the Ivory Coast,10.1093/gbe/evv246,26637470,https://pmc.ncbi.nlm.nih.gov/articles/PMC4823974/
M4-FUNG-0009,S009,primary genomics/metabolomics,2018,Linking secondary metabolites to gene clusters through genome sequencing of six diverse Aspergillus species,10.1073/pnas.1715954115,29317534,https://www.pnas.org/doi/10.1073/pnas.1715954115
M4-FUNG-0009,S010,primary research,2000,Molecular and physiological aspects of aflatoxin and sterigmatocystin biosynthesis by Aspergillus tamarii and A. ochraceoroseus,10.1007/s002530051664,10855723,https://pubmed.ncbi.nlm.nih.gov/10855723/
M4-FUNG-0010,S001,database,2024,MIBiG BGC0000012.3,BGC0000012.3,,https://mibig.secondarymetabolites.org/repository/BGC0000012.3/index.html
M4-FUNG-0010,S002,sequence/taxonomy database,current,NCBI AB120221.1 / Alternaria solani taxonomy,AB120221.1; TaxID 48100,,https://www.ncbi.nlm.nih.gov/nuccore/AB120221.1
M4-FUNG-0010,S003,primary research,2005,An iterative type I polyketide synthase PKSN catalyzes synthesis of the decaketide alternapyrone with regio-specific octa-methylation,10.1016/j.chembiol.2005.09.015,16356847,https://doi.org/10.1016/j.chembiol.2005.09.015
M4-FUNG-0010,S004,primary research,2005,An iterative type I polyketide synthase PKSN catalyzes synthesis of the decaketide alternapyrone with regio-specific octa-methylation — mechanistic/domain details,10.1016/j.chembiol.2005.09.015,16356847,https://doi.org/10.1016/j.chembiol.2005.09.015
M4-FUNG-0010,S005,primary comparative/bioinformatics research,2016,Bioinformatics Prediction of Polyketide Synthase Gene Clusters from Mycosphaerella fijiensis,10.1371/journal.pone.0158471,27388157,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158471
M4-FUNG-0010,S006,primary-methodological review,2020,Heterologous production of fungal natural products: Reconstitution of biosynthetic gene clusters in model host Aspergillus oryzae,10.2183/pjab.96.031,33177296,https://pmc.ncbi.nlm.nih.gov/articles/PMC7725655/
M4-FUNG-0010,S007,primary research,2018,Chemical Ecogenomics-Guided Discovery of Phytotoxic α-Pyrones from the Fungal Wheat Pathogen Parastagonospora nodorum,10.1021/acs.orglett.8b02617,30226784,https://doi.org/10.1021/acs.orglett.8b02617
M4-FUNG-0010,S008,primary research,2024,Anti-inflammatory and Neuroprotective α-Pyrones from a Marine-Derived Strain of the Fungus Arthrinium arundinis and Their Heterologous Expression,10.1021/acs.jnatprod.4c00393,38687877,https://doi.org/10.1021/acs.jnatprod.4c00393
M4-FUNG-0010,S009,primary comparative genomics,2025,Genome mining reveals the distribution of biosynthetic gene clusters in Alternaria and related Pleosporaceae,10.1186/s12864-025-11754-z,40691532,https://doi.org/10.1186/s12864-025-11754-z
M4-FUNG-0010,S010,primary review / disease biology,2024,Alternaria diseases on potato and tomato,10.1007/s10658-024-02837-2,38476108,https://pubmed.ncbi.nlm.nih.gov/38476108/
M4-FUNG-0011,S001,database,2024,MIBiG BGC0000013.3,BGC0000013.3,,https://mibig.secondarymetabolites.org/repository/BGC0000013.3/index.html
M4-FUNG-0011,S002,genome/taxonomy database,current,NCBI Aspergillus nidulans FGSC A4 chromosome IV / assembly,BN001304.1; GCF_000011425.1,,https://www.ncbi.nlm.nih.gov/nuccore/BN001304
M4-FUNG-0011,S003,primary research,2012,Illuminating the diversity of aromatic polyketide synthases in Aspergillus nidulans,10.1021/ja3016395,22510154,https://pmc.ncbi.nlm.nih.gov/articles/PMC3357392/
M4-FUNG-0011,S004,strain repository,current,Fungal Genetics Stock Center — Aspergillus nidulans FGSC A4,FGSC A4,,https://www.fgsc.net/strain_detail.php?id=4
M4-FUNG-0011,S005,primary research,2015,SnPKS19 Encodes the Polyketide Synthase for Alternariol Mycotoxin Biosynthesis in the Wheat Pathogen Parastagonospora nodorum,10.1128/AEM.00278-15,26025896,https://journals.asm.org/doi/10.1128/AEM.00278-15
M4-FUNG-0011,S006,primary research,2019,Alternariol as virulence and colonization factor of Alternaria alternata during plant infection,10.1111/mmi.14258,30947377,https://onlinelibrary.wiley.com/doi/full/10.1111/mmi.14258
M4-FUNG-0011,S007,primary historical chemistry,1953,"Studies in the biochemistry of micro-organisms. 90. Alternariol and alternariol monomethyl ether, metabolic products of Alternaria tenuis",10.1042/bj0550421,13105649,https://doi.org/10.1042/bj0550421
M4-FUNG-0012,S001,database,2024,MIBiG BGC0000022.3,BGC0000022.3,,https://mibig.secondarymetabolites.org/repository/BGC0000022.3/index.html
M4-FUNG-0012,S002,sequence/taxonomy database,current,NCBI AACD01000015.1 — Aspergillus nidulans FGSC A4 chromosome VIII ANcontig1.15,AACD01000015.1; TaxID 227321,,https://www.ncbi.nlm.nih.gov/nuccore/AACD01000015
M4-FUNG-0012,S003,primary research,2009,"A gene cluster containing two fungal polyketide synthases encodes the biosynthetic pathway for a polyketide, asperfuranone, in Aspergillus nidulans",10.1021/ja8088185,19199437,https://doi.org/10.1021/ja8088185
M4-FUNG-0012,S004,primary research,2010,Activation of a silent fungal polyketide biosynthesis pathway through regulatory cross talk with a cryptic nonribosomal peptide synthetase gene cluster,10.1128/AEM.00683-10,20952652,https://doi.org/10.1128/AEM.00683-10
M4-FUNG-0012,S005,primary research,2010,Asperfuranone from Aspergillus nidulans inhibits proliferation of human non-small cell lung cancer A549 cells via blocking cell cycle progression and inducing apoptosis,10.1111/j.1742-7843.2010.00545.x,20148857,https://doi.org/10.1111/j.1742-7843.2010.00545.x
M4-FUNG-0012,S006,natural-product database,current,Natural Products Atlas — Asperfuranone,NPA010580,,https://www.npatlas.org/explore/compounds/NPA010580
M4-FUNG-0012,S007,curated protein database,current,UniProt reviewed Afo pathway proteins / ScpR entries,Q5BEJ4; Q5BEJ6; Q5BEJ9; Q5B7I8,,https://www.uniprot.org/
M4-FUNG-0013,S001,database,2024,MIBiG BGC0000027.4,BGC0000027.4,,https://mibig.secondarymetabolites.org/repository/BGC0000027.4/index.html
M4-FUNG-0013,S002,sequence database,2013,"Monascus pilosus pigment biosynthetic gene cluster, complete sequence",KC148521.1,,https://getentry.ddbj.nig.ac.jp/getentry/na/KC148521
M4-FUNG-0013,S003,primary research,2013,Genetic localization and in vivo characterization of a Monascus azaphilone pigment biosynthetic gene cluster,10.1007/s00253-013-4745-9,23504076,https://doi.org/10.1007/s00253-013-4745-9
