strain_key,organism_key,strain_label_raw,dossier_id_first_seen,role_first_seen
STR_63ec8e3cfaf8,NCBITAXON:5059,AF13 alone versus AF13 + atoxigenic AF36,M4-FUNG-0004,experiment
STR_dd0647b06dda,NCBITAXON:5059,A. parasiticus BN009E cypA disruptants,M4-FUNG-0004,experiment
STR_4e0d8509fac8,NCBITAXON:2059437,BN008R / BN008-R / ATCC MYA-379,M4-FUNG-0005,primary
STR_f118591308d8,NCBITAXON:2059437,BN008R,M4-FUNG-0005,experiment
STR_39c34aa697e0,NCBITAXON:2059437,S_BG isolates including BN008R,M4-FUNG-0005,experiment
STR_a43ff2880593,NCBITAXON:2059437,BN008R / ATCC MYA-379,M4-FUNG-0005,experiment
STR_54149a8b82a0,NCBITAXON:2059437,BN008R and related Aspergillus clusters,M4-FUNG-0005,experiment
STR_9f3c0345aef3,NCBITAXON:2059437,A. parasiticus BN009E cypA disruptants,M4-FUNG-0005,experiment
STR_0cff4fa93af4,NCBITAXON:5059,AF70 / ATCC MYA-384,M4-FUNG-0006,primary
STR_2feabbbcc7c9,NCBITAXON:5059,AF70 versus NRRL3357,M4-FUNG-0006,experiment
STR_9c03112e8892,NCBITAXON:5059,AF70,M4-FUNG-0006,experiment
STR_a9c5beecbd06,NCBITAXON:5059,"AF70 Δhbx1, control and complemented strain",M4-FUNG-0006,experiment
STR_ad7c8bb2ab7d,NCBITAXON:5059,"AF70 Δhbx1, control, complemented",M4-FUNG-0006,experiment
STR_c88702fabe2a,NCBITAXON:5059,"AF70 WT, ΔfhpA1, OEfhpA4",M4-FUNG-0006,experiment
STR_14e39e485ea9,NCBITAXON:5059,AF70 / NRRL3357 aflatoxin-cluster comparison,M4-FUNG-0006,experiment
STR_457cd7b4d66c,NCBITAXON:41061,NRRL 13137 / ATCC 15546 / CBS 260.88 / FRR 3339 / SRRC 375 / M93,M4-FUNG-0007,primary
STR_af9a39e47959,NCBITAXON:41061,NRRL 13137 / ATCC 15546,M4-FUNG-0007,experiment
STR_986c4edc766c,NCBITAXON:41061,NRRL 13137 plus A. flavus/A. parasiticus comparators,M4-FUNG-0007,experiment
STR_35954cc70af5,NCBITAXON:41061,NRRL 13137,M4-FUNG-0007,experiment
STR_daecb74be9f7,NCBITAXON:41061,seven Brazil-nut A. nomiae isolates (not NRRL 13137),M4-FUNG-0007,experiment
STR_a1855369bc35,NCBITAXON:41061,two Brazil-nut A. nomiae isolates (not NRRL 13137),M4-FUNG-0007,experiment
STR_69d954d9afcc,NCBITAXON:5059,AF36 / NRRL 18543,M4-FUNG-0008,primary
STR_5e7569038b45,NCBITAXON:5059,AF36 versus toxigenic AF13,M4-FUNG-0008,experiment
STR_2ad374ef7dd4,NCBITAXON:5059,AF36 within 35 non-aflatoxigenic A. flavus genotypes,M4-FUNG-0008,experiment
STR_898eb8f12234,NCBITAXON:5059,YV36 isolates from Mexico including AF36 lineage,M4-FUNG-0008,experiment
STR_89e2a7680215,NCBITAXON:5059,AF36/YV36 in commercial pistachio orchards,M4-FUNG-0008,experiment
STR_f4186e68e537,NCBITAXON:5059,AF36 / NRRL18543,M4-FUNG-0008,experiment
STR_87866bbb928f,NCBITAXON:138278,SRRC 1432 / CBS 550.77 / NRRL 28622 / ATCC 38873,M4-FUNG-0009,primary
STR_bb00fb3058d4,NCBITAXON:138278,A. ochraceoroseus SRRC 1432,M4-FUNG-0009,experiment
STR_99aed140dc24,NCBITAXON:138278,A. nidulans aflR mutant + A. ochraceoroseus aflR,M4-FUNG-0009,experiment
STR_57592aea37d2,NCBITAXON:138278,A. parasiticus aflQ/ordA mutant SRRC 2670 + A. ochraceoroseus aflQ,M4-FUNG-0009,experiment
STR_0b684d060cae,NCBITAXON:138278,A. rambellii genomic DNA,M4-FUNG-0009,experiment
STR_77dc542787bd,NCBITAXON:48100,Alternaria solani; strain NR,M4-FUNG-0010,experiment
STR_b23f4d7db95e,NCBITAXON:48100,Aspergillus oryzae transformant expressing A. solani alt5,M4-FUNG-0010,experiment
STR_b943beb83191,NCBITAXON:48100,A. oryzae Alt5 product,M4-FUNG-0010,experiment
STR_fab267e7843b,NCBITAXON:48100,Parastagonospora nodorum alternapyrone-family cluster,M4-FUNG-0010,experiment
STR_a9dec325bd69,NCBITAXON:48100,Arthrinium arundinis alt′ homologous cluster,M4-FUNG-0010,experiment
STR_b15f510b39f6,NCBITAXON:48100,Dothideomycetes / Pleosporales genome collection,M4-FUNG-0010,experiment
STR_072c0c775ec8,NCBITAXON:227321,FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139 (Glasgow wild type),M4-FUNG-0011,primary
STR_2609e7f2d587,NCBITAXON:227321,FGSC-A4-derived strains,M4-FUNG-0011,experiment
STR_8f1a2518f04d,NCBITAXON:227321,FGSC-A4-derived pkgA promoter-replacement strain,M4-FUNG-0011,experiment
STR_82c84e9a5a9f,NCBITAXON:227321,FGSC-A4-derived pkgA+pkgB dual promoter-replacement strain,M4-FUNG-0011,experiment
STR_d2f17f081cf8,NCBITAXON:227321,FGSC-A4-derived activation panel,M4-FUNG-0011,experiment
STR_a49870a543b8,NCBITAXON:227321,A. nidulans TNO2A3 expressing P. nodorum SnPKS19,M4-FUNG-0011,experiment
STR_1ab23c17668e,NCBITAXON:227321,Alternaria alternata alternariol cluster,M4-FUNG-0011,experiment
STR_766db12d4c0d,NCBITAXON:227321,FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139,M4-FUNG-0012,primary
STR_b44b31fcaa82,NCBITAXON:227321,A. nidulans FGSC-A4-derived strains,M4-FUNG-0012,experiment
STR_3acd2f3550ac,NCBITAXON:227321,Afo-gene deletion panel in activated background,M4-FUNG-0012,experiment
STR_8495e617a529,NCBITAXON:227321,afoD deletion strain,M4-FUNG-0012,experiment
STR_653d15f2267a,NCBITAXON:227321,SB3.5 alcAp-scpR versus wild type/repressed controls,M4-FUNG-0012,experiment
STR_3c0cd494e202,NCBITAXON:227321,SB2.7 inpB-deletion + alcAp-scpR,M4-FUNG-0012,experiment
STR_f3ed04420a93,NCBITAXON:227321,ALF1.1 afoA-deletion + alcAp-scpR,M4-FUNG-0012,experiment
STR_638469b7a83c,NCBITAXON:227321,purified asperfuranone in A549 cells,M4-FUNG-0012,experiment
STR_ed419cc3667e,NCBITAXON:89488,Monascus purpureus WT vs W13 T-DNA mutant,M4-FUNG-0013,experiment
STR_5713d9a435d0,NCBITAXON:89488,Monascus purpureus BIJ-4 ΔMpPKS5,M4-FUNG-0013,experiment
STR_c90f80320d1a,NCBITAXON:89488,M. purpureus F9 ΔMpfasB2,M4-FUNG-0013,experiment
STR_f884fc5611a3,NCBITAXON:89488,M. purpureus ΔmppE and mppE-overexpression strains,M4-FUNG-0013,experiment
STR_9a7a35860a4b,NCBITAXON:89488,M. purpureus ΔmppG,M4-FUNG-0013,experiment
STR_3a7db09eca56,NCBITAXON:89488,M. pilosus genomic sequence KC148521,M4-FUNG-0013,experiment
STR_46a3db97e105,NCBITAXON:1279085,IMI 58289 / IMI58289,M4-FUNG-0014,primary
STR_432529208c40,NCBITAXON:1279085,F. fujikuroi IMI58289 WT and Δbik1,M4-FUNG-0014,experiment
STR_81d8222b442b,NCBITAXON:1279085,IMI58289 Δbik2 and Δbik3,M4-FUNG-0014,experiment
STR_3d6ca495c57d,NCBITAXON:1279085,"IMI58289 Δbik4, Δbik5, Δbik6",M4-FUNG-0014,experiment
STR_c935ab68c4f5,NCBITAXON:1279085,"IMI58289 WT, ΔpacC and dominant-active PacC strains",M4-FUNG-0014,experiment
STR_64cfedf046a7,NCBITAXON:1279085,IMI58289 under low versus high nitrogen and acidic versus alkaline regimes,M4-FUNG-0014,experiment
STR_457ec4751727,NCBITAXON:1279085,F. fujikuroi cultures with sucrose/carbohydrate and salt-starvation manipulations,M4-FUNG-0014,experiment
STR_6bb8f71cb37a,NCBITAXON:1279085,IMI58289 + R. solanacearum GMI1000 versus ΔrmyA,M4-FUNG-0014,experiment
STR_f1f36bd3d094,NCBITAXON:1279085,IMI58289 treated with conditioned medium or purified ralsolamycin under high and low nitrogen,M4-FUNG-0014,experiment
STR_ee7642ec1c8a,NCBITAXON:1279085,WT vs Δbik1 chlamydospores challenged with GFP-Ralstonia,M4-FUNG-0014,experiment
STR_7bf4d4804a88,NCBITAXON:227321,LO2026 stcJΔ/nkuAΔ parental background,M4-FUNG-0015,experiment
STR_3146b8e283fc,NCBITAXON:227321,cicA–cicH and flanking-gene deletion panel,M4-FUNG-0015,experiment
STR_2668edc67b0e,NCBITAXON:227321,cicBΔ and cicCΔ strains,M4-FUNG-0015,experiment
STR_655df4f1dc6c,NCBITAXON:227321,CicF/AN6448 overexpression strain,M4-FUNG-0015,experiment
STR_2fcc91bbcdad,NCBITAXON:227321,LO8030 genetic-dereplication parental vs ΔpkbA,M4-FUNG-0015,experiment
STR_4e4fa726f720,NCBITAXON:227321,aspercryptin discovery strains,M4-FUNG-0015,experiment
STR_497534be7385,NCBITAXON:227321,A. nidulans A1145/cicD,M4-FUNG-0015,experiment
STR_655c334b82c0,NCBITAXON:5077,compactin-producing P. citrinum strain used by Abe et al.; exact strain designation not exposed in current MIBiG display,M4-FUNG-0016,primary
STR_b6a3e3afc4af,NCBITAXON:5077,P. citrinum source producer,M4-FUNG-0016,experiment
STR_b07e8c29f14b,NCBITAXON:5077,P. citrinum cluster-copy transformants,M4-FUNG-0016,experiment
STR_6d0ec61c6123,NCBITAXON:5077,P. citrinum mlcD mutant,M4-FUNG-0016,experiment
STR_264bd9b6d05d,NCBITAXON:5077,MlcR functional/regulatory strains,M4-FUNG-0016,experiment
STR_e19fb1528f8a,NCBITAXON:33178,AH-02-30-F7,M4-FUNG-0017,primary
STR_1cb0eac61e92,NCBITAXON:33178,A. terreus AH-02-30-F7,M4-FUNG-0017,experiment
STR_9511e4e3aba4,NCBITAXON:33178,S. cerevisiae BJ5464-NpgA expressing AtCURS1 + AtCURS2,M4-FUNG-0017,experiment
STR_011a654f396e,NCBITAXON:33178,S. cerevisiae BJ5464-NpgA expressing AtCURS2 only,M4-FUNG-0017,experiment
STR_6e9cb29837fb,NCBITAXON:33178,S. cerevisiae control vectors,M4-FUNG-0017,experiment
STR_371068293126,NCBITAXON:33178,A. terreus NIH2624 and A. flavus NRRL3357 genomic comparators,M4-FUNG-0017,experiment
STR_ec8015516d5e,NCBITAXON:622360,ATCC 96836 / EGS 42-002 / BMP 1950,M4-FUNG-0018,primary
STR_dc2e05617522,NCBITAXON:622360,A. brassicicola ATCC 96836 and independent dep2 mutants,M4-FUNG-0018,experiment
STR_feed2684333e,NCBITAXON:622360,A. brassicicola ATCC 96836 and independent dep4 mutants,M4-FUNG-0018,experiment
STR_d13562d8c31a,NCBITAXON:622360,A. brassicicola ATCC 96836 dep5 mutants,M4-FUNG-0018,experiment
STR_61d6fdc788bd,NCBITAXON:622360,A. brassicicola ATCC 96836 dep6 mutants,M4-FUNG-0018,experiment
STR_3ce41e48cbbc,NCBITAXON:622360,WT vs depudecin-minus mutants on cabbage,M4-FUNG-0018,experiment
STR_8535758d4bfe,NCBITAXON:622360,WT vs depudecin-minus mutants on Arabidopsis,M4-FUNG-0018,experiment
STR_52cfbc18de8f,NCBITAXON:622360,A. brassicicola culture-condition panel,M4-FUNG-0018,experiment
STR_8579c7d579f7,NCBITAXON:622360,A. brassicicola liquid cultures with epigenetic modifiers,M4-FUNG-0018,experiment
STR_2f3de69828af,NCBITAXON:622360,Fusarium langsethiae DEP-homolog cluster,M4-FUNG-0018,experiment
STR_c6efcb3bbb0f,NCBITAXON:675120,NZE10 / CBS 128990,M4-FUNG-0019,primary
STR_efa4a41348ad,NCBITAXON:675120,D. septosporum pksA mutants including FJT3,M4-FUNG-0019,experiment
STR_e02758b9e32f,NCBITAXON:675120,D. septosporum NZE5 dotA/Ver1 mutants,M4-FUNG-0019,experiment
STR_250dc5fcd4fb,NCBITAXON:675120,NZE7 and NZE10,M4-FUNG-0019,experiment
STR_02b68d2da95e,NCBITAXON:675120,reference genome NZE10 / comparative genomic analysis,M4-FUNG-0019,experiment
STR_742ae2c12c41,NCBITAXON:675120,ΔDsAflR vs WT,M4-FUNG-0019,experiment
STR_e2c59b456bb6,NCBITAXON:675120,ΔDsLaeA vs WT,M4-FUNG-0019,experiment
STR_cbc1667d29de,NCBITAXON:675120,chromatin-regulator / ChIP experiments,M4-FUNG-0019,experiment
STR_e49d204fb85f,NCBITAXON:675120,NZE10 vs ΔPksA/ΔVbsA/ΔHexA mutants on Pinus radiata,M4-FUNG-0019,experiment
STR_e6aeb695e57a,NCBITAXON:675120,DotC deletion/overexpression/GFP localization,M4-FUNG-0019,experiment
STR_9a73dc78a457,NCBITAXON:675120,global NZ D. septosporum isolate panel,M4-FUNG-0019,experiment
STR_4dc55694f4fd,NCBITAXON:227321,A. nidulans wild type across 20 culture conditions,M4-FUNG-0020,experiment
STR_228f1caface2,NCBITAXON:227321,A. nidulans cclAΔ versus control,M4-FUNG-0020,experiment
STR_81f3aa7247f8,NCBITAXON:227321,A. nidulans + 58 soil actinomycete screen,M4-FUNG-0020,experiment
STR_f4db2c8b84a8,NCBITAXON:227321,A. nidulans + S. rapamycinicus contact controls,M4-FUNG-0020,experiment
STR_599b651522c6,NCBITAXON:227321,"WT, ΔgcnE and ΔadaB A. nidulans ± S. rapamycinicus",M4-FUNG-0020,experiment
STR_f4973c28dc95,NCBITAXON:227321,ten NR-PKS deletion panel,M4-FUNG-0020,experiment
STR_6d996f632109,NCBITAXON:227321,local AN7901–AN7908 and AN7911–AN7915 deletion panel,M4-FUNG-0020,experiment
STR_70827e8ad815,NCBITAXON:227321,orsBΔ and orsCΔ scale-up strains,M4-FUNG-0020,experiment
STR_24ac3431b357,NCBITAXON:227321,"WT, ΔveA, OE::mvlAΔveA, ΔveAΔgcnE and related strains",M4-FUNG-0020,experiment
STR_8ee6297b1fa0,NCBITAXON:227321,ΔcclA versus WT at metabolic-stage transitions,M4-FUNG-0020,experiment
STR_053f25bbcacb,NCBITAXON:334819,M-3125 / FGSC 7600 / A-00149,M4-FUNG-0021,primary
STR_9007ca8ce5c1,NCBITAXON:334819,M-3125 / FGSC7600 Δfum21 mutants + complementation,M4-FUNG-0021,experiment
STR_1c39d4e4dde0,NCBITAXON:334819,fum1 mutants and producing controls in maize field tests,M4-FUNG-0021,experiment
STR_5f6bf8f411cb,NCBITAXON:334819,"Δfum1, Δfum6, Δfum8 single cultures and mutant cocultures",M4-FUNG-0021,experiment
STR_9e730d615333,NCBITAXON:334819,Δfum13 vs WT,M4-FUNG-0021,experiment
STR_1104c8b79047,NCBITAXON:334819,Δfum7/10/11/14/16 deletion panel,M4-FUNG-0021,experiment
STR_bb8f8e69de41,NCBITAXON:334819,purified Fum14 + hydrolyzed fumonisin substrates,M4-FUNG-0021,experiment
STR_198a15f1404c,NCBITAXON:334819,WT/Δfum19/OE::FUM19 and FUM17/18 mutants,M4-FUNG-0021,experiment
STR_c813625df352,NCBITAXON:334819,FUM15/FUM16 mutants and heterologous yeast tests,M4-FUNG-0021,experiment
STR_8617f1c45fc7,NCBITAXON:334819,WT under inducing vs noninducing media ± TSA,M4-FUNG-0021,experiment
STR_102c50d246c2,NCBITAXON:334819,M3125 Fum protein localization studies,M4-FUNG-0021,experiment
STR_841abc1ed64b,NCBITAXON:5507,FRC O-1890 / NRRL 39464,M4-FUNG-0022,primary
STR_f2b3d8d87eb2,NCBITAXON:5507,F. oxysporum FRC O-1890,M4-FUNG-0022,experiment
STR_18193380c602,NCBITAXON:5507,F. verticillioides fum8 mutant + wild-type FvFUM8 or FoFUM8,M4-FUNG-0022,experiment
STR_e94d017b689d,NCBITAXON:5507,F. verticillioides fum8 mutant + FvFUM8 A580V / FoFUM8 V580A,M4-FUNG-0022,experiment
STR_bfc8419c76f6,NCBITAXON:5507,O-1890 / NRRL39464 WT vs Δfum15,M4-FUNG-0022,experiment
STR_dbbb5d8aab6a,NCBITAXON:5507,O-1890 provenance/toxin phenotype,M4-FUNG-0022,experiment
STR_f1e450023478,NCBITAXON:5507,Fusarium comparative FUM-cluster phylogenomics,M4-FUNG-0022,experiment
STR_0cdb9d2417ce,NCBITAXON:117187,NR for the AY604568 source isolate,M4-FUNG-0023,primary
STR_fe65f9c427f5,NCBITAXON:117187,F. moniliforme source strain of AY604568 and F. venenatum,M4-FUNG-0023,experiment
STR_20e51c46b7f3,NCBITAXON:117187,F. fujikuroi IMI58289,M4-FUNG-0023,experiment
STR_626cf827154b,NCBITAXON:117187,"F. fujikuroi Δfus1, Δfus2, Δfus8, Δfus9 and Δfus2-9 strains",M4-FUNG-0023,experiment
STR_21aeac798f37,NCBITAXON:117187,F. fujikuroi Δfus3–Δfus7 strains,M4-FUNG-0023,experiment
STR_99357ad473ee,NCBITAXON:117187,F. fujikuroi Δfus1 + Δfus2-9 coculture and Fus2/Fus8 reconstitution backgrounds,M4-FUNG-0023,experiment
STR_b786091307fd,NCBITAXON:117187,F. fujikuroi FKMC1995 and IMI58289,M4-FUNG-0023,experiment
STR_0e524eb5b51e,NCBITAXON:117187,F. verticillioides M-3125 + Ustilago maydis,M4-FUNG-0023,experiment
STR_f490b194792b,NCBITAXON:117187,F. verticillioides M-3125 ΔFvstuA mutants,M4-FUNG-0023,experiment
STR_9763a993610c,NCBITAXON:117187,Fusarium species comparative four-condition panel,M4-FUNG-0023,experiment
STR_b3860c04c382,NCBITAXON:36650,IBT 5753,M4-FUNG-0024,primary
STR_5d0c14b96b39,NCBITAXON:36650,P. aethiopicum IBT5753 WT,M4-FUNG-0024,experiment
STR_c37b455f565c,NCBITAXON:36650,ΔgsfA,M4-FUNG-0024,experiment
STR_0f83f02d397f,NCBITAXON:36650,ΔgsfI,M4-FUNG-0024,experiment
STR_e0d91a253153,NCBITAXON:36650,ΔgsfB/ΔgsfC/ΔgsfD,M4-FUNG-0024,experiment
STR_b866ec903fec,NCBITAXON:36650,ΔgsfF,M4-FUNG-0024,experiment
STR_d8151009fc29,NCBITAXON:36650,ΔgsfE vs ΔgsfK,M4-FUNG-0024,experiment
STR_3c07b45ec856,NCBITAXON:36650,ΔgsfH,M4-FUNG-0024,experiment
STR_0794c29271fb,NCBITAXON:36650,purified GsfA/B/C/D/E/F/I system,M4-FUNG-0024,experiment
STR_20d082ce38d9,NCBITAXON:36650,GsfF purified-enzyme/mechanistic study,M4-FUNG-0024,experiment
STR_f4f206913ea4,NCBITAXON:193393,DSM 11931,M4-FUNG-0025,primary
STR_faa02f32e701,NCBITAXON:193393,H. subiculosus DSM11931 vs DSM11932 cluster sequencing,M4-FUNG-0025,experiment
STR_13ba6f68a3ef,NCBITAXON:193393,DSM11931 transformation attempt,M4-FUNG-0025,experiment
STR_94e6e3760153,NCBITAXON:193393,DSM11932 hpm5/OMT disruption,M4-FUNG-0025,experiment
STR_1d4e46ff8a36,NCBITAXON:193393,S. cerevisiae expressing Hpm3 + Hpm8,M4-FUNG-0025,experiment
STR_2d304a32173e,NCBITAXON:193393,dual-PKS yeast + Hpm5 or Hpm7 or Hpm1,M4-FUNG-0025,experiment
STR_8869e839ca6f,NCBITAXON:193393,purified Hpm5 and Hpm7,M4-FUNG-0025,experiment
STR_439e174d267f,NCBITAXON:193393,purified Hpm2 / RAL isomerization,M4-FUNG-0025,experiment
STR_5bb9bfb04e0c,NCBITAXON:193393,DSM11931/DSM11932 natural-product isolation,M4-FUNG-0025,experiment
STR_b1c598ed1a81,NCBITAXON:193393,DSM 11932,M4-FUNG-0026,primary
STR_149cc8d320df,NCBITAXON:285217,ATCC 20542 / MF4845,M4-FUNG-0027,primary
STR_108b0ca825b7,NCBITAXON:285217,A. terreus canonical producer / cloned lovastatin genes,M4-FUNG-0027,experiment
STR_83f4d5049d89,NCBITAXON:285217,lovastatin blocked mutants,M4-FUNG-0027,experiment
STR_e9e3a95c2dea,NCBITAXON:285217,purified LovB ± LovC ± NADPH/SAM,M4-FUNG-0027,experiment
STR_cb534d580619,NCBITAXON:285217,heterologous yeast expressing LovA,M4-FUNG-0027,experiment
STR_3794ed2d7d77,NCBITAXON:285217,LovG deletion/reconstitution systems,M4-FUNG-0027,experiment
STR_440483757b69,NCBITAXON:285217,LovF/LovD biochemical transfer system,M4-FUNG-0027,experiment
STR_9a9e6c3b90d0,NCBITAXON:285217,A. terreus chemically defined-medium study,M4-FUNG-0027,experiment
STR_a19f6daa19ab,NCBITAXON:285217,A. terreus submerged and solid-state fermentations ± antioxidants/H2O2,M4-FUNG-0027,experiment
STR_63b7a1de2166,NCBITAXON:33178,legacy A. terreus lovastatin sequence provenance; exact strain tag not resolved in retired record,M4-FUNG-0028,primary
STR_e2b86cf29a91,NCBITAXON:33178,legacy A. terreus sequence record,M4-FUNG-0028,experiment
STR_ee54a0b912a1,NCBITAXON:33178,A. terreus genome comparison,M4-FUNG-0028,experiment
STR_97de6d56b437,NCBITAXON:89488,BCRC 38072,M4-FUNG-0029,primary
STR_e58e45a6bbc4,NCBITAXON:89488,M. pilosus BCRC38072 WT vs mokA disruptant,M4-FUNG-0029,experiment
STR_2ddd35d448d3,NCBITAXON:89488,M. pilosus NBRC4480 WT vs mokB disruptant,M4-FUNG-0029,experiment
STR_573db5bd6232,NCBITAXON:89488,M. pilosus mokH-overexpression transformants,M4-FUNG-0029,experiment
STR_f1dee86929bc,NCBITAXON:89488,Monascus M1 / CGMCC3.0568 original vs +10 mM glutamate medium,M4-FUNG-0029,experiment
STR_b6cceb2436e1,NCBITAXON:89488,Monascus fuliginosus CG-6,M4-FUNG-0029,experiment
STR_cb961e1ecff6,NCBITAXON:89488,"M. pilosus MS-1 WT, Δmpclr4, Δmpdot1, Δmplig4",M4-FUNG-0029,experiment
STR_401751b2eaf5,NCBITAXON:89488,M. pilosus mokI-overexpression strains,M4-FUNG-0029,experiment
STR_666c007d3e36,NCBITAXON:89488,"M. pilosus MS-1 WT, ΔmokE, complemented and PgpdA-mokE strains",M4-FUNG-0029,experiment
STR_ece92c4e45ea,NCBITAXON:1077442,PM1,M4-FUNG-0030,primary
STR_e7f91c7123f0,NCBITAXON:1077442,T. marneffei PM1 pks1–pks25 knockdown panel,M4-FUNG-0030,experiment
STR_a3ccc6eb9a1c,NCBITAXON:1077442,PM1 pks3 + 14-neighbor knockdown panel,M4-FUNG-0030,experiment
STR_de7874b205a2,NCBITAXON:1077442,WT and pks3/rp1/rp2/rp3/rp4 knockdowns,M4-FUNG-0030,experiment
STR_662fdd0367a9,NCBITAXON:1077442,WT and pks3 knockdown + individual amino-acid supplements,M4-FUNG-0030,experiment
STR_e378bbb456be,NCBITAXON:1077442,PM1 WT mold versus yeast developmental conditions,M4-FUNG-0030,experiment
STR_3b3794492499,NCBITAXON:227321,A. nidulans WT vs cclA-loss strains,M4-FUNG-0031,experiment
STR_606d1f7d42be,NCBITAXON:227321,cclAΔ background + individual mdp deletions,M4-FUNG-0031,experiment
STR_1defed7ddc39,NCBITAXON:227321,"alcA(p)-mdpE, alcA(p)-mdpA and combined regulatory strains",M4-FUNG-0031,experiment
STR_935436884e8b,NCBITAXON:227321,mdpH deletion in cclAΔ background,M4-FUNG-0031,experiment
STR_9153e605cec2,NCBITAXON:227321,mdp/xpt/AN7999 targeted deletion series,M4-FUNG-0031,experiment
STR_49229c1501f2,NCBITAXON:227321,purified/recombinant XptB,M4-FUNG-0031,experiment
STR_fb1be9cbcf7a,NCBITAXON:227321,sexual-development/Hülle-cell metabolomics ± arthropod fungivores,M4-FUNG-0031,experiment
STR_902dd341caca,NCBITAXON:5074,IBT 23078,M4-FUNG-0032,primary
STR_7c23263f35f4,NCBITAXON:5074,P. brevicompactum IBT23078 WT vs clean mpaC::hph mutant,M4-FUNG-0032,experiment
STR_fa910783c6fe,NCBITAXON:5074,A. nidulans NID211 expressing mpaC,M4-FUNG-0032,experiment
STR_0894ce8a702d,NCBITAXON:5074,A. nidulans NID416 expressing mpaC + full mpaDE fusion,M4-FUNG-0032,experiment
STR_58edfad23597,NCBITAXON:5074,A. nidulans NID944 expressing mpaC + mpaD domain only,M4-FUNG-0032,experiment
STR_2caee2723fae,NCBITAXON:5074,fungal IMPDH-A versus cluster IMPDH-B/MpaF systems,M4-FUNG-0032,experiment
STR_583729151482,NCBITAXON:5074,P. brevicompactum NRRL864 homologous mpa' pathway in engineered Aspergillus systems,M4-FUNG-0032,experiment
STR_009127e26a12,NCBITAXON:5074,purified/peroxisomal MpaH' structural-biochemical system,M4-FUNG-0032,experiment
STR_4f24d3887983,NCBITAXON:5074,"purified MpaG' with DMMPA, FDHMP and FDHMP-3C",M4-FUNG-0032,experiment
STR_b4af487e24fc,NCBITAXON:227321,FGSC A4 / Glasgow wild type,M4-FUNG-0033,primary
STR_b3ee0f1619cc,NCBITAXON:227321,A. nidulans wA mutants / FGSC A4,M4-FUNG-0033,experiment
STR_d7f8389c48d4,NCBITAXON:227321,A. oryzae expressing reconstructed full-length A. nidulans wA,M4-FUNG-0033,experiment
STR_163e39c2a5f3,NCBITAXON:227321,FGSC A4 vegetative hyphae → filter-induced conidiation,M4-FUNG-0033,experiment
