metabolite_key,dossier_id,metabolite_id,name_raw,congener_or_variant_raw,formula,structure_id,chemical_role_raw,bioactivity_raw,recovery_location_raw,identification_level_raw,source_ids,note,source_row
M4-FUNG-0005:M001,M4-FUNG-0005,M001,aflatoxin B1,B1,C17H12O6,NR,native final pathway product,mycotoxin,culture filtrate,authentic-standard-supported exact compound,S001; S002; S003; S005,,132
M4-FUNG-0005:M002,M4-FUNG-0005,M002,aflatoxin G1,G1,C17H12O7,NR,native final pathway product,mycotoxin,culture filtrate,authentic-standard-supported exact compound,S001; S002; S003; S005,G1 output is especially sensitive to nitrogen source and low pH.,133
M4-FUNG-0006:M001,M4-FUNG-0006,M001,aflatoxin B1,B1,C17H12O6,NR,native final pathway product,mycotoxin,corn/PDB/agar extracts,authentic-standard-supported exact compound,S001; S003; S005; S006; S008; S010,Primary high-output AF70 metabolite.,130
M4-FUNG-0006:M002,M4-FUNG-0006,M002,aflatoxin B2,B2,C17H14O6,NR,native final pathway product,mycotoxin,culture extracts,authentic-standard-supported exact compound,S001; S005; S008,Hbx1 deletion abolished both B1 and B2 in the reported assay.,131
M4-FUNG-0007:M001,M4-FUNG-0007,M001,aflatoxin B1,B1,C17H12O6,NR,native final pathway product,mycotoxin,culture medium/filtrate,authentic-standard-supported exact compound,S001; S003; S004; S006; S007,MIBiG-linked product.,132
M4-FUNG-0007:M002,M4-FUNG-0007,M002,aflatoxin B2,B2,C17H14O6,NR,native final pathway product,mycotoxin,culture medium/filtrate,exact congener established,S004; S005; S007,Known NRRL 13137 product though not exposed as a separate MIBiG compound.,133
M4-FUNG-0007:M003,M4-FUNG-0007,M003,aflatoxin G1,G1,C17H12O7,NR,native final pathway product,mycotoxin,culture medium/filtrate,authentic-standard-supported exact compound,S001; S003; S004; S006; S007,MIBiG-linked product; intact cypA branch.,134
M4-FUNG-0007:M004,M4-FUNG-0007,M004,aflatoxin G2,G2,C17H14O7,NR,native final pathway product,mycotoxin,culture medium/filtrate,exact congener established,S004; S005; S007,Known NRRL 13137 product though not separately exposed by MIBiG.,135
M4-FUNG-0008:M001,M4-FUNG-0008,M001,aflatoxin,generic pathway-family annotation,C17H12O7,PubChem linked by MIBiG,ancestral pathway product class,mycotoxin,not recovered from AF36,database compound structure only,S001; S003,MIBiG compound annotation must not be interpreted as AF36 producing this molecule.,130
M4-FUNG-0009:M001,M4-FUNG-0009,M001,sterigmatocystin,ST,C18H12O6,NPAtlas linked by MIBiG,native pathway intermediate and accumulated end product,mycotoxin,culture extract,authentic-standard + LC-MS supported,S001; S005,Simultaneously accumulates with aflatoxins.,134
M4-FUNG-0009:M002,M4-FUNG-0009,M002,aflatoxin B1,B1,C17H12O6,PubChem linked by MIBiG,native final pathway product,mycotoxin,culture extract,authentic-standard + LC-MS supported,S001; S005,,135
M4-FUNG-0009:M003,M4-FUNG-0009,M003,aflatoxin B2,B2,C17H14O6,PubChem/NPAtlas linked by MIBiG,native final pathway product,mycotoxin,culture extract,mass-spectrometry supported,S001; S005,,136
M4-FUNG-0010:M001,M4-FUNG-0010,M001,alternapyrone,parent α-pyrone,C28H44O3,PubChem CID 57467994,direct Alt5/PKSN product; possible core intermediate/shunt relative to full cluster,reported cytotoxicity in later work; native A. solani ecological role unresolved,heterologous A. oryzae culture,exact structure + isotope-supported biosynthetic origin,S001; S003; S007,Decaketide with eight methyl branches.,115
M4-FUNG-0010:M002,M4-FUNG-0010,M002,alternapyrone-family oxidized derivatives,comparative homolog-cluster congeners,various,NR,products of homologous alt′ tailoring systems,some later derivatives are phytotoxic/anti-inflammatory/neuroactive depending on structure,heterologous/comparator systems,exact structures in later studies,S007; S008,Do not attribute these congeners directly to A. solani BGC0000012 without native evidence.,116
M4-FUNG-0011:M001,M4-FUNG-0011,M001,alternariol,AOH,C14H10O5,MIBiG NPAtlas/PubChem link,major engineered pathway product,mycotoxin; compound-level antifungal/phytotoxic/anticholinesterase activities reported,engineered A. nidulans culture extract,isolated + spectroscopic structural elucidation,S001; S003; S007,"A. nidulans attribution comes from Ahuja 2012, not the historical Alternaria structure paper.",115
M4-FUNG-0011:M002,M4-FUNG-0011,M002,dehydrocitreoisocoumarin,compound 9,C14H12O6,PubChem CID 146672858,major co-product / precursor-like isocoumarin from PkgA/PkgB,NR,engineered A. nidulans culture extract,isolated + structurally elucidated,S003,Reported to convert to alternariol in vivo in the engineered system.,116
M4-FUNG-0011:M003,M4-FUNG-0011,M003,heptaketide isocoumarins,compounds 10 and 11,NR,NR,minor PkgA/PkgB products,NR,engineered A. nidulans culture extract,structurally characterized in study/SI,S003,Names not normalized in this pass.,117
M4-FUNG-0011:M004,M4-FUNG-0011,M004,hexaketide isocoumarins,compounds 12 and 13,NR,NR,minor chain-length-variant products,NR,engineered A. nidulans culture extract,structurally characterized in study/SI,S003,Demonstrate imperfect PkgA chain-length fidelity.,118
M4-FUNG-0012:M001,M4-FUNG-0012,M001,asperfuranone,final product,C19H24O5,NPAtlas NPA010580; PubChem CID 56955920,engineered-access final pathway product,A549 antiproliferative activity; cell-cycle arrest and apoptosis in vitro,culture broth/supernatant and fungal extracts after activation,isolated + NMR/MS exact structure,S001; S003; S004; S005; S006,Not detectably produced by wild type under the defining standard lab conditions.,118
M4-FUNG-0012:M002,M4-FUNG-0012,M002,preasperfuranone,biosynthetic intermediate,NR,NR,AfoD-upstream pathway intermediate,NR,afoD-deletion culture extract,intermediate isolated/identified in pathway dissection,S003,Accumulation localizes AfoD downstream of the dual-PKS scaffold.,119
M4-FUNG-0013:M001,M4-FUNG-0013,M001,ankaflavin,yellow pigment,C23H30O5,MIBiG NPAtlas/PubChem,reduced yellow azaphilone branch product,compound-level bioactivities reported elsewhere; native role unresolved,Monascus pigment extract,exact structure,S001; S005,MppE promotes yellow branch in M. purpureus.,131
M4-FUNG-0013:M002,M4-FUNG-0013,M002,monascin,yellow pigment,C21H26O5,MIBiG NPAtlas/PubChem,reduced yellow azaphilone branch product,compound-level bioactivities reported elsewhere; native role unresolved,Monascus pigment extract,exact structure,S001; S005,MppE promotes yellow branch in M. purpureus.,132
M4-FUNG-0013:M003,M4-FUNG-0013,M003,rubropunctatin,orange pigment,C21H22O5,MIBiG NPAtlas,oxidized orange azaphilone branch product,pigment/colorant,Monascus pigment extract,exact structure,S001; S006,ΔmppG strongly impairs orange branch in M. purpureus.,133
M4-FUNG-0013:M004,M4-FUNG-0013,M004,monascorubrin,orange pigment,C23H26O5,MIBiG PubChem/NPAtlas,oxidized orange azaphilone branch product,pigment/colorant,Monascus pigment extract,exact structure,S001; S006,ΔmppG strongly impairs orange branch in M. purpureus.,134
M4-FUNG-0013:M005,M4-FUNG-0013,M005,monascusone A,FAS-defect intermediate/shunt,NR,NR,unacylated/hydrogenated azaphilone accumulated after dedicated-FAS disruption,NR,M. purpureus F9 mutant extract,isolated/identified in FAS study,S004,Not a listed BGC0000027 final product; useful intermediate evidence.,135
M4-FUNG-0014:M001,M4-FUNG-0014,M001,bikaverin,final red pigment,C20H14O8,PubChem linked by MIBiG,native final pathway product,antibacterial/antioomycete and ecological defensive activity,"culture filtrate, mycelium, interaction-zone/chlamydospore-associated signal",exact structure + HPLC/HRMS/NMR,S001; S003; S005; S008,,115
M4-FUNG-0014:M002,M4-FUNG-0014,M002,pre-bikaverin,PKS scaffold/intermediate,NR,NR,direct Bik1/PKS product before Bik2/Bik3 tailoring,NR,engineered/pathway-intermediate extracts,structurally resolved in pathway studies,S003; S005,,116
M4-FUNG-0014:M003,M4-FUNG-0014,M003,norbikaverin,late intermediate/congener,NR,NR,partially methylated/oxidized pathway intermediate,NR,pathway-intermediate extracts,HRMS/NMR-supported,S005,,117
M4-FUNG-0014:M004,M4-FUNG-0014,M004,oxo-pre-bikaverin and related intermediates,intermediate family,NR,NR,Bik2/Bik3 alternating-reaction intermediates,NR,engineered pathway extracts,HRMS/NMR-supported,S005,Used for reaction-order resolution.,118
M4-FUNG-0015:M001,M4-FUNG-0015,M001,cichorine,parent isoindolinone,C10H11NO3,MIBiG PubChem link,native final product under YES conditions; also precursor building block for cross-cluster chemistry,phytotoxic,whole YES-agar extract / engineered fermentation,NMR + MS exact structure,S001; S003,,115
M4-FUNG-0015:M002,M4-FUNG-0015,M002,3-methylorsellinic acid,early pathway intermediate,C9H10O4,NR,direct CicF/PKS product and cicBΔ intermediate,NR,acidified cicBΔ extract / CicF-overexpression culture,NMR + MS exact structure,S003; S004,Acidification was required to recover this ionizable intermediate efficiently.,116
M4-FUNG-0015:M003,M4-FUNG-0015,M003,nidulol,later pathway intermediate,C10H10O4,NR,cicCΔ trapped intermediate,mild cytotoxicity reported historically,acidified cicCΔ extract,NMR + MS exact structure,S003,,117
M4-FUNG-0015:M004,M4-FUNG-0015,M004,8-methoxycichorine,cichorine derivative,C11H13NO4,NR,later A. nidulans derivative dependent on cichorine-pathway chemistry,phytotoxic in leaf assay,LO8030 parental-pathway context,NMR/HRESIMS exact structure,S006,,118
M4-FUNG-0015:M005,M4-FUNG-0015,M005,8-epi-methoxycichorine,cichorine derivative,NR,NR,later A. nidulans derivative,phytotoxic in leaf assay,LO8030 parental-pathway context,NMR/HRESIMS exact structure,S006,,119
M4-FUNG-0015:M006,M4-FUNG-0015,M006,N-(4'-carboxybutyl)cichorine,amino-acid-derived cichorine adduct,NR,NR,later cichorine-derived product; nitrogen substituent likely sourced from amino-acid metabolism,phytotoxic in leaf assay,LO8030 parental-pathway context,NMR/HRESIMS exact structure,S006,"Possible connection to nearby amino-acid transport/metabolism, not fully resolved.",120
M4-FUNG-0015:M007,M4-FUNG-0015,M007,isoleucylcichorine,isoindolone-amino-acid adduct,NR,NR,CicD-overexpression derivative,phytotoxic compound class; exact comparative potency from full paper not extracted here,A1145/cicD fermentation,NMR/HRESIMS/ECD exact structure,S007,New in 2025 study.,121
M4-FUNG-0015:M008,M4-FUNG-0015,M008,leucylcichorine,isoindolone-amino-acid adduct,NR,NR,CicD-overexpression derivative,phytotoxic compound class,A1145/cicD fermentation,NMR/HRESIMS/ECD exact structure,S007,New in 2025 study.,122
M4-FUNG-0016:M001,M4-FUNG-0016,M001,compactin,ML-236B / mevastatin,C23H36O6,MIBiG/PubChem,final statin,HMG-CoA-reductase inhibitor,fermentation broth,exact,S001; S003,,116
M4-FUNG-0016:M002,M4-FUNG-0016,M002,ML-236A,late core before side-chain transfer,NR,NR,MlcH acceptor,pathway intermediate,fungal pathway,established pathway intermediate,S005,,117
M4-FUNG-0017:M001,M4-FUNG-0017,M001,"10,11-dehydrocurvularin",DHC,C16H18O5,MIBiG NPAtlas/PubChem,native final pathway product,phytotoxic; antifungal; cytotoxic; heat-shock-response and immune-modulatory activity,native fungal extract and heterologous yeast extract,NMR-confirmed exact structure,S001; S003; S005,6 mg/L isolated in dual-PKS yeast experiment.,115
M4-FUNG-0017:M002,M4-FUNG-0017,M002,11-hydroxycurvularin,11α/11β-hydroxycurvularin mixture,C16H20O6,NR,water-addition derivative of dehydrocurvularin formed in heterologous production,NR,heterologous yeast extract,1D/2D NMR exact structure,S003,2.5 mg/L isolated; ~3:1 11α:11β enantiomeric/isomeric mixture reported.,116
M4-FUNG-0017:M003,M4-FUNG-0017,M003,YX-28-4-RF,engineered acyl-DAL ethyl ester,NR,NR,starter-unit-feeding product generated by CurS2 with reduced SNAC precursor,NR,heterologous yeast feeding experiment,HRMS/MS-supported engineered analogue,S003,Not a native BGC product; used to probe CurS2 programming.,117
M4-FUNG-0018:M001,M4-FUNG-0018,M001,depudecin,parent product,C11H16O4,NPAtlas NPA01465,native final pathway product,HDAC inhibitor; minor virulence factor on cabbage; cell-morphology reversal activity in transformed NIH3T3 cells,fungal culture extract,exact structure,S001; S003; S008,,115
M4-FUNG-0018:M002,M4-FUNG-0018,M002,DEP2-disruption epoxide metabolite(s),candidate pathway intermediate/shunt,NR,NR,oxidized intermediate/shunt exposed by loss of DEP2,NR,dep2 mutant culture extract,epoxide-containing chemical phenotype; exact structures not fully resolved in defining work,S003; S006,,116
M4-FUNG-0018:M003,M4-FUNG-0018,M003,DEP4-disruption epoxide metabolite(s),candidate pathway intermediate/shunt,NR,NR,oxidized intermediate/shunt exposed by loss of DEP4,NR,dep4 mutant culture extract,epoxide-containing chemical phenotype; exact structures not fully resolved in defining work,S003; S006,,117
M4-FUNG-0019:M001,M4-FUNG-0019,M001,dothistromin,final toxin,C18H12O9,MIBiG compound record,native final pathway product,broad-spectrum toxin; virulence factor in pine needle blight,culture extract and infected pine lesions,X-ray-supported exact structure + chromatographic assays,S001; S008,,142
M4-FUNG-0019:M002,M4-FUNG-0019,M002,versicolorin A,mutant-accumulated intermediate,NR,NR,aflatoxin-like intermediate upstream of DotA/Ver1-dependent step,mycotoxin-pathway intermediate,dotA mutant extract,chemically identified in mutant,S003,Strong intermediate-localization evidence.,143
M4-FUNG-0019:M003,M4-FUNG-0019,M003,norsolorinic acid and other supplied aflatoxin precursors,exogenous pathway probes,NR,NR,advanced precursor probes for downstream pathway competence,NA,pksA-mutant feeding assay,conversion to dothistromin,S002,Demonstrates downstream machinery remains competent after PksA loss.,144
M4-FUNG-0020:M001,M4-FUNG-0020,M001,orsellinic acid,OA,C8H8O4,MIBiG PubChem,direct OrsA tetraketide product / pathway precursor,archetypal polyketide; native ecological role unresolved,culture-medium extract,HRESI-MS + NMR,S001; S003; S004,OrsA alone is sufficient under tested conditions.,122
M4-FUNG-0020:M002,M4-FUNG-0020,M002,F9775A,cathepsin-K inhibitor,C21H16O8,MIBiG PubChem,oxidatively elaborated OrsA-derived product,cathepsin K inhibitor / anti-osteoporosis lead,culture-medium extract,LC-MS/NMR identity,S001; S003; S004,Requires OrsA/B/C locally.,123
M4-FUNG-0020:M003,M4-FUNG-0020,M003,F9775B,cathepsin-K inhibitor,C21H16O8,MIBiG PubChem,oxidatively elaborated OrsA-derived product,cathepsin K inhibitor / anti-osteoporosis lead,culture-medium extract,LC-MS/NMR identity,S001; S003; S004,Requires OrsA/B/C locally.,124
M4-FUNG-0020:M004,M4-FUNG-0020,M004,lecanoric acid,orsellinic-acid dimer,C16H14O7,NR,coculture-induced OA-derived product,ATP-synthesis/electron-transfer inhibitor reported in prior literature; lichen-associated metabolite,bacteria–fungus coculture extract,HRESI-MS + NMR,S004,Not included in MIBiG compound list despite direct primary observation.,125
M4-FUNG-0020:M005,M4-FUNG-0020,M005,gerfelin,orsBΔ deletion product,NR,NR,candidate shunt/intermediate formed when OrsB is absent,geranylgeranyl diphosphate synthase inhibitor,orsBΔ culture extract,NMR characterized,S003,Direct pathway position uncertain.,126
M4-FUNG-0020:M006,M4-FUNG-0020,M006,C10-deoxygerfelin,orsBΔ deletion product,NR,NR,candidate shunt/intermediate,NR,orsBΔ culture extract,NMR characterized,S003,,127
M4-FUNG-0020:M007,M4-FUNG-0020,M007,diorcinol,orsCΔ deletion product,NR,NR,candidate shunt/intermediate formed when OrsC is absent,reported antibiotic activity,orsCΔ culture extract,NMR characterized,S003,Direct pathway position uncertain.,128
M4-FUNG-0021:M001,M4-FUNG-0021,M001,fumonisin B1,FB1,C34H59NO15,NPAtlas,major final B-series product; ~80% of total FB in some M-3125 conditions,ceramide-synthase inhibitor; major food/feed mycotoxin,maize and cell-free culture extract,authentic standard + MS/HRMS,S001; S008,,123
M4-FUNG-0021:M002,M4-FUNG-0021,M002,fumonisin B2,FB2,C34H59NO14,NPAtlas,B-series congener,ceramide-synthase inhibitor,maize/culture extract,authentic standard,S001,,124
M4-FUNG-0021:M003,M4-FUNG-0021,M003,fumonisin B3,FB3,C34H59NO14,NPAtlas,direct precursor/congener lacking C5 hydroxyl relative to FB1,ceramide-synthase inhibitor,maize/culture extract,authentic standard,S001; S008,,125
M4-FUNG-0021:M004,M4-FUNG-0021,M004,fumonisin B4,FB4,NR,NR,natural B-series congener,ceramide-synthase inhibitor,culture extract,MS/chemical identification,S018,Not listed by MIBiG.,126
M4-FUNG-0021:M005,M4-FUNG-0021,M005,hydrolyzed fumonisins HFB3/HFB4,tricarballylic-ester-deficient precursors,NR,NR,FUM14 deletion products/esterification substrates,reduced toxicity relative to intact esterified forms,fum14 mutant extract,MS/NMR + enzyme assay,S021,,127
M4-FUNG-0021:M006,M4-FUNG-0021,M006,C3-keto FB3/FB4-like analogues,FUM13 mutant products,NR,NR,substrates before Fum13 C3 reduction,NR,fum13 mutant extract,MS + NMR,S018,,128
M4-FUNG-0021:M007,M4-FUNG-0021,M007,early hydroxylated aminopolyol intermediates,FUM6 mutant intermediates,NR,NR,early post-Fum8 pathway intermediates,NR,fum6 mutant/coculture extracts,LC-MS + spectroscopy,S006; S017,,129
M4-FUNG-0022:M001,M4-FUNG-0022,M001,fumonisin C1,FC1,C33H57NO15,NPAtlas,major C-series product,sphinganine-analog mycotoxin,kernel/culture extract,MS + prior structural characterization,S001; S003; S008,Predominant historical O-1890 product.,124
M4-FUNG-0022:M002,M4-FUNG-0022,M002,fumonisin C2,FC2,NR,ChEBI link in MIBiG,C-series congener,sphinganine-analog mycotoxin,kernel/culture extract,MS,S001; S003,,125
M4-FUNG-0022:M003,M4-FUNG-0022,M003,fumonisin C3,FC3,C33H57NO14,NPAtlas,C-series congener,sphinganine-analog mycotoxin,kernel/culture extract,MS,S001; S003,,126
M4-FUNG-0022:M004,M4-FUNG-0022,M004,hydroxy-fumonisin C1,hydroxy-FC1,NR,PubChem link in MIBiG,additional hydroxylated O-1890 congener,NR,kernel/culture extract,MS,S001; S004,Hydroxylase remains unresolved; FUM15 excluded.,127
M4-FUNG-0022:M005,M4-FUNG-0022,M005,fumonisin B1,FB1,C34H59NO15,NPAtlas,minor B-series product in O-1890; predominant when FoFUM8 V580A is tested in F. verticillioides background,ceramide-synthase inhibitor,culture extract,MS,S001; S004,,128
M4-FUNG-0023:M001,M4-FUNG-0023,M001,fusarin C,canonical final product,C23H29NO7,PubChem CID 6435894,final methylated fusarin,mutagenic; estrogenic agonist in MCF-7 cells,culture supernatant / corn,NMR + MS exact structure,S002; S009; S012,Authoritative formula conflicts with current MIBiG display.,118
M4-FUNG-0023:M002,M4-FUNG-0023,M002,dihydrofusarin C,natural/cluster-associated congener,C23H31NO7,MIBiG compound,fusarin congener,NR,culture supernatant,authentic-standard match,S001; S003,,119
M4-FUNG-0023:M003,M4-FUNG-0023,M003,fusarin D,natural/cluster-associated congener,C23H29NO7,MIBiG compound,fusarin congener,NR,culture supernatant,authentic-standard match,S001; S003,,120
M4-FUNG-0023:M004,M4-FUNG-0023,M004,epi-fusarin C,rearrangement/natural-associated product,C23H29NO7,MIBiG compound,fusarin C rearrangement product under chromatographic/chemical conditions,NR,culture/extract,NMR/HRMS,S001; S010,Analytical chemistry can alter apparent product identity.,121
M4-FUNG-0023:M005,M4-FUNG-0023,M005,prefusarin,early Fus1 product,NR,NR,open-chain PKS–NRPS release product,NR,Δfus2-9 mutant supernatant,LC-MS/MS-supported intermediate,S003,,122
M4-FUNG-0023:M006,M4-FUNG-0023,M006,20-hydroxy-prefusarin,Fus2-deletion intermediate,NR,NR,post-Fus8/pre-Fus2 intermediate,NR,Δfus2 supernatant,NMR/MS,S003,,123
M4-FUNG-0023:M007,M4-FUNG-0023,M007,decarboxy-fusarin C,Fus8-deletion intermediate,NR,NR,late intermediate lacking final C20 oxidation,NR,Δfus8 supernatant,NMR/MS,S003,,124
M4-FUNG-0023:M008,M4-FUNG-0023,M008,carboxy-fusarin C,Fus9-deletion intermediate,C22H26NO7-,PubChem CID 91819749,direct precursor before terminal methylation,NR,Δfus9 supernatant,LC-MS/NMR-supported,S003; S009,,125
M4-FUNG-0024:M001,M4-FUNG-0024,M001,griseofulvin,chlorinated final product,C17H17ClO6,PubChem/NPAtlas,native final product,antifungal; microtubule-dynamics inhibitor,stationary-culture extract; in-vitro total synthesis,exact structure; authentic standard/NMR/MS,S001; S003; S004,,128
M4-FUNG-0024:M002,M4-FUNG-0024,M002,dechlorogriseofulvin / epidechlorogriseofulvin,dechlorinated final analogue,C17H18O6,NPAtlas,native/deletion-associated dechlorinated product,antifungal analogue,WT and ΔgsfI culture extract,NMR/MS,S001; S003,Naming varies across sources.,129
M4-FUNG-0024:M003,M4-FUNG-0024,M003,griseophenone C,pre-halogenation benzophenone,NR,NR,substrate for GsfI,NR,in-vitro assay / pathway intermediate,NMR/MS / biochemical conversion,S004,,130
M4-FUNG-0024:M004,M4-FUNG-0024,M004,griseophenone B,chlorinated benzophenone,NR,NR,substrate for GsfF spirocyclization,NR,in-vitro assay,biochemical conversion,S004,,131
M4-FUNG-0024:M005,M4-FUNG-0024,M005,griseoxanthone C,off-pathway shunt,NR,NR,xanthone formed when methylation fails,NR,ΔgsfC extract,NMR/MS,S004,Demonstrates methylation can prevent shunt chemistry.,132
M4-FUNG-0024:M006,M4-FUNG-0024,M006,desmethyl-dehydrogriseofulvin A,late intermediate,NR,NR,substrate before GsfD/GsfE completion,NR,ΔgsfD/GsfF pathway experiments,NMR/MS,S004,,133
M4-FUNG-0024:M007,M4-FUNG-0024,M007,dehydrogriseofulvin / dechloro-dehydrogriseofulvin,late reduction substrates,NR,NR,substrates for GsfE terminal reduction,NR,ΔgsfE extracts / enzyme assay,NMR/MS,S004,,134
M4-FUNG-0025:M001,M4-FUNG-0025,M001,hypothemycin,final major product,C19H22O8,MIBiG PubChem,native final RAL,covalent kinase inhibitor; cytotoxic/anticancer-tool activity,culture broth,exact structure,S001; S003; S006,,116
M4-FUNG-0025:M002,M4-FUNG-0025,M002,4-O-desmethylhypothemycin,Hpm5-deficient product / natural congener,NR,NR,unmethylated pathway product,selective cytotoxicity reported against BRAF-mutant cell lines,native DSM11932 mutant and WT/congener isolates,spectroscopic/X-ray-supported structure,S003; S004,,117
M4-FUNG-0025:M003,M4-FUNG-0025,M003,"7′,8′-dihydrohypothemycin",saturated congener,NR,NR,"native congener with reduced 7′,8′ bond",NR,culture broth,spectroscopic identification,S003; S004,Likely arises through native activity not reproduced by Hpm3+Hpm8 yeast reconstruction.,118
M4-FUNG-0025:M004,M4-FUNG-0025,M004,"trans-7′,8′-dehydrozearalenol",DHZ,C18H22O5,NR,direct two-PKS scaffold product,NR,heterologous yeast broth,HRMS + NMR exact assignment,S003,~20 mg/L in seven of eight dual-PKS yeast clones.,119
M4-FUNG-0025:M005,M4-FUNG-0025,M005,aigialomycin C,post-PKS intermediate/congener,NR,NR,DHZ-derived intermediate after methylation/epoxidation/hydroxylation combinations,NR,native/heterologous pathway context,known RAL structure,S003,2008 pathway considered chemistry secure mainly up to this stage.,120
M4-FUNG-0025:M006,M4-FUNG-0025,M006,aigialomycin A,trans-enone congener,NR,NR,"trans 7′,8′ isomer related to hypothemycin",NR,native culture / enzyme assay,known structure,S003; S005,Relevant to Hpm2 equilibrium.,121
M4-FUNG-0026:M001,M4-FUNG-0026,M001,hypothemycin,final major product,C19H22O8,MIBiG PubChem,native final RAL,covalent kinase inhibitor; cytotoxic/anticancer-tool activity,culture broth,exact structure,S001; S003; S006,,116
M4-FUNG-0026:M002,M4-FUNG-0026,M002,4-O-desmethylhypothemycin,Hpm5-deficient product / natural congener,NR,NR,unmethylated pathway product,selective cytotoxicity reported against BRAF-mutant cell lines,native DSM11932 mutant and WT/congener isolates,spectroscopic/X-ray-supported structure,S003; S004,,117
M4-FUNG-0026:M003,M4-FUNG-0026,M003,"7′,8′-dihydrohypothemycin",saturated congener,NR,NR,"native congener with reduced 7′,8′ bond",NR,culture broth,spectroscopic identification,S003; S004,Likely arises through native activity not reproduced by Hpm3+Hpm8 yeast reconstruction.,118
M4-FUNG-0026:M004,M4-FUNG-0026,M004,"trans-7′,8′-dehydrozearalenol",DHZ,C18H22O5,NR,direct two-PKS scaffold product,NR,heterologous yeast broth,HRMS + NMR exact assignment,S003,~20 mg/L in seven of eight dual-PKS yeast clones.,119
M4-FUNG-0026:M005,M4-FUNG-0026,M005,aigialomycin C,post-PKS intermediate/congener,NR,NR,DHZ-derived intermediate after methylation/epoxidation/hydroxylation combinations,NR,native/heterologous pathway context,known RAL structure,S003,2008 pathway considered chemistry secure mainly up to this stage.,120
M4-FUNG-0026:M006,M4-FUNG-0026,M006,aigialomycin A,trans-enone congener,NR,NR,"trans 7′,8′ isomer related to hypothemycin",NR,native culture / enzyme assay,known structure,S003,Relevant to Hpm2 equilibrium.,121
M4-FUNG-0027:M001,M4-FUNG-0027,M001,lovastatin,final lactone product,C24H36O5,PubChem/NPAtlas,final esterified statin,HMG-CoA reductase inhibitor after hydrolysis to active acid,fermentation extract,exact structure/authentic standard,S001; S009; S010,,126
M4-FUNG-0027:M002,M4-FUNG-0027,M002,lovastatin hydroxy-acid,ring-open active form,C24H38O6,NR,pharmacologically active hydroxy-acid state,direct HMG-CoA-reductase inhibitor,culture/analytical conversion context,well-established chemical form,S009,Analytical protocols can interconvert lactone/acid forms.,127
M4-FUNG-0027:M003,M4-FUNG-0027,M003,dihydromonacolin L,DML / nonaketide scaffold,NR,NR,LovB/LovC/LovG product before LovA oxidation,pathway intermediate,heterologous/cell-free system,LC-MS/NMR,S005; S007,,128
M4-FUNG-0027:M004,M4-FUNG-0027,M004,monacolin L,oxidation intermediate,NR,NR,first LovA oxidation product,pathway intermediate,LovA assay,LC-MS/NMR,S006,,129
M4-FUNG-0027:M005,M4-FUNG-0027,M005,monacolin J,deacylated core,NR,NR,second LovA oxidation product and LovD acyl acceptor,statin intermediate,blocked mutant/biochemical assay,LC-MS/standard,S006; S008,,130
