term_id,term_type,raw_label,canonical_label,normalization_status
TERM_8bde5a321858,state.culture_architecture,peanut-kernel screening assay,,"unresolved_type_mismatch: peanut-kernel screening assay describes a host-based assay design, not culture architecture"
TERM_fb3d03ecd283,state.medium,Tifrunner peanut kernels,Tifrunner peanut kernel substrate,normalized_partial: growth substrate extracted; peanut kernels are a host-derived substrate rather than a conventional liquid/agar medium
TERM_b6101c8cb696,action.intervention,host-kernel colonization,,"unresolved_type_mismatch: host-kernel colonization describes a biological process/state, not a discrete experimental intervention"
TERM_1e4b15c2bb52,state.developmental_state,seed colonization,seed colonization,normalized
TERM_5d7023d91a67,observation.sample_matrix,colonized kernels,colonized kernels,normalized
TERM_c5856ab46e4d,assay.method,kernel screening assay + quantitative aflatoxin measurement,,unresolved_composite: combines a kernel-screening assay with quantitative aflatoxin measurement; distinct assay components require separate representation
TERM_bd6c7dc96551,state.culture_architecture,submerged oxidative-stress assay,submerged culture,normalized_partial: culture architecture extracted; oxidative-stress assay context remains only in raw_label
TERM_1fe8ca886298,state.medium,YES + 25–45 mM H2O2,YES medium,normalized_partial: medium component extracted; 25–45 mM H2O2 exposure remains only in raw_label as an intervention component
TERM_a6ca7829cd1f,state.agitation,150,,unreviewed
TERM_4f815d77c697,action.intervention,atfC deletion + oxidative-stress gradient,,unresolved_composite: combines atfC deletion with an oxidative-stress gradient; distinct interventions require separate action terms
TERM_a233f78af42d,time.window,5 days,120 h,normalized
TERM_8378e5f0d1af,observation.sample_matrix,culture medium,culture medium,normalized
TERM_c4bf578748d5,assay.method,TLC,thin-layer chromatography (TLC),normalized
TERM_d867e0d2f445,action.intervention,atfC deletion,atfC deletion,normalized
TERM_9fc37e4624c3,assay.method,kernel screening assay + aflatoxin quantification,,unresolved_composite: combines a kernel-screening assay with aflatoxin quantification; distinct assay components require separate representation
TERM_27237993af49,state.culture_architecture,developing cotton-boll inoculation,in planta developing cotton-boll assay,normalized_partial: host-based experimental architecture extracted; inoculation action remains only in raw_label
TERM_3a2febeab8c7,state.medium,living cotton bolls,living cotton boll host substrate,normalized_partial: host substrate extracted; living cotton bolls are not a conventional formulated medium
TERM_6145445d9f9b,action.intervention,intraspecific competition / co-inoculation,co-inoculation,normalized_partial: co-inoculation action extracted; intraspecific-competition context remains only in raw_label
TERM_4f1029299ce1,state.developmental_state,host colonization,host colonization,normalized
TERM_dbf78ed5989d,time.window,maturity,,unresolved_type_mismatch: maturity is a developmental endpoint and does not specify a temporal duration or sampling time
TERM_2507ac65a8f6,observation.sample_matrix,cotton locule/seed tissue,cotton locule/seed tissue,normalized
TERM_e56d0f1da75f,assay.method,aflatoxin B quantification,aflatoxin B quantification,normalized
TERM_f57faeb5fbb8,assay.method,acetone/methylene-chloride extraction + TLC,thin-layer chromatography (TLC),normalized_partial: analytical method extracted; acetone/methylene-chloride extraction remains only in raw_label as sample preparation
TERM_950a44a9c936,state.culture_architecture,submerged shake-flask fermentation,submerged shake-flask culture,normalized
TERM_d53f8a5b7027,state.medium,defined medium; (NH4)2SO4 or urea as sole N source,defined medium with ammonium sulfate or urea as sole nitrogen source,normalized_partial: defined-medium and alternative sole-nitrogen-source components retained; individual nitrogen-source conditions remain combined in raw_label
TERM_b99c0e47781b,action.intervention,nitrogen source × concentration,nitrogen source and concentration variation,normalized
TERM_0cdcca230b63,observation.sample_matrix,culture filtrate,culture filtrate,normalized
TERM_8960dbdca203,assay.method,acetone extraction → methylene chloride → TLC + fluorescence densitometry,thin-layer chromatography (TLC) fluorescence densitometry,normalized_partial: analytical readout extracted; acetone extraction and methylene-chloride partition remain only in raw_label as sample-preparation steps
TERM_547caf9c1148,state.culture_architecture,submerged culture,submerged culture,normalized
TERM_8cbc6b1f85fe,state.medium,buffered nitrate versus ammonium salts medium,buffered nitrate versus ammonium salts medium,normalized
TERM_52c3005abf78,action.intervention,nitrogen-source substitution,nitrogen-source substitution,normalized
TERM_6e64558dd180,observation.sample_matrix,culture / RNA,,unresolved_composite: combines culture material and RNA as distinct sample matrices
TERM_a6f58a850cb2,assay.method,aflatoxin quantification + gene-expression analysis,,unresolved_composite: combines aflatoxin quantification and gene-expression analysis as distinct measurement methods
TERM_822c91e9ceb4,state.culture_architecture,submerged pH experiment,submerged culture,normalized_partial: culture architecture extracted; pH-experiment context remains only in raw_label
TERM_422916dfb509,state.medium,modified minimal salts + ammonium sulfate; initial pH 5–8,modified minimal salts medium with ammonium sulfate,normalized_partial: medium composition extracted; initial pH 5–8 remains only in raw_label as an experimental condition
TERM_c031f3ffff06,action.intervention,initial pH manipulation,initial pH manipulation,normalized
TERM_cbdae5e2ddf9,time.window,4 days,96 h,normalized
TERM_0a443c6e9001,observation.sample_matrix,whole culture / mycelium,,unresolved_composite: combines whole-culture material and isolated mycelium as distinct sample matrices
TERM_1705512adc58,assay.method,aflatoxin yield + dry weight + final pH,,"unresolved_type_mismatch: label lists measured outcomes (aflatoxin yield, dry weight, final pH) rather than an analytical method"
TERM_fa141a67b285,state.culture_architecture,buffered submerged pH experiment,submerged culture,normalized_partial: culture architecture extracted; buffered pH-experiment context remains only in raw_label
TERM_b5de05b5af23,state.medium,minimal salts + 10 mM glutamine + 50 mM citrate buffer,minimal salts medium with 10 mM glutamine and 50 mM citrate buffer,normalized
TERM_43d5dffd8e4e,action.intervention,"pH 2.5, 3.5, 4.5, 5.5",pH levels 2.5; 3.5; 4.5; 5.5,normalized
TERM_4f283cf098f5,time.window,3 d RNA / 4 d toxin,,unresolved_composite: combines a 3-day RNA sampling point with a 4-day toxin sampling point; distinct temporal observations require separate representation
TERM_98ea35f57f3c,observation.sample_matrix,mycelial RNA + culture,,unresolved_composite: combines mycelial RNA and culture material as distinct sample matrices
TERM_8d7d29fd8e37,assay.method,qRT-PCR for aflR/pksA/ordA + aflatoxin quantification,,unresolved_composite: combines qRT-PCR gene-expression analysis with aflatoxin quantification as distinct measurement methods
TERM_d66bf7f3ef7d,state.culture_architecture,comparative sequence analysis,,"unresolved_type_mismatch: comparative sequence analysis is an analytical workflow, not culture architecture"
TERM_f7ec00815bc1,action.intervention,comparative norB–cypA sequencing,,"unresolved_type_mismatch: comparative norB–cypA sequencing is an analytical procedure, not an experimental intervention"
TERM_9fa51ff6c2fd,assay.method,sequence alignment,sequence alignment,normalized
TERM_ed497c31ec9e,state.medium,aflatoxin-conducive medium,,unresolved_underspecified: medium formulation is not identified and the label embeds condition-specific aflatoxin response interpretation
TERM_eb190a529ba0,observation.sample_matrix,culture extract / RNA,,unresolved_composite: combines culture extract and RNA as distinct sample matrices
TERM_247e0e938db3,assay.method,TLC + PCR + Northern,,"unresolved_composite: combines TLC, PCR, and Northern analysis as distinct analytical methods"
TERM_4e0447169f5f,state.culture_architecture,solid-medium phenotype comparison,solid culture,normalized_partial: solid culture architecture extracted; phenotype-comparison context remains only in raw_label
TERM_ccae81cf52f3,state.medium,YGT; V8,,unresolved_composite: combines YGT and V8 as distinct media conditions
TERM_54f8ece08223,state.developmental_state,S- versus L-morphotype development,,unresolved_composite: compares S- and L-morphotype developmental states rather than identifying one developmental state
TERM_51c7ac1ae25c,time.window,6 days for YGT morphology,144 h,normalized_partial: six-day timepoint normalized to hours; YGT morphology context remains only in raw_label
TERM_54a45d187539,observation.sample_matrix,colonies / culture extracts,,unresolved_composite: combines colonies and culture extracts as distinct sample matrices
TERM_ddc0e85457ed,assay.method,morphology + HPLC aflatoxin quantification,,unresolved_composite: combines morphology assessment and HPLC aflatoxin quantification as distinct analytical methods
TERM_3fa81638f6c6,state.culture_architecture,ground-corn versus PDB matrix experiment,,"unresolved_type_mismatch: ground-corn versus PDB matrix comparison describes substrate/medium conditions, not culture architecture"
TERM_e76a19963978,state.medium,20 g ground corn or 44 mL PDB in 250-mL flasks,,unresolved_composite: combines ground corn and PDB as alternative media/substrate conditions; flask volume and loading are retained in raw_label
TERM_d9652ce204e0,state.agitation,incubated in dark,,"unresolved_type_mismatch: incubation in darkness is a light condition, not agitation"
TERM_f53a9a952197,action.intervention,substrate identity,substrate identity variation,normalized
TERM_148a7fa81f1d,state.developmental_state,colonizing/growing culture,colonizing/growing culture,normalized
TERM_3547661a3dfb,time.window,10 days,240 h,normalized
TERM_6a1d381f8d31,observation.sample_matrix,ground corn or PDB; RNA and toxin extracts,,unresolved_composite: combines alternative culture matrices with RNA and toxin extracts as distinct sample matrices
TERM_d09bbc045b16,assay.method,AFB1 ELISA + RNA-seq/DESeq2 + EDNAtran,,"unresolved_composite: combines AFB1 ELISA, RNA-seq/DESeq2, and EDNAtran analyses as distinct analytical workflows"
TERM_9f26433c0bbc,state.medium,minimal salts + glutamine + citrate buffer,minimal salts medium with glutamine and citrate buffer,normalized
TERM_6bbf469c2ba1,action.intervention,pH 2.5–5.5,pH variation 2.5–5.5,normalized
TERM_fc42c255a2c0,observation.sample_matrix,mycelial RNA + culture toxin,,unresolved_composite: combines mycelial RNA and culture toxin material as distinct sample matrices
TERM_c4ca44da4efc,assay.method,qRT-PCR aflR/pksA/ordA + toxin quantification,,unresolved_composite: combines qRT-PCR gene-expression analysis and toxin quantification as distinct analytical methods
TERM_77c483128635,state.culture_architecture,development/toxin genetics,,"unresolved_type_mismatch: development/toxin genetics describes study focus or genetic analysis, not culture architecture"
TERM_5e1e8e11696d,state.medium,Wickerham/YES/PDB-type assays as described in source,,"unresolved_composite: combines Wickerham, YES, and PDB-type media and does not specify one medium condition"
TERM_fe69cebf7c50,state.agitation,condition-specific,,unresolved_underspecified: agitation condition is not specified
TERM_4f744a79093c,action.intervention,hbx1 deletion and complementation,,unresolved_composite: combines hbx1 deletion and complementation as distinct genetic interventions
TERM_509b4f83b2b2,state.developmental_state,conidiation/sclerotial development,,unresolved_composite: combines conidiation and sclerotial development as distinct developmental states/outcomes
TERM_b34faf0a265f,time.window,endpoint/time-course,,unresolved_composite: combines an endpoint and a time-course regime without specifying one temporal window
TERM_f5f84503742d,observation.sample_matrix,culture + RNA,,unresolved_composite: combines culture material and RNA as distinct sample matrices
TERM_5e3f28b96bfb,assay.method,UPLC + qRT-PCR / developmental phenotyping,,"unresolved_composite: combines UPLC, qRT-PCR, and developmental phenotyping as distinct analytical/phenotypic readouts"
TERM_07da0c8a4665,state.culture_architecture,transcriptome time course,,"unresolved_type_mismatch: transcriptome time course describes a study/measurement design, not culture architecture"
TERM_498ff118c5ce,state.medium,PDBU after preculture,PDBU medium,normalized_partial: medium identity extracted; post-preculture workflow remains only in raw_label
TERM_0eec930dc4e8,state.agitation,250,,unreviewed
TERM_60313d55b9d8,action.intervention,hbx1 deletion,hbx1 deletion,normalized
TERM_677be4f1cc8d,state.developmental_state,early toxin-expression through development,,unresolved_type_mismatch: label describes toxin-expression trajectory across development rather than one developmental state
TERM_994d2282a32f,time.window,6 h; 24 h; 48 h,6 h; 24 h; 48 h,normalized
TERM_cd4acb035b1c,assay.method,RNA-seq,RNA-seq,normalized
TERM_22f0ed55b39b,state.culture_architecture,solid YES toxin assay,solid culture,normalized_partial: solid culture architecture extracted; YES-medium and toxin-assay context remain only in raw_label
TERM_24dc49938332,state.medium,YES agar,YES agar,normalized
TERM_bbc6e2b3703c,action.intervention,fhpA disruption or overexpression,,unresolved_composite: combines fhpA disruption and fhpA overexpression as distinct genetic interventions
TERM_d6c308472525,state.developmental_state,7-day colony development,colony development,normalized_partial: developmental-state component extracted; seven-day timing remains only in raw_label
TERM_f487b55a472f,time.window,7 days,168 h,normalized
TERM_1b7e34993d61,observation.sample_matrix,agar culture extract,agar culture extract,normalized
TERM_9d9ab4415145,assay.method,UPLC AFB1 + qRT-PCR,,unresolved_composite: combines UPLC-based AFB1 analysis and qRT-PCR as distinct analytical methods
TERM_36f5157faa1e,action.intervention,cluster SNP/deletion comparison,,"unresolved_type_mismatch: cluster SNP/deletion comparison is a comparative genomic analysis, not an experimental intervention"
TERM_d1726071b0bc,observation.sample_matrix,genomic sequence,,"unresolved_type_mismatch: genomic sequence is a data object/result, not a biological sample matrix"
TERM_adb4fecb4edd,assay.method,alignment/SNP analysis,sequence alignment and SNP analysis,normalized
TERM_faaaf898c49d,state.culture_architecture,species description / producer characterization,,"unresolved_type_mismatch: species description and producer characterization describe study purpose, not culture architecture"
TERM_46b5e80d0c04,state.medium,culture media used in original taxonomic characterization,,unresolved_underspecified: source refers to culture media used for taxonomic characterization without identifying the medium formulation
TERM_76624a8b94d5,state.developmental_state,native growth,native growth,normalized
TERM_2378c0f25aae,observation.sample_matrix,fungal cultures,fungal culture,normalized
TERM_f6687d51eda2,assay.method,morphology + aflatoxin comparison to standards,,unresolved_composite: combines morphology assessment and aflatoxin comparison to standards as distinct readouts
TERM_23e61bd13a95,state.culture_architecture,comparative cluster sequencing,,"unresolved_type_mismatch: comparative cluster sequencing is an analytical workflow, not culture architecture"
TERM_babf6ad827c7,state.medium,5/2 agar or YES for fungal culture,,unresolved_composite: combines 5/2 agar and YES as distinct medium conditions
TERM_97c2c0f9f98e,time.window,sequence / 3-day production assays in study,72 h,normalized_partial: three-day production-assay timepoint normalized to hours; sequence-study context has no temporal value and remains only in raw_label
TERM_7abf6efd3f8f,observation.sample_matrix,genomic DNA + culture extracts,,unresolved_composite: combines genomic DNA and culture extracts as distinct sample matrices
TERM_8b50f4e429ba,assay.method,fosmid shotgun sequencing + TLC,,unresolved_composite: combines fosmid shotgun sequencing and thin-layer chromatography as distinct analytical methods
TERM_13a5a14b88a6,state.culture_architecture,submerged inoculum-density assay,submerged culture,normalized_partial: submerged culture architecture extracted; inoculum-density assay context remains only in raw_label
TERM_bf6ce5d31efc,state.medium,GMS (glucose) versus PMS (5% peptone),GMS versus PMS medium,normalized_partial: compared GMS glucose and PMS 5% peptone media retained in neutral form; individual medium conditions remain combined in raw_label
TERM_b8461041df77,state.temperature_C,28,,unreviewed
TERM_5a7c387468eb,state.agitation,180,,unreviewed
TERM_d60075c848f3,action.intervention,initial spore density 10^2–10^6 spores/mL,initial spore-density variation 10^2–10^6 spores/mL,normalized
TERM_680e4bb07a32,state.culture_architecture,peanut-phytoalexin feeding assay,,"unresolved_type_mismatch: peanut-phytoalexin feeding assay describes an intervention/assay design, not culture architecture"
TERM_b68a5c46e710,state.medium,PDA-based culture,potato dextrose agar (PDA),normalized_partial: PDA medium identity expanded; generic culture wording remains only in raw_label
TERM_5072ecc6e441,action.intervention,0.3 mM arachidin-1 or arachidin-3,,unresolved_composite: arachidin-1 and arachidin-3 are distinct alternative 0.3 mM interventions and require separate action terms
TERM_707493b7d3ea,state.developmental_state,germination / mycelial development,,unresolved_composite: combines germination and mycelial development as distinct developmental states
TERM_4bb47a67c64e,time.window,24–120 h,24–120 h,normalized
TERM_10f0ae78e27c,observation.sample_matrix,culture + fungal morphology,culture,normalized_partial: culture sample component extracted; fungal morphology is a phenotypic readout and remains only in raw_label
TERM_c3fa93963cb5,assay.method,aflatoxin quantification + microscopy/morphology,,unresolved_composite: combines aflatoxin quantification with microscopy/morphology as distinct analytical and phenotypic readouts
TERM_87e537025450,state.culture_architecture,genome sequencing preparation,,"unresolved_type_mismatch: genome sequencing preparation describes sample/workflow preparation, not culture architecture"
TERM_5df65efd0a2c,state.medium,75 mL potato dextrose broth,potato dextrose broth (PDB),normalized_partial: medium identity extracted; 75 mL culture volume remains only in raw_label
TERM_ac4016814ef4,state.agitation,125,,unreviewed
TERM_2a2de9660a1d,state.developmental_state,overnight mycelial growth,mycelial growth,normalized_partial: developmental-state component extracted; overnight timing remains only in raw_label
TERM_807fb22c0549,time.window,overnight,overnight,normalized
TERM_f43eb01e8d36,observation.sample_matrix,mycelium/genomic DNA,,unresolved_composite: combines mycelial material and genomic DNA as distinct sample matrices
TERM_0c3bd073128d,assay.method,Ion Torrent PGM + MAKER annotation,Ion Torrent PGM sequencing with MAKER annotation,normalized
TERM_362936c3fb7c,state.culture_architecture,temperature-response comparison,,"unresolved_type_mismatch: temperature-response comparison describes an experimental comparison, not culture architecture"
TERM_00719cc27db8,state.medium,Brazil-nut-associated culture system,,unresolved_underspecified: Brazil-nut-associated culture system does not identify a specific medium formulation or substrate composition
TERM_f87481ad2eb7,state.temperature_C,25 / 30 / 35,,unreviewed
TERM_b7ead98f0e1d,action.intervention,temperature,temperature variation,normalized
TERM_48fb1aa29e15,state.developmental_state,radial growth / vegetative growth,vegetative growth,normalized_partial: vegetative-growth developmental state extracted; radial-growth phenotype remains only in raw_label
TERM_80bb6ec1c116,time.window,study endpoint,endpoint,normalized_partial: endpoint relation retained; no absolute duration or sampling time is specified in raw_label
TERM_b699eccf0447,observation.sample_matrix,fungal cultures + RNA + toxin extracts,,"unresolved_composite: combines fungal culture material, RNA, and toxin extracts as distinct sample matrices"
TERM_d4de5597f1e9,assay.method,growth + qPCR aflR/aflD/aflQ + aflatoxin quantification,,"unresolved_composite: combines growth assessment, qPCR gene-expression analysis, and aflatoxin quantification as distinct readouts"
TERM_eb9277c2aa31,state.culture_architecture,longitudinal Brazil-nut-matrix experiment,,"unresolved_type_mismatch: longitudinal Brazil-nut-matrix experiment describes study design and matrix context, not culture architecture"
TERM_a7e402001a3e,state.medium,Brazil-nut-based medium,Brazil-nut-based medium,normalized
TERM_ee8c587bb921,action.intervention,time,time variation,normalized
TERM_dd7394e1c363,time.window,days 2–7,48–168 h,normalized
TERM_959247819b4c,observation.sample_matrix,RNA + aflatoxin extracts,,unresolved_composite: combines RNA and aflatoxin extracts as distinct sample matrices
TERM_14837c834450,assay.method,qPCR aflC/aflQ/aflU/aflX + toxin analysis,,unresolved_composite: combines qPCR gene-expression analysis and toxin analysis as distinct analytical methods
TERM_b86cf69beb23,state.culture_architecture,laboratory fungal culture / molecular genetics,laboratory fungal culture,normalized_partial: laboratory fungal culture architecture extracted; molecular-genetics study context remains only in raw_label
