experiment_link_id,experiment_key,relation_type,term_id,raw_value,source_ids,source_row
XLINK_ad6bfba56243,M4-FUNG-0004:E001,time.window,TERM_05ea1dce8951,sequence study,S002; S004,139
XLINK_f3508c646d5c,M4-FUNG-0004:E001,observation.sample_matrix,TERM_af578adf3340,genomic DNA,S002; S004,139
XLINK_5364a439c89b,M4-FUNG-0004:E001,assay.method,TERM_961a1df7166c,shotgun/fosmid sequencing + comparative sequence analysis,S002; S004,139
XLINK_c82f966b57cb,M4-FUNG-0004:E002,state.culture_architecture,TERM_352375642c58,submerged fungal culture,S004,140
XLINK_b0f14275b0e9,M4-FUNG-0004:E002,state.medium,TERM_d7db661db8fa,glucose minimal salts (aflatoxin-conducive) versus peptone minimal salts (nonconducive),S004,140
XLINK_c9e2f13cfee4,M4-FUNG-0004:E002,action.intervention,TERM_4eb4566c1fef,none,S004,140
XLINK_d7b0f125149d,M4-FUNG-0004:E002,state.developmental_state,TERM_b816a21fe850,vegetative culture,S004,140
XLINK_c4c76fc319a9,M4-FUNG-0004:E002,time.window,TERM_1da8d6d01623,3 days,S004,140
XLINK_ab6122add5e2,M4-FUNG-0004:E002,observation.sample_matrix,TERM_f0e960a8fc0f,total RNA,S004,140
XLINK_8d9228d88679,M4-FUNG-0004:E002,assay.method,TERM_0fc8e04eca28,Northern hybridization,S004,140
XLINK_80f499a6dfdf,M4-FUNG-0004:E003,state.culture_architecture,TERM_ad9d3c8753bb,submerged shake-flask cottonseed-reserve model,S006,141
XLINK_bb25b472000f,M4-FUNG-0004:E003,state.medium,TERM_c1330157a745,defined medium or ground cottonseed treatments,S006,141
XLINK_b874a216fd99,M4-FUNG-0004:E003,state.temperature_C,TERM_bdefa6492c8d,31,S006,141
XLINK_3eaba701929e,M4-FUNG-0004:E003,state.agitation,TERM_91a8a080719a,200,S006,141
XLINK_40f098081bfb,M4-FUNG-0004:E003,action.intervention,TERM_ae16d36ff632,lipid removal / lipid reconstitution / reserve-component manipulation,S006,141
XLINK_c974238e2986,M4-FUNG-0004:E003,state.developmental_state,TERM_838741870ddf,vegetative growth,S006,141
XLINK_f6bbbb484628,M4-FUNG-0004:E003,time.window,TERM_cfd8230b9928,5-day endpoint; separate 0–7-day time course,S006,141
XLINK_4194d0f5bd36,M4-FUNG-0004:E003,observation.sample_matrix,TERM_969b44bb768e,whole culture / medium + biomass,S006,141
XLINK_67ce186ebd81,M4-FUNG-0004:E003,assay.method,TERM_4d01921d8418,acetone extraction + TLC fluorescence densitometry; substrate analyses,S006,141
XLINK_b4b5fec4cfc4,M4-FUNG-0004:E004,state.culture_architecture,TERM_8bde5a321858,peanut-kernel screening assay,S005,142
XLINK_d2fb1194f3d9,M4-FUNG-0004:E004,state.medium,TERM_fb3d03ecd283,Tifrunner peanut kernels,S005,142
XLINK_89daa682fcc1,M4-FUNG-0004:E004,state.temperature_C,TERM_c6e78cf3c85d,30,S005,142
XLINK_b12b8e2d7bda,M4-FUNG-0004:E004,action.intervention,TERM_b6101c8cb696,host-kernel colonization,S005,142
XLINK_f2073ec9239c,M4-FUNG-0004:E004,state.developmental_state,TERM_1e4b15c2bb52,seed colonization,S005,142
XLINK_618d48ed8d3b,M4-FUNG-0004:E004,time.window,TERM_ec418730669c,endpoint,S005,142
XLINK_0774373b91e4,M4-FUNG-0004:E004,observation.sample_matrix,TERM_5d7023d91a67,colonized kernels,S005,142
XLINK_f7407cae681b,M4-FUNG-0004:E004,assay.method,TERM_c5856ab46e4d,kernel screening assay + quantitative aflatoxin measurement,S005,142
XLINK_5460fded3213,M4-FUNG-0004:E005,state.culture_architecture,TERM_bd6c7dc96551,submerged oxidative-stress assay,S005,143
XLINK_fd0cf83d448d,M4-FUNG-0004:E005,state.medium,TERM_1fe8ca886298,YES + 25–45 mM H2O2,S005,143
XLINK_6a7279804876,M4-FUNG-0004:E005,state.temperature_C,TERM_c6e78cf3c85d,30,S005,143
XLINK_4fec0efaedbe,M4-FUNG-0004:E005,state.agitation,TERM_a6ca7829cd1f,150,S005,143
XLINK_ed2772dbb28d,M4-FUNG-0004:E005,action.intervention,TERM_4f815d77c697,atfC deletion + oxidative-stress gradient,S005,143
XLINK_15d8ce3b8455,M4-FUNG-0004:E005,state.developmental_state,TERM_838741870ddf,vegetative growth,S005,143
XLINK_c0da908d9575,M4-FUNG-0004:E005,time.window,TERM_a233f78af42d,5 days,S005,143
XLINK_1ff3a8a2cbe0,M4-FUNG-0004:E005,observation.sample_matrix,TERM_8378e5f0d1af,culture medium,S005,143
XLINK_cc4d504d6378,M4-FUNG-0004:E005,assay.method,TERM_c4bf578748d5,TLC,S005,143
XLINK_441f23d8f383,M4-FUNG-0004:E006,state.culture_architecture,TERM_8bde5a321858,peanut-kernel screening assay,S005,144
XLINK_49092c40fecc,M4-FUNG-0004:E006,state.medium,TERM_fb3d03ecd283,Tifrunner peanut kernels,S005,144
XLINK_e1310454434c,M4-FUNG-0004:E006,state.temperature_C,TERM_c6e78cf3c85d,30,S005,144
XLINK_c659d840da3e,M4-FUNG-0004:E006,action.intervention,TERM_d867e0d2f445,atfC deletion,S005,144
XLINK_093746bd18f2,M4-FUNG-0004:E006,state.developmental_state,TERM_1e4b15c2bb52,seed colonization,S005,144
XLINK_dff1d53763d4,M4-FUNG-0004:E006,time.window,TERM_ec418730669c,endpoint,S005,144
XLINK_1f8aadcd7e47,M4-FUNG-0004:E006,observation.sample_matrix,TERM_5d7023d91a67,colonized kernels,S005,144
XLINK_2b254d787e5d,M4-FUNG-0004:E006,assay.method,TERM_9fc37e4624c3,kernel screening assay + aflatoxin quantification,S005,144
XLINK_ecabba7c4bab,M4-FUNG-0004:E007,state.culture_architecture,TERM_27237993af49,developing cotton-boll inoculation,S008,145
XLINK_98dc44234d3b,M4-FUNG-0004:E007,state.medium,TERM_3a2febeab8c7,living cotton bolls,S008,145
XLINK_8eb6356110cc,M4-FUNG-0004:E007,action.intervention,TERM_6145445d9f9b,intraspecific competition / co-inoculation,S008,145
XLINK_0a19d34a5c32,M4-FUNG-0004:E007,state.developmental_state,TERM_4f1029299ce1,host colonization,S008,145
XLINK_20c9b24cbf03,M4-FUNG-0004:E007,time.window,TERM_dbf78ed5989d,maturity,S008,145
XLINK_816e52e06613,M4-FUNG-0004:E007,observation.sample_matrix,TERM_2507ac65a8f6,cotton locule/seed tissue,S008,145
XLINK_d77d29e2278c,M4-FUNG-0004:E007,assay.method,TERM_e56d0f1da75f,aflatoxin B quantification,S008,145
XLINK_2d6f7fc6b9c0,M4-FUNG-0004:E008,state.culture_architecture,TERM_352375642c58,submerged fungal culture,S004,146
XLINK_694bc00ef12c,M4-FUNG-0004:E008,state.medium,TERM_e8f0ec35b8b1,YES,S004,146
XLINK_380c976bd89d,M4-FUNG-0004:E008,action.intervention,TERM_e5aebeddd237,cypA insertional disruption,S004,146
XLINK_0563bcf93587,M4-FUNG-0004:E008,state.developmental_state,TERM_b816a21fe850,vegetative culture,S004,146
XLINK_62ed1a155310,M4-FUNG-0004:E008,time.window,TERM_1da8d6d01623,3 days,S004,146
XLINK_86e471858585,M4-FUNG-0004:E008,observation.sample_matrix,TERM_d5b3d920314a,culture extract,S004,146
XLINK_bce4c7c914f2,M4-FUNG-0004:E008,assay.method,TERM_f57faeb5fbb8,acetone/methylene-chloride extraction + TLC,S004,146
XLINK_f67d171d88b3,M4-FUNG-0005:E001,state.culture_architecture,TERM_950a44a9c936,submerged shake-flask fermentation,S002,141
XLINK_01ec2c4ee31e,M4-FUNG-0005:E001,state.medium,TERM_d53f8a5b7027,defined medium; (NH4)2SO4 or urea as sole N source,S002,141
XLINK_497f6448f917,M4-FUNG-0005:E001,state.temperature_C,TERM_c6e78cf3c85d,30,S002,141
XLINK_b60df8b91773,M4-FUNG-0005:E001,state.agitation,TERM_a6ca7829cd1f,150,S002,141
XLINK_2277e9c0b728,M4-FUNG-0005:E001,action.intervention,TERM_b99c0e47781b,nitrogen source × concentration,S002,141
XLINK_ed66be2c0711,M4-FUNG-0005:E001,state.developmental_state,TERM_838741870ddf,vegetative growth,S002,141
XLINK_cdce79169355,M4-FUNG-0005:E001,time.window,TERM_a233f78af42d,5 days,S002,141
XLINK_458a8271f6a5,M4-FUNG-0005:E001,observation.sample_matrix,TERM_0cdcca230b63,culture filtrate,S002,141
XLINK_fe5372ca8dca,M4-FUNG-0005:E001,assay.method,TERM_8960dbdca203,acetone extraction → methylene chloride → TLC + fluorescence densitometry,S002,141
XLINK_c26aac3cd974,M4-FUNG-0005:E002,state.culture_architecture,TERM_547caf9c1148,submerged culture,S003,142
XLINK_6f74b9ec3313,M4-FUNG-0005:E002,state.medium,TERM_8cbc6b1f85fe,buffered nitrate versus ammonium salts medium,S003,142
XLINK_dcd17992b58a,M4-FUNG-0005:E002,action.intervention,TERM_52c3005abf78,nitrogen-source substitution,S003,142
XLINK_155cb8a85a16,M4-FUNG-0005:E002,state.developmental_state,TERM_838741870ddf,vegetative growth,S003,142
XLINK_6608f212e518,M4-FUNG-0005:E002,time.window,TERM_ec418730669c,endpoint,S003,142
XLINK_4b81c7d83318,M4-FUNG-0005:E002,observation.sample_matrix,TERM_6e64558dd180,culture / RNA,S003,142
XLINK_6ae860156195,M4-FUNG-0005:E002,assay.method,TERM_a6f58a850cb2,aflatoxin quantification + gene-expression analysis,S003,142
XLINK_06b4cbb20bd2,M4-FUNG-0005:E003,state.culture_architecture,TERM_822c91e9ceb4,submerged pH experiment,S005,143
XLINK_f5dded0170aa,M4-FUNG-0005:E003,state.medium,TERM_422916dfb509,modified minimal salts + ammonium sulfate; initial pH 5–8,S005,143
XLINK_fa841299b299,M4-FUNG-0005:E003,state.temperature_C,TERM_bdefa6492c8d,31,S005,143
XLINK_ca324dd58a34,M4-FUNG-0005:E003,state.agitation,TERM_3d6aa3b51843,shaking,S005,143
XLINK_d99b33a6dd2c,M4-FUNG-0005:E003,action.intervention,TERM_c031f3ffff06,initial pH manipulation,S005,143
XLINK_0cddf4c76faf,M4-FUNG-0005:E003,state.developmental_state,TERM_838741870ddf,vegetative growth,S005,143
XLINK_bba599881fe0,M4-FUNG-0005:E003,time.window,TERM_cbdae5e2ddf9,4 days,S005,143
XLINK_cd6d3fab9189,M4-FUNG-0005:E003,observation.sample_matrix,TERM_0a443c6e9001,whole culture / mycelium,S005,143
XLINK_96eb7975f188,M4-FUNG-0005:E003,assay.method,TERM_1705512adc58,aflatoxin yield + dry weight + final pH,S005,143
XLINK_6b2bd538791d,M4-FUNG-0005:E004,state.culture_architecture,TERM_fa141a67b285,buffered submerged pH experiment,S005,144
XLINK_c41d7434a6d2,M4-FUNG-0005:E004,state.medium,TERM_b5de05b5af23,minimal salts + 10 mM glutamine + 50 mM citrate buffer,S005,144
XLINK_ea60ec88d246,M4-FUNG-0005:E004,state.temperature_C,TERM_bdefa6492c8d,31,S005,144
XLINK_f55d9532b2d9,M4-FUNG-0005:E004,state.agitation,TERM_3d6aa3b51843,shaking,S005,144
XLINK_bfbae5ba0f19,M4-FUNG-0005:E004,action.intervention,TERM_43d5dffd8e4e,"pH 2.5, 3.5, 4.5, 5.5",S005,144
XLINK_29ca69d263f0,M4-FUNG-0005:E004,state.developmental_state,TERM_838741870ddf,vegetative growth,S005,144
XLINK_0fe506f90d1d,M4-FUNG-0005:E004,time.window,TERM_4f283cf098f5,3 d RNA / 4 d toxin,S005,144
XLINK_6f0e4b2aaf6e,M4-FUNG-0005:E004,observation.sample_matrix,TERM_98ea35f57f3c,mycelial RNA + culture,S005,144
XLINK_c23b3a6d6c59,M4-FUNG-0005:E004,assay.method,TERM_8d7d29fd8e37,qRT-PCR for aflR/pksA/ordA + aflatoxin quantification,S005,144
XLINK_79ab0ce798f2,M4-FUNG-0005:E005,state.culture_architecture,TERM_d66bf7f3ef7d,comparative sequence analysis,S004,145
XLINK_6a8994093ab1,M4-FUNG-0005:E005,action.intervention,TERM_f7ec00815bc1,comparative norB–cypA sequencing,S004,145
XLINK_d101f02c5d9f,M4-FUNG-0005:E005,time.window,TERM_05ea1dce8951,sequence study,S004,145
XLINK_412e7dd57976,M4-FUNG-0005:E005,observation.sample_matrix,TERM_af578adf3340,genomic DNA,S004,145
XLINK_d6b6435094d1,M4-FUNG-0005:E005,assay.method,TERM_9fa51ff6c2fd,sequence alignment,S004,145
XLINK_14f4a33350e9,M4-FUNG-0005:E006,state.culture_architecture,TERM_352375642c58,submerged fungal culture,S004,146
XLINK_f0ccfc58253a,M4-FUNG-0005:E006,state.medium,TERM_ed497c31ec9e,aflatoxin-conducive medium,S004,146
XLINK_dcddd758e0b2,M4-FUNG-0005:E006,action.intervention,TERM_e5aebeddd237,cypA insertional disruption,S004,146
XLINK_3838ffb44db6,M4-FUNG-0005:E006,state.developmental_state,TERM_838741870ddf,vegetative growth,S004,146
XLINK_5884a3249c28,M4-FUNG-0005:E006,time.window,TERM_ec418730669c,endpoint,S004,146
XLINK_18d388940c9b,M4-FUNG-0005:E006,observation.sample_matrix,TERM_eb190a529ba0,culture extract / RNA,S004,146
XLINK_641d24013efd,M4-FUNG-0005:E006,assay.method,TERM_247e0e938db3,TLC + PCR + Northern,S004,146
XLINK_aff72823c538,M4-FUNG-0006:E001,state.culture_architecture,TERM_4e0447169f5f,solid-medium phenotype comparison,S005,139
XLINK_45cd7137e326,M4-FUNG-0006:E001,state.medium,TERM_ccae81cf52f3,YGT; V8,S005,139
XLINK_2590fb86f33f,M4-FUNG-0006:E001,action.intervention,TERM_4eb4566c1fef,none,S005,139
XLINK_13f5ae0aa079,M4-FUNG-0006:E001,state.developmental_state,TERM_54f8ece08223,S- versus L-morphotype development,S005,139
XLINK_04c10d9d7c69,M4-FUNG-0006:E001,time.window,TERM_51c7ac1ae25c,6 days for YGT morphology,S005,139
XLINK_0d0aded55f08,M4-FUNG-0006:E001,observation.sample_matrix,TERM_54a45d187539,colonies / culture extracts,S005,139
XLINK_8016f52015b2,M4-FUNG-0006:E001,assay.method,TERM_ddc0e85457ed,morphology + HPLC aflatoxin quantification,S005,139
XLINK_3a04ea85bb08,M4-FUNG-0006:E002,state.culture_architecture,TERM_3fa81638f6c6,ground-corn versus PDB matrix experiment,S006,140
XLINK_6277965f58dc,M4-FUNG-0006:E002,state.medium,TERM_e76a19963978,20 g ground corn or 44 mL PDB in 250-mL flasks,S006,140
XLINK_c883ca13bc9f,M4-FUNG-0006:E002,state.temperature_C,TERM_bdefa6492c8d,31,S006,140
XLINK_b7921b1dcd75,M4-FUNG-0006:E002,state.agitation,TERM_d9652ce204e0,incubated in dark,S006,140
XLINK_e6d11c458f92,M4-FUNG-0006:E002,action.intervention,TERM_f53a9a952197,substrate identity,S006,140
XLINK_fa546b1a2eb0,M4-FUNG-0006:E002,state.developmental_state,TERM_148a7fa81f1d,colonizing/growing culture,S006,140
XLINK_97b6795580e6,M4-FUNG-0006:E002,time.window,TERM_3547661a3dfb,10 days,S006,140
XLINK_118e9f209305,M4-FUNG-0006:E002,observation.sample_matrix,TERM_6a1d381f8d31,ground corn or PDB; RNA and toxin extracts,S006,140
XLINK_ece0f1050567,M4-FUNG-0006:E002,assay.method,TERM_d09bbc045b16,AFB1 ELISA + RNA-seq/DESeq2 + EDNAtran,S006,140
XLINK_656f8d6ed1b4,M4-FUNG-0006:E003,state.culture_architecture,TERM_fa141a67b285,buffered submerged pH experiment,S007,141
XLINK_50467895b3b6,M4-FUNG-0006:E003,state.medium,TERM_9f26433c0bbc,minimal salts + glutamine + citrate buffer,S007,141
XLINK_d3c90a97d05e,M4-FUNG-0006:E003,state.temperature_C,TERM_bdefa6492c8d,31,S007,141
XLINK_ab22ccdda30d,M4-FUNG-0006:E003,state.agitation,TERM_3d6aa3b51843,shaking,S007,141
XLINK_4de39f5ea43d,M4-FUNG-0006:E003,action.intervention,TERM_6bbf469c2ba1,pH 2.5–5.5,S007,141
XLINK_4153ed8b8953,M4-FUNG-0006:E003,state.developmental_state,TERM_838741870ddf,vegetative growth,S007,141
XLINK_2f0aa05b0f15,M4-FUNG-0006:E003,time.window,TERM_4f283cf098f5,3 d RNA / 4 d toxin,S007,141
XLINK_ad81d30b9083,M4-FUNG-0006:E003,observation.sample_matrix,TERM_fc42c255a2c0,mycelial RNA + culture toxin,S007,141
XLINK_ca1a0d48bfac,M4-FUNG-0006:E003,assay.method,TERM_c4ca44da4efc,qRT-PCR aflR/pksA/ordA + toxin quantification,S007,141
XLINK_677594a04ec1,M4-FUNG-0006:E004,state.culture_architecture,TERM_77c483128635,development/toxin genetics,S008,142
XLINK_7b828600dfec,M4-FUNG-0006:E004,state.medium,TERM_5e1e8e11696d,Wickerham/YES/PDB-type assays as described in source,S008,142
XLINK_6a22d99fcbbd,M4-FUNG-0006:E004,state.temperature_C,TERM_c6e78cf3c85d,30,S008,142
XLINK_f5728c812717,M4-FUNG-0006:E004,state.agitation,TERM_fe69cebf7c50,condition-specific,S008,142
XLINK_8db427f88cf5,M4-FUNG-0006:E004,action.intervention,TERM_4f744a79093c,hbx1 deletion and complementation,S008,142
XLINK_d3d844a74cdf,M4-FUNG-0006:E004,state.developmental_state,TERM_509b4f83b2b2,conidiation/sclerotial development,S008,142
XLINK_70f81dac8397,M4-FUNG-0006:E004,time.window,TERM_b34faf0a265f,endpoint/time-course,S008,142
XLINK_48b71888c68b,M4-FUNG-0006:E004,observation.sample_matrix,TERM_f5f84503742d,culture + RNA,S008,142
