conflict_key,dossier_id,conflict_id,issue_type_raw,description_raw,evidence_A_raw,evidence_B_raw,interpretation_raw,status_raw,source_ids,source_row
M4-FUNG-0004:U003,M4-FUNG-0004,U003,product_context,"MIBiG records both B1 and B2, but the detailed cottonseed-reserve fermentation reported only B1 under its assay conditions.",Database/other experiments support B1+B2,Mellon 2000 conditions yielded only B1,Treat congener output as condition-dependent; do not force every experiment to show every validated pathway product.,open,S001; S006,192
M4-FUNG-0004:U004,M4-FUNG-0004,U004,extra_cluster_regulator,Two independent atfC mutants produced inconsistent aflatoxin phenotypes across liquid-stress and kernel assays.,No liquid YES/H2O2 aflatoxin effect,ΔatfC-2 reduced kernel aflatoxin while ΔatfC-1 remained near WT,Keep atfC as an uncertain/context-dependent modifier and preserve the contradictory mutant evidence.,open,S005,193
M4-FUNG-0004:U005,M4-FUNG-0004,U005,gene_nomenclature,Historical aflatoxin-gene nomenclature creates an aflJ/aflS collision.,MIBiG AAS90096.1 alias = aflJ (historical co-regulator),Standardized nomenclature commonly uses aflS for that co-regulator and aflJ for historical estA,Store standardized names plus historical aliases explicitly; never merge the two loci.,open-terminology-risk,S001; S009,194
M4-FUNG-0004:U006,M4-FUNG-0004,U006,strain_alias,"The 2004 cypA paper identifies AF13 as ATCC 96044 / SRRC 1273, whereas the current ATCC 96044 catalog describes the deposited product as an AF13 niaD− mutant derived from AF13.",paper-era isolate nomenclature: AF13 (ATCC 96044; SRRC 1273),current ATCC catalog: strain designation AF13 niaD−; isolation source 'mutant derived from strain AF13',Preserve AF13/SRRC 1273 as the biological strain identity used in the primary study; treat ATCC 96044 as a historically used/deposit alias with a current-catalog derivative caveat.,open-provenance,S004; S011,195
M4-FUNG-0005:U001,M4-FUNG-0005,U001,taxonomy_conflict,"MIBiG/GenBank-era records call BN008R Aspergillus flavus or an unnamed S_BG Aspergillus, whereas current taxonomy and isolate-specific sequence records assign BN008R to Aspergillus aflatoxiformans.",historical MIBiG species = A. flavus,NCBI Taxonomy TaxID 2059437 plus MK119715.1 = A. aflatoxiformans isolate BN008-R,Use A. aflatoxiformans as current organism identity while preserving the historical MIBiG/AY510452 label as provenance.,resolved-by-current-taxonomy,S001; S007; S008; S009; S010,193
M4-FUNG-0005:U002,M4-FUNG-0005,U002,activation_causality,"BN008R toxin output changes by orders of magnitude with nitrogen source, but the molecular cause is not reducible to aflR alone.",Strong product effect of urea/nitrate,aflR often changes little; aflS/aflJ differs by strain group,Treat nitrogen as a context modifier/gate interaction rather than a single transcription-factor mechanism.,open,S002; S003,194
M4-FUNG-0005:U003,M4-FUNG-0005,U003,transcript_product_decoupling,Extreme pH effects on B1/G1 do not closely track aflR expression.,Product strongly suppressed at low pH,aflR correlation with AF yield r²=0.25,Retain as explicit evidence that downstream biochemical/physiological competence may dominate.,open,S005,195
M4-FUNG-0005:U004,M4-FUNG-0005,U004,branch_causality_transfer,"cypA function is directly disrupted in A. parasiticus, while BN008R evidence is intact sequence + G-product phenotype.",Direct cypA knockout in comparator,BN008R retains cypA and produces G1,Score BN008R cypA branch attribution high but distinguish direct from transferred mechanistic evidence.,resolved-for-atlas,S004,196
M4-FUNG-0006:U001,M4-FUNG-0006,U001,mating_type_conflict,Published sources disagree on AF70 mating type.,Gilbert et al. 2018 text states AF70 and NRRL3357 shared MAT1-1 sequence in the examined comparison,Fountain et al. 2020 describes AF70 as MAT1-2,Do not encode a single mating type in scalar metadata until reconciled against the original marker/assembly data.,open,S005; S011,190
M4-FUNG-0006:U002,M4-FUNG-0006,U002,completeness_semantics,MIBiG covers 75.8 kb and marks completeness unknown; the deleted proximal G-branch context is biologically explanatory but not represented as intact CDSs.,23-CDS MIBiG BGC,Comparative norB/cypA deletion analysis,Store exact MIBiG boundary separately from functional ancestral pathway context.,resolved-for-atlas,S001; S004,191
M4-FUNG-0006:U003,M4-FUNG-0006,U003,RNAseq_replication,The 2018 EDNAtran proof-of-concept provides powerful matched toxin/transcript evidence but sequenced only one selected RNA library per treatment.,Large AFB1 and e-probe differences,Single RNA-seq replicate per treatment,Use as strong descriptive evidence but not as a replicated differential-expression benchmark.,open,S006,192
M4-FUNG-0006:U004,M4-FUNG-0006,U004,FhpA_causality,fhpA deletion increased AFB1 but a functional complementation strain could not be generated.,Deletion and overexpression phenotypes,No rescue experiment,"Score as moderate causal evidence, below hbx1.",open,S010,193
M4-FUNG-0006:U005,M4-FUNG-0006,U005,variant_causality,"Thousands of polymorphisms distinguish AF70 and NRRL3357 clusters, but specific variants responsible for the production difference are not established.",Extensive SNP/indel map,Strong phenotype difference,"Preserve polymorphism burden as context, not as a deterministic causal explanation.",open,S005,194
M4-FUNG-0007:U001,M4-FUNG-0007,U001,taxonomy_nomenclature,MIBiG and historical papers use Aspergillus nomius; current NCBI and Index Fungorum use Aspergillus nomiae.,MIBiG/historical label = A. nomius,Current NCBI/Index Fungorum = A. nomiae,Use A. nomiae as the curated current orthography and retain A. nomius as the explicitly historical/database spelling.,resolved-for-atlas,S001; S002; S003; S013,191
M4-FUNG-0007:U002,M4-FUNG-0007,U002,boundary_semantics,"MIBiG length is 75,352 bp while FunBGCs reports 68,362 bp.","MIBiG region = 1–75,352","FunBGCs length = 68,362 bp","68,362 bp exactly equals first-to-last CDS span; preserve both flanked and gene-span boundaries.",resolved-for-atlas,S001; S012,192
M4-FUNG-0007:U003,M4-FUNG-0007,U003,product_annotation_scope,"MIBiG exposes only B1 and G1, whereas NRRL 13137 is documented as a B1/B2/G1/G2 producer.",MIBiG compounds = B1/G1,Strain literature = all four major congeners,Keep MIBiG product fields verbatim but encode the broader native product suite separately.,resolved-for-atlas,S001; S004; S005; S007,193
M4-FUNG-0007:U004,M4-FUNG-0007,U004,mechanistic_transfer,"cypA is directly disrupted in A. parasiticus, not in NRRL 13137.",Direct comparator knockout,Intact NRRL 13137 cypA + G-product phenotype,Score G-branch attribution high but distinguish direct sequence/phenotype from transferred knockout mechanism.,resolved-for-atlas,S004,194
M4-FUNG-0007:U005,M4-FUNG-0007,U005,species_vs_strain_context,"Temperature and transcript-before-product studies used other A. nomiae isolates, not NRRL 13137.",Strong species-level context data,Different isolate backgrounds,"Use for transferable context hypotheses, not as direct measurements of BGC0000009/NRRL 13137.",open,S009; S010,195
M4-FUNG-0008:U001,M4-FUNG-0008,U001,product_provenance,"MIBiG lists generic aflatoxin and a compound structure, but AF36 is defined experimentally by failure to produce aflatoxin.",Database compound annotation,Direct AF36 atoxigenicity evidence,Interpret compound as pathway-family association only; native product formation = negative.,resolved-for-atlas,S001; S003,185
M4-FUNG-0008:U002,M4-FUNG-0008,U002,core_gene_annotation,MIBiG classifies the BGC as PKS but does not list a functional PKS CDS among the 22 genes.,PKS pathway class,aflC/pksA sequence contains early stop codon and lacks functional protein accession,Add an explicit pseudogene row so loss of core enzymatic competence is machine-visible.,resolved-for-atlas,S001; S003,186
M4-FUNG-0008:U003,M4-FUNG-0008,U003,cluster_completeness,"2016 comparative work places AF36 among genotypes retaining all standard cluster genes, while the MIBiG feature table has only 22 functional CDSs.",Group-A 'all genes' comparative classification,MIBiG CDS table excludes pseudogenized pksA and the canonical A. flavus G-branch context is degenerate,"Treat gene presence, intact CDS status and functional protein competence as separate variables.",open-semantic,S001; S005,187
M4-FUNG-0008:U004,M4-FUNG-0008,U004,rescue_not_demonstrated,"The pksA stop mutation is sufficient biochemically to explain atoxigenicity, but precise native-locus repair of AF36 was not the defining causal-rescue experiment.",Strong sequence/pathway inference,No direct repaired-AF36 rescue encoded here,"Score gene-product attribution very high, but distinguish from gold-standard repair-and-rescue evidence.",open,S003,188
M4-FUNG-0008:U005,M4-FUNG-0008,U005,biocontrol_vs_bgc_function,AF36 is biologically successful despite having a disabled aflatoxin pathway.,No aflatoxin production,Strong field fitness and competitive displacement,Do not interpret BGC nonfunction as organismal dysfunction; ecological fitness and pathway competence are separate layers.,resolved-for-atlas,S009,189
M4-FUNG-0009:U001,M4-FUNG-0009,U001,boundary_completeness,MIBiG assigns AF products to a 59.5-kb region that lacks canonical aflQ and aflP genes required for ST→AF conversion.,MIBiG BGC/product association,Functional extra-cluster aflQ rescue,"Treat MIBiG boundary as core cluster boundary, not complete functional programme boundary.",resolved-for-atlas,S001; S004; S006,189
M4-FUNG-0009:U002,M4-FUNG-0009,U002,aflP_location,A. ochraceoroseus produces aflatoxin but the canonical aflP/omtA ortholog is absent from the sequenced cluster and its functional genomic location is not resolved in the sources curated here.,AF production requires late methyltransferase function,Cluster lacks aflP; 2007 work initially failed to identify it by PCR/Northern,Mark aflP-equivalent as unresolved rather than assuming an ortholog location.,open,S004; S007,190
M4-FUNG-0009:U003,M4-FUNG-0009,U003,product_flux,"ST and AF are both accumulated, but available evidence here does not establish whether ST accumulation reflects kinetic bottleneck, condition-specific regulation, enzyme efficiency, or export/recovery differences.",Native co-accumulation,No matched flux-resolved multi-omic experiment,Preserve co-accumulation as observation without assigning a single mechanistic cause.,open,S001; S005,191
M4-FUNG-0009:U004,M4-FUNG-0009,U004,gene_nomenclature,The locus mixes aflatoxin (afl*) and A. nidulans sterigmatocystin (stc*) nomenclature because of its evolutionary/organizational relationship.,MIBiG uses Afl and Stc product names,Comparative literature maps homologous functions across systems,Preserve source names and add functional descriptions; do not force all genes into one nomenclature scheme.,open-terminology-risk,S001; S004,192
M4-FUNG-0009:U005,M4-FUNG-0009,U005,strain_genome_equivalence,"Later whole-genome resources often use A. ochraceoroseus IBT 24754, whereas BGC0000011 is from ex-type SRRC1432/CBS550.77.",BGC reference = SRRC1432,Modern genome studies may use IBT24754,Do not transfer genome coordinates or accessory findings between strain labels without verified strain equivalence.,open,S002; S009,193
M4-FUNG-0010:U001,M4-FUNG-0010,U001,product_attribution,"MIBiG associates the whole five-gene cluster with alternapyrone, while the defining experiment expressed only alt5.",MIBiG product field = alternapyrone,Direct experiment = Alt5-only heterologous product,"Score Alt5→alternapyrone very high, but full-BGC→alternapyrone only moderate.",open,S001; S003; S005,172
M4-FUNG-0010:U002,M4-FUNG-0010,U002,native_production,The sources curated here do not demonstrate alternapyrone production by the native A. solani strain carrying AB120221.1.,Heterologous A. oryzae production,No matched native A. solani metabolite experiment in defining study,Mark native pathway state and recovery NR/UNCERTAIN rather than inferring natural production.,open,S003; S005,173
M4-FUNG-0010:U003,M4-FUNG-0010,U003,tailoring_functions,"Alt1–Alt4 are present and enzymatically plausible, but their exact A. solani reactions remain unresolved.",Homology annotations,Later homologous alt′ cluster functional data,"Use later homologs only as transfer hypotheses, not direct gene-function assignments.",open,S003; S008,174
M4-FUNG-0010:U004,M4-FUNG-0010,U004,biological_role,"Alternapyrone and derivatives have bioactivity, but no direct evidence establishes BGC0000012 as a virulence determinant of A. solani.",A. solani is a necrotrophic pathogen,Compound bioactivity from later/comparator systems,Do not encode pathogenic role without genetic or infection-stage evidence.,open,S007; S010,175
M4-FUNG-0010:U005,M4-FUNG-0010,U005,activation_status,Heterologous expression can be mistaken for activation of a silent native BGC.,Alt5 product recovered after promoter-driven heterologous expression,Native A. solani transcription/product state not tested,"Treat as functional identification/bypass, not native activation evidence.",resolved-for-atlas,S003,176
M4-FUNG-0011:U001,M4-FUNG-0011,U001,native_activity,"Alternariol formation is demonstrated in engineered promoter-replacement strains, not clearly in unmodified FGSC A4.",Direct engineered product evidence,No matched wild-type native-production evidence in defining study,Store engineered activation and native pathway state separately.,open,S003,170
M4-FUNG-0011:U002,M4-FUNG-0011,U002,boundary_semantics,"MIBiG displays 45,963 bp but identifies a 7,849-bp locus containing the two production genes.",Broad region boundary,Compact pkgA/pkgB locus,Preserve both; do not treat all genes in the visual flank as demonstrated BGC members.,resolved-for-atlas,S001; S003,171
M4-FUNG-0011:U003,M4-FUNG-0011,U003,regulator_interpretation,"Nearby putative TF induction failed, but this does not prove the TFs are biologically irrelevant.",No product after engineered TF induction,Direct pkgA/pkgB bypass succeeds,Encode failed intervention as a negative result rather than a definitive regulatory knockout conclusion.,open,S003,172
M4-FUNG-0011:U004,M4-FUNG-0011,U004,chemical_structure_provenance,MIBiG cites a 1953 Alternaria tenuis alternariol paper for compound evidence.,Historical chemical identity evidence,A. nidulans biosynthetic attribution comes from 2012 engineered strains,Separate chemical-structure provenance from organism/BGC attribution.,resolved-for-atlas,S001; S003; S007,173
M4-FUNG-0011:U005,M4-FUNG-0011,U005,experimental_background,"The defining discovery strains lacked sterigmatocystin production, which simplifies analytics but changes native metabolic competition.",Cleaner metabolite background,Altered secondary-metabolic state,Preserve the stc-deficient background as an experimental architecture variable when interpreting yield.,open,S003,174
M4-FUNG-0011:U006,M4-FUNG-0011,U006,product_release_mechanism,"PkgB co-induction greatly increases yield, but the exact proportion of its effect attributable to catalytic chain release versus broader stability/flux effects is not quantified.",PkgA lacks release domain; PkgB is β-lactamase-type TE,No quantitative enzyme-level flux partition,Score release role very high but do not invent kinetic contribution.,open,S003,175
M4-FUNG-0012:U001,M4-FUNG-0012,U001,boundary_semantics,"MIBiG exposes a 60,868-bp display region, a 41,240-bp locus feature and 11 CDSs, while deletion genetics supports a seven-gene functional programme.",MIBiG broad/locus boundaries,Functional deletion-defined genes,Store all three representations; do not collapse them into one 'cluster length'.,resolved-for-atlas,S001; S003,178
M4-FUNG-0012:U002,M4-FUNG-0012,U002,AN1030_membership,AN1030 is induced with the afo cluster during ScpR overexpression but its deletion does not change asperfuranone yield.,Co-expression supports cluster membership,Deletion argues it is dispensable for product,Represent as boundary-ambiguous/co-regulated passenger rather than required biosynthetic gene.,open-semantic,S003; S004,179
M4-FUNG-0012:U003,M4-FUNG-0012,U003,native_trigger,The defining experiments establish engineered activation but do not identify the natural environmental signal that normally engages AfoA.,Robust alcA/AfoA and ScpR bypass activation,No native ecological inducer identified,"Use 'cryptic under tested lab conditions,' not 'constitutively silent in nature'.",open,S003; S004,180
M4-FUNG-0012:U004,M4-FUNG-0012,U004,AfoC_mechanism,"AfoC deletion strongly reduces asperfuranone, but its exact catalytic assignment has changed between early oxidoreductase interpretations and later esterase/hydrolase annotations.",Strong phenotype,Mechanistic annotation uncertain,Keep functional phenotype high-confidence and catalytic mechanism moderate/uncertain.,open,S003; S007,181
M4-FUNG-0012:U005,M4-FUNG-0012,U005,ScpR_direct_binding,"ScpR-dependent activation requires AfoA and a candidate shared promoter motif was identified, but direct DNA-binding biochemistry is not equivalent in strength to the genetic epistasis.",Genetic/transcript/product evidence,Binding-site mechanism inferred from motif and regulatory behavior,Encode ScpR→AfoA regulation very high; encode exact direct-binding mechanism with caveat.,open,S004,182
M4-FUNG-0012:U006,M4-FUNG-0012,U006,bioactivity_vs_ecology,"Asperfuranone is antiproliferative in A549 cells, but its native role for A. nidulans is unknown.",Human-cell activity,No native ecological-function test,Separate bioactivity from biological role.,resolved-for-atlas,S005,183
M4-FUNG-0013:U001,M4-FUNG-0013,U001,species_provenance,"MIBiG sequence is M. pilosus, but discovery and most functional knockouts were performed in M. purpureus.",Sequence evidence = M. pilosus KC148521,Functional genetics = M. purpureus,Keep organism-specific evidence layers separate; score transfer by orthology rather than relabeling experiments.,resolved-for-atlas,S001; S002; S003; S004; S005; S006,186
M4-FUNG-0013:U002,M4-FUNG-0013,U002,functional_boundary,"MIBiG marks the 80-kb entry complete and contains 24 CDSs, but many have no demonstrated pigment role.",Database completeness/24 CDSs,Strong function concentrated in a subset,Preserve exact database boundary and separately encode minimal/functional programme as unresolved.,open,S001; S003,187
M4-FUNG-0013:U003,M4-FUNG-0013,U003,gene_nomenclature,"The MIBiG GenBank locus uses numeric tags and partial letter labels, while later Monascus literature uses mpp/pig nomenclature; several one-to-one mappings are not explicitly resolved in the sources curated here.",KC148521 numeric locus tags,Later mppA–mppG/pig nomenclature,Use exact GenBank identifiers and only assign later names where reasonably supported; avoid forced mappings.,open-terminology-risk,S001; S002; S005; S006,188
M4-FUNG-0013:U004,M4-FUNG-0013,U004,native_Mpilosus_product_evidence,"MIBiG lists four products for M. pilosus, while the defining paper's causal production experiments are in M. purpureus.",Database product assignment,Cross-species functional evidence,Score cluster/product attribution high at conserved pathway-family level but distinguish exact-strain native evidence.,open,S001; S003,189
M4-FUNG-0013:U005,M4-FUNG-0013,U005,branch_vs_total_output,"Yellow/orange branch mutants may preserve total pigment or shift red derivatives, so bulk color/total-pigment measurements can conceal mechanistic branch effects.",Branch-specific genetic phenotypes,Aggregate pigment endpoint,Record individual congeners/color classes separately whenever possible.,resolved-for-atlas,S005; S006,190
M4-FUNG-0014:U001,M4-FUNG-0014,U001,boundary_semantics,"MIBiG displays 46.27 kb, annotates an 18.44-kb locus and includes FFUJ_14916, whereas the experimentally characterized bik1–bik6 core is 17.09 kb.",Database broad/locus boundaries,Functional genetics of six bik genes,Store all three levels and keep FFUJ_14916 as boundary-adjacent/uncertain.,resolved-for-atlas,S001; S003,179
M4-FUNG-0014:U002,M4-FUNG-0014,U002,nitrogen_mechanism,"High nitrogen represses bik genes, but AreA is not required for this repression.",Strong nitrogen-response phenotype,Canonical AreA-independent result,Treat nitrogen as a validated context gate while leaving the molecular sensor/regulator unresolved.,open,S003,180
M4-FUNG-0014:U003,M4-FUNG-0014,U003,Bik4_Bik5_topology,"Both regulatory genes affect product, but their transcript effects differ and Bik4 is NmrA-like rather than a standard DNA-binding TF.",Overlapping deletion phenotypes,Different downstream transcript signatures,"Model as a regulatory subnetwork, not a single linear transcription-factor gate.",open,S003,181
M4-FUNG-0014:U004,M4-FUNG-0014,U004,transport_redundancy,Bik6 loss reduces export/product but does not abolish extracellular bikaverin.,MFS-transporter deletion phenotype,Residual culture-medium bikaverin,Encode Bik6 as supportive transport/recovery competence rather than strictly necessary product gate.,open,S003,182
M4-FUNG-0014:U005,M4-FUNG-0014,U005,ecological_signal_pathway,Ralsolamycin clearly induces bik transcription/product but the fungal receptor and intracellular signal-transduction route remain unidentified.,Purified-signal and conditioned-medium causality,Unknown fungal sensing machinery,Strong signal-access evidence; perception/transduction mechanism remains unresolved.,open,S008,183
M4-FUNG-0014:U006,M4-FUNG-0014,U006,ecological_role_scope,"Bikaverin reduces the fraction of colonized chlamydospores, but total bacterial fluorescence burden across all spores was not significantly changed.",Colonization frequency P=0.031,Total burden P=0.315,"Support a protective contribution, not a claim of complete bacterial exclusion.",resolved-for-atlas,S008,184
M4-FUNG-0015:U001,M4-FUNG-0015,U001,boundary_semantics,"MIBiG's compact locus feature is only the cicF PKS gene, whereas seven local genes are deletion-required and the complete chemistry likely extends beyond those seven.",PKS-only MIBiG locus,Seven-gene functional genetics + proposed extra-cluster lactamization,"Maintain display, locus, local functional and full-programme boundaries as separate objects.",resolved-for-atlas,S001; S003,178
M4-FUNG-0015:U002,M4-FUNG-0015,U002,cicG_annotation_conflict,"The 2012 paper identifies cicG as AN11922/ANID_11922, whereas the current MIBiG-derived regional GenBank annotation at the corresponding internal position is ANIA_11509 / old AN11509.4.",Historical functional paper,Current regional reannotation,Preserve cicG functional name and historical ID; flag current-coordinate mapping as annotation-reconciliation issue rather than silently replacing the identifier.,open-annotation,S003; S010,179
M4-FUNG-0015:U003,M4-FUNG-0015,U003,extra_cluster_lactamization,"Cichorine requires conversion from a lactone-like intermediate to the nitrogen-containing lactam, but the responsible gene(s) are absent from the deletion-defined local cluster.",Defined local cluster/intermediates,Missing chemical transformation,"Functional programme likely extends outside local cluster, but gene identity remains NF/UNCERTAIN.",open,S003,180
M4-FUNG-0015:U004,M4-FUNG-0015,U004,native_vs_engineered_chemistry,Later derivative discovery uses highly engineered dereplication or CicD-overexpression strains.,Rich derivative spectrum,Engineered metabolic/regulatory backgrounds,Encode derivatives as pathway-accessible chemistry without assuming equivalent native abundance.,open,S005; S006; S007,181
M4-FUNG-0015:U005,M4-FUNG-0015,U005,stcJ_background,The defining deletion experiments were performed in a sterigmatocystin-deficient background to simplify chemistry and potentially free precursors.,Clean analytical background,Altered secondary-metabolism competition,Pathway necessity is strong; absolute native yields and competition effects should not be transferred without caveat.,open,S003,182
M4-FUNG-0015:U006,M4-FUNG-0015,U006,ecological_role,"Cichorine and analogues are phytotoxic, but A. nidulans is not being studied here as a plant pathogen and no native ecological function is established.",Compound phytotoxicity,No BGC-specific ecological fitness experiment,Separate bioactivity from biological role.,resolved-for-atlas,S003; S006,183
M4-FUNG-0016:U001,M4-FUNG-0016,U001,mlcF_function,MlcF is an oxidoreductase in the cluster but its exact biosynthetic role remains unresolved.,gene membership/expression,no definitive substrate-level reaction,Keep demonstrated_function unresolved.,open,S001; S005,167
M4-FUNG-0016:U002,M4-FUNG-0016,U002,mlcE_transport,"MlcE is annotated as an efflux pump and fits a self-resistance model, but direct compactin transport kinetics were not curated.",functional annotation,absence of direct assay,Use predicted efflux/self-resistance wording.,open,S001; S005,168
M4-FUNG-0016:U003,M4-FUNG-0016,U003,ecological_role,Compactin's mammalian HMGCR pharmacology does not establish why P. citrinum makes it.,potent pharmacology,no producer ecological-fitness test,Keep native role unresolved.,open,S003,169
M4-FUNG-0017:U001,M4-FUNG-0017,U001,functional_boundary,"MIBiG/GenBank contains eight CDSs, but direct chemical sufficiency is established for only two PKSs.",31-kb eight-CDS database region,CurS1+CurS2-only yeast reconstruction,Store exact database boundary separately from minimal biosynthetic core; keep CurR/CurE as plausible native-support genes.,resolved-for-atlas,S001; S003,174
M4-FUNG-0017:U002,M4-FUNG-0017,U002,native_regulation,CurR is strongly plausible as a pathway-specific regulator but was not directly perturbed in the defining study.,Zn2Cys6 regulator annotation,No native CurR knockout/overexpression,Do not assign direct activation causality beyond prediction.,open,S003,175
M4-FUNG-0017:U003,M4-FUNG-0017,U003,native_transport,"CurE is annotated as an exporter, but CurE-free yeast still releases recoverable DHC.",MFS-exporter annotation,Heterologous product without CurE,Host substitution prevents concluding CurE is dispensable in native A. terreus.,open,S003,176
M4-FUNG-0017:U004,M4-FUNG-0017,U004,native_context,"The source strain naturally produces DHC, but the native environmental, developmental and transcriptional induction programme was not characterized in the cluster paper.",Producer phenotype,No native condition-response series,Do not infer regulatory access conditions from the heterologous yeast system.,open,S003; S005,177
M4-FUNG-0017:U005,M4-FUNG-0017,U005,strain_specificity,A. terreus NIH2624 does not carry the producer-strain PKS pair.,Same species reference genome,AH-02-30-F7-specific cur locus,"Represent BGC presence at strain level, not as universal A. terreus genotype.",resolved-for-atlas,S003,178
M4-FUNG-0017:U006,M4-FUNG-0017,U006,11_hydroxycurvularin_status,11-hydroxycurvularin is a major product in yeast dual-PKS reconstruction but may arise partly by hydration of dehydrocurvularin rather than as an independently programmed native pathway endpoint.,2.5 mg/L heterologous product,Described as water-addition product,"Store as derivative/co-product, not a separate required BGC target.",resolved-for-atlas,S003,179
