experiment_key,dossier_id,experiment_id,organism_key,strain_key,strain_raw,source_ids,note,source_row
M4-FUNG-0003:E006,M4-FUNG-0003,E006,NCBITAXON:5067,STR_53f3000f7b3c,A. parasiticus BN009E cypA-disruption transformants,S009,5 mL YES reported in the study; branch-specific causal experiment.,152
M4-FUNG-0003:E007,M4-FUNG-0003,E007,NCBITAXON:5067,STR_a62265bdcfc7,ATCC 56775 / SU-1 strain background,S010,Important copy-number/degeneration context within the same reference strain.,153
M4-FUNG-0004:E001,M4-FUNG-0004,E001,NCBITAXON:5059,STR_a0dee8d62a32,AF13 / ATCC 96044,S002; S004,Sequence completeness is not equivalent to B/G functional completeness.,139
M4-FUNG-0004:E002,M4-FUNG-0004,E002,NCBITAXON:5059,STR_1d949971fc31,AF13 and AF70; A. parasiticus comparators,S004,"Mechanistic cypA knockout was performed in A. parasiticus BN009E, not AF13.",140
M4-FUNG-0004:E003,M4-FUNG-0004,E003,NCBITAXON:5059,STR_0b3b1fa7ccd2,AF13,S006,"70 mL medium in 250 mL flasks, dark. Under these fermentations AF13 produced only AFB1.",141
M4-FUNG-0004:E004,M4-FUNG-0004,E004,NCBITAXON:5059,STR_b0d05d31bed8,AF13 versus NRRL3357,S005,Useful relative-production benchmark; absolute titer not extracted in this pass.,142
M4-FUNG-0004:E005,M4-FUNG-0004,E005,NCBITAXON:5059,STR_25f9add09d5b,"AF13 ΔatfC-1, ΔatfC-2, WT and empty-vector controls",S005,atfC lies outside the aflatoxin BGC in an AF13-specific chromosome-1 insertion.,143
M4-FUNG-0004:E006,M4-FUNG-0004,E006,NCBITAXON:5059,STR_8d9fbce9a723,"AF13 ΔatfC mutants, WT and NRRL3357",S005,Discordant mutant phenotypes make a simple causal atfC→aflatoxin conclusion unsafe.,144
M4-FUNG-0004:E007,M4-FUNG-0004,E007,NCBITAXON:5059,STR_63ec8e3cfaf8,AF13 alone versus AF13 + atoxigenic AF36,S008,"Ecological suppression is an experimental context effect, not evidence of intrinsic BGC shutdown.",145
M4-FUNG-0004:E008,M4-FUNG-0004,E008,NCBITAXON:5059,STR_dd0647b06dda,A. parasiticus BN009E cypA disruptants,S004,Mechanistic comparator used to interpret the fixed AF13 norB–cypA deletion; not an AF13 perturbation.,146
M4-FUNG-0005:E001,M4-FUNG-0005,E001,NCBITAXON:2059437,STR_f118591308d8,BN008R,S002,"70 mL medium in 250-mL flasks; ~5,000 conidia; initial pH 4.7; n=3.",141
M4-FUNG-0005:E002,M4-FUNG-0005,E002,NCBITAXON:2059437,STR_39c34aa697e0,S_BG isolates including BN008R,S003,Group-level S_BG result; do not encode every fold as BN008R-specific.,142
M4-FUNG-0005:E003,M4-FUNG-0005,E003,NCBITAXON:2059437,STR_a43ff2880593,BN008R / ATCC MYA-379,S005,Unbuffered experiment.,143
M4-FUNG-0005:E004,M4-FUNG-0005,E004,NCBITAXON:2059437,STR_a43ff2880593,BN008R / ATCC MYA-379,S005,High-value transcript–product decoupling experiment.,144
M4-FUNG-0005:E005,M4-FUNG-0005,E005,NCBITAXON:2059437,STR_54149a8b82a0,BN008R and related Aspergillus clusters,S004,Supports intact G-aflatoxin branch.,145
M4-FUNG-0005:E006,M4-FUNG-0005,E006,NCBITAXON:2059437,STR_9f3c0345aef3,A. parasiticus BN009E cypA disruptants,S004,"Mechanistic comparator, not a BN008R genetic perturbation.",146
M4-FUNG-0006:E001,M4-FUNG-0006,E001,NCBITAXON:5059,STR_2feabbbcc7c9,AF70 versus NRRL3357,S005,Relative comparison; exact concentration values are in figure-level data.,139
M4-FUNG-0006:E002,M4-FUNG-0006,E002,NCBITAXON:5059,STR_9c03112e8892,AF70,S006,Only one high-quality RNA-seq library per strain×condition was sequenced; toxin assays provide separate validation.,140
M4-FUNG-0006:E003,M4-FUNG-0006,E003,NCBITAXON:5059,STR_9c03112e8892,AF70,S007,Useful environmental-gating experiment for B-only AF70.,141
M4-FUNG-0006:E004,M4-FUNG-0006,E004,NCBITAXON:5059,STR_a9c5beecbd06,"AF70 Δhbx1, control and complemented strain",S008,Strong extra-cluster developmental-regulator evidence.,142
M4-FUNG-0006:E005,M4-FUNG-0006,E005,NCBITAXON:5059,STR_ad7c8bb2ab7d,"AF70 Δhbx1, control, complemented",S009,"Global-regulator effect, not specific direct binding evidence.",143
M4-FUNG-0006:E006,M4-FUNG-0006,E006,NCBITAXON:5059,STR_c88702fabe2a,"AF70 WT, ΔfhpA1, OEfhpA4",S010,No functional complementation strain could be generated; interpret deletion phenotype with this caveat.,144
M4-FUNG-0006:E007,M4-FUNG-0006,E007,NCBITAXON:5059,STR_14e39e485ea9,AF70 / NRRL3357 aflatoxin-cluster comparison,S005,Cluster polymorphism is extensive and not reducible to one variant.,145
M4-FUNG-0007:E001,M4-FUNG-0007,E001,NCBITAXON:41061,STR_af9a39e47959,NRRL 13137 / ATCC 15546,S003,Historical species name A. nomius; current name A. nomiae.,141
M4-FUNG-0007:E002,M4-FUNG-0007,E002,NCBITAXON:41061,STR_986c4edc766c,NRRL 13137 plus A. flavus/A. parasiticus comparators,S004,cypA disruption itself was performed in A. parasiticus BN009E.,142
M4-FUNG-0007:E003,M4-FUNG-0007,E003,NCBITAXON:41061,STR_35954cc70af5,NRRL 13137,S006,50-mL cultures; demonstrates density×nutrient interaction rather than density effect alone.,143
M4-FUNG-0007:E004,M4-FUNG-0007,E004,NCBITAXON:41061,STR_35954cc70af5,NRRL 13137,S007,Ecological chemical cue with simultaneous developmental and metabolite effects.,144
M4-FUNG-0007:E005,M4-FUNG-0007,E005,NCBITAXON:41061,STR_35954cc70af5,NRRL 13137,S005,"Genome experiment, not a toxin-production assay.",145
M4-FUNG-0007:E006,M4-FUNG-0007,E006,NCBITAXON:41061,STR_daecb74be9f7,seven Brazil-nut A. nomiae isolates (not NRRL 13137),S009,Species-level comparative evidence; do not merge quantitatively with NRRL 13137.,146
M4-FUNG-0007:E007,M4-FUNG-0007,E007,NCBITAXON:41061,STR_a1855369bc35,two Brazil-nut A. nomiae isolates (not NRRL 13137),S010,High-value temporal evidence that transcription precedes detectable product.,147
M4-FUNG-0008:E001,M4-FUNG-0008,E001,NCBITAXON:5059,STR_5e7569038b45,AF36 versus toxigenic AF13,S003,Northern assayed pksA transcript; decisive evidence is coding-sequence loss of function.,139
M4-FUNG-0008:E002,M4-FUNG-0008,E002,NCBITAXON:5059,STR_2ad374ef7dd4,AF36 within 35 non-aflatoxigenic A. flavus genotypes,S005,Demonstrates that gene presence is not equivalent to pathway competence.,140
M4-FUNG-0008:E003,M4-FUNG-0008,E003,NCBITAXON:5059,STR_898eb8f12234,YV36 isolates from Mexico including AF36 lineage,S007,Shows lesion persistence across a natural VCG population.,141
M4-FUNG-0008:E004,M4-FUNG-0008,E004,NCBITAXON:5059,STR_89e2a7680215,AF36/YV36 in commercial pistachio orchards,S009,Ecological consequence of stable pathway inactivation rather than BGC activation.,142
M4-FUNG-0008:E005,M4-FUNG-0008,E005,NCBITAXON:5059,STR_f4186e68e537,AF36 / NRRL18543,S008,Not an aflatoxin-rescue experiment.,143
M4-FUNG-0009:E001,M4-FUNG-0009,E001,NCBITAXON:138278,STR_bb00fb3058d4,A. ochraceoroseus SRRC 1432,S010,Early physiological evidence; exact quantitative values not extracted in this pass.,143
M4-FUNG-0009:E002,M4-FUNG-0009,E002,NCBITAXON:138278,STR_bb00fb3058d4,A. ochraceoroseus SRRC 1432,S005,Strong native-product confirmation.,144
M4-FUNG-0009:E003,M4-FUNG-0009,E003,NCBITAXON:138278,STR_bb00fb3058d4,A. ochraceoroseus SRRC 1432,S004,Defines BGC architecture.,145
M4-FUNG-0009:E004,M4-FUNG-0009,E004,NCBITAXON:138278,STR_99aed140dc24,A. nidulans aflR mutant + A. ochraceoroseus aflR,S004,Direct demonstration that Ao AflR is functional across species.,146
M4-FUNG-0009:E005,M4-FUNG-0009,E005,NCBITAXON:138278,STR_57592aea37d2,A. parasiticus aflQ/ordA mutant SRRC 2670 + A. ochraceoroseus aflQ,S006,Demonstrates essential late function outside the BGC boundary.,147
M4-FUNG-0009:E006,M4-FUNG-0009,E006,NCBITAXON:138278,STR_0b684d060cae,A. rambellii genomic DNA,S004,Evolutionary/architecture comparator.,148
M4-FUNG-0010:E001,M4-FUNG-0010,E001,NCBITAXON:48100,STR_77dc542787bd,Alternaria solani; strain NR,S002; S003,Defines cluster architecture but not native final metabolite output.,124
M4-FUNG-0010:E002,M4-FUNG-0010,E002,NCBITAXON:48100,STR_b23f4d7db95e,Aspergillus oryzae transformant expressing A. solani alt5,S003,Direct proof of Alt5 function; Alt1–Alt4 absent from construct.,125
M4-FUNG-0010:E003,M4-FUNG-0010,E003,NCBITAXON:48100,STR_b943beb83191,A. oryzae Alt5 product,S003,Defines PKSN iterative programming.,126
M4-FUNG-0010:E004,M4-FUNG-0010,E004,NCBITAXON:48100,STR_fab267e7843b,Parastagonospora nodorum alternapyrone-family cluster,S007,"Comparator, not direct A. solani native evidence.",127
M4-FUNG-0010:E005,M4-FUNG-0010,E005,NCBITAXON:48100,STR_a9dec325bd69,Arthrinium arundinis alt′ homologous cluster,S008,Useful functional-homology evidence but exact enzyme roles may differ from A. solani.,128
M4-FUNG-0010:E006,M4-FUNG-0010,E006,NCBITAXON:48100,STR_b15f510b39f6,Dothideomycetes / Pleosporales genome collection,S009,"Distribution evidence, not product confirmation in every genome.",129
M4-FUNG-0011:E001,M4-FUNG-0011,E001,NCBITAXON:227321,STR_2609e7f2d587,FGSC-A4-derived strains,S003,Important negative: presumed regulator activation did not unlock useful product.,124
M4-FUNG-0011:E002,M4-FUNG-0011,E002,NCBITAXON:227321,STR_8f1a2518f04d,FGSC-A4-derived pkgA promoter-replacement strain,S003,Shows core biosynthesis can be engaged but release/output remains limiting.,125
M4-FUNG-0011:E003,M4-FUNG-0011,E003,NCBITAXON:227321,STR_82c84e9a5a9f,FGSC-A4-derived pkgA+pkgB dual promoter-replacement strain,S003,Core defining activation experiment.,126
M4-FUNG-0011:E004,M4-FUNG-0011,E004,NCBITAXON:227321,STR_d2f17f081cf8,FGSC-A4-derived activation panel,S003,Experimental architecture alters precursor competition and analytical background; preserve as context.,127
M4-FUNG-0011:E005,M4-FUNG-0011,E005,NCBITAXON:227321,STR_a49870a543b8,A. nidulans TNO2A3 expressing P. nodorum SnPKS19,S005,Comparator supports that alternariol can be made by an alternative stand-alone PKS and provides a defined condition where endogenous pkg genes are off.,128
M4-FUNG-0011:E006,M4-FUNG-0011,E006,NCBITAXON:227321,STR_1ab23c17668e,Alternaria alternata alternariol cluster,S006,Shows that alternariol pathway architecture varies substantially across fungi; do not expand BGC0000013 to six genes by homology.,129
M4-FUNG-0012:E001,M4-FUNG-0012,E001,NCBITAXON:227321,STR_b44b31fcaa82,A. nidulans FGSC-A4-derived strains,S003,Primary native-locus activation experiment.,127
M4-FUNG-0012:E002,M4-FUNG-0012,E002,NCBITAXON:227321,STR_3acd2f3550ac,Afo-gene deletion panel in activated background,S003,Defines functional border and distinguishes required from co-located genes.,128
M4-FUNG-0012:E003,M4-FUNG-0012,E003,NCBITAXON:227321,STR_8495e617a529,afoD deletion strain,S003,Strong pathway-order evidence.,129
M4-FUNG-0012:E004,M4-FUNG-0012,E004,NCBITAXON:227321,STR_653d15f2267a,SB3.5 alcAp-scpR versus wild type/repressed controls,S004,Direct cross-cluster regulatory coupling.,130
M4-FUNG-0012:E005,M4-FUNG-0012,E005,NCBITAXON:227321,STR_3c0cd494e202,SB2.7 inpB-deletion + alcAp-scpR,S004,Supports transcription-factor cross-talk rather than metabolite-mediated activation.,131
M4-FUNG-0012:E006,M4-FUNG-0012,E006,NCBITAXON:227321,STR_f3ed04420a93,ALF1.1 afoA-deletion + alcAp-scpR,S004,Places AfoA downstream of ScpR.,132
M4-FUNG-0012:E007,M4-FUNG-0012,E007,NCBITAXON:227321,STR_638469b7a83c,purified asperfuranone in A549 cells,S005,"Compound-level pharmacology, separate from fungal biological role.",133
M4-FUNG-0013:E001,M4-FUNG-0013,E001,NCBITAXON:89488,STR_ed419cc3667e,Monascus purpureus WT vs W13 T-DNA mutant,S003,"Discovery experiment is M. purpureus, not M. pilosus.",140
M4-FUNG-0013:E002,M4-FUNG-0013,E002,NCBITAXON:89488,STR_5713d9a435d0,Monascus purpureus BIJ-4 ΔMpPKS5,S003,Direct core-enzyme causality.,141
M4-FUNG-0013:E003,M4-FUNG-0013,E003,NCBITAXON:89488,STR_c90f80320d1a,M. purpureus F9 ΔMpfasB2,S004,Localizes short-chain acyl-supply competence downstream/parallel to core PKS.,142
M4-FUNG-0013:E004,M4-FUNG-0013,E004,NCBITAXON:89488,STR_f884fc5611a3,M. purpureus ΔmppE and mppE-overexpression strains,S005,Direct evidence for context-sensitive branch control.,143
M4-FUNG-0013:E005,M4-FUNG-0013,E005,NCBITAXON:89488,STR_9a7a35860a4b,M. purpureus ΔmppG,S006,Supports divergent yellow vs orange branches rather than simple yellow→orange oxidation.,144
M4-FUNG-0013:E006,M4-FUNG-0013,E006,NCBITAXON:89488,STR_3a7db09eca56,M. pilosus genomic sequence KC148521,S002; S003,Sequence assignment relies on homology from M. purpureus functional discovery.,145
M4-FUNG-0014:E001,M4-FUNG-0014,E001,NCBITAXON:1279085,STR_432529208c40,F. fujikuroi IMI58289 WT and Δbik1,S003; S004,Core scaffold causality.,124
M4-FUNG-0014:E002,M4-FUNG-0014,E002,NCBITAXON:1279085,STR_81d8222b442b,IMI58289 Δbik2 and Δbik3,S003; S005,,125
M4-FUNG-0014:E003,M4-FUNG-0014,E003,NCBITAXON:1279085,STR_3d6ca495c57d,"IMI58289 Δbik4, Δbik5, Δbik6",S003,Separates regulation from transport.,126
M4-FUNG-0014:E004,M4-FUNG-0014,E004,NCBITAXON:1279085,STR_c935ab68c4f5,"IMI58289 WT, ΔpacC and dominant-active PacC strains",S003,pH gate is upstream/global rather than cluster encoded.,127
M4-FUNG-0014:E005,M4-FUNG-0014,E005,NCBITAXON:1279085,STR_64cfedf046a7,IMI58289 under low versus high nitrogen and acidic versus alkaline regimes,S006,Genome-wide context confirms strong state dependence.,128
M4-FUNG-0014:E006,M4-FUNG-0014,E006,NCBITAXON:1279085,STR_457ec4751727,F. fujikuroi cultures with sucrose/carbohydrate and salt-starvation manipulations,S007,Mechanisms may include growth/metabolic-state effects rather than one specific receptor.,129
M4-FUNG-0014:E007,M4-FUNG-0014,E007,NCBITAXON:1279085,STR_6bb8f71cb37a,IMI58289 + R. solanacearum GMI1000 versus ΔrmyA,S008,Strong spatial/ecological cue experiment.,130
M4-FUNG-0014:E008,M4-FUNG-0014,E008,NCBITAXON:1279085,STR_f1f36bd3d094,IMI58289 treated with conditioned medium or purified ralsolamycin under high and low nitrogen,S008,Demonstrates ecological signal can override nutritional repression.,131
M4-FUNG-0014:E009,M4-FUNG-0014,E009,NCBITAXON:1279085,STR_ee7642ec1c8a,WT vs Δbik1 chlamydospores challenged with GFP-Ralstonia,S008,Links pathway output to a specific ecological phenotype.,132
M4-FUNG-0015:E001,M4-FUNG-0015,E001,NCBITAXON:227321,STR_7bf4d4804a88,LO2026 stcJΔ/nkuAΔ parental background,S003,stcJ deletion removes sterigmatocystin and may change precursor/analytical background.,126
M4-FUNG-0015:E002,M4-FUNG-0015,E002,NCBITAXON:227321,STR_3146b8e283fc,cicA–cicH and flanking-gene deletion panel,S003,Defines seven required local genes despite internal nonessential gene.,127
M4-FUNG-0015:E003,M4-FUNG-0015,E003,NCBITAXON:227321,STR_2668edc67b0e,cicBΔ and cicCΔ strains,S003,Initial routine organic extraction missed these intermediates; sample chemistry was itself a recoverability gate.,128
M4-FUNG-0015:E004,M4-FUNG-0015,E004,NCBITAXON:227321,STR_655df4f1dc6c,CicF/AN6448 overexpression strain,S004,Core-enzyme activation resolves the first committed chemical step but is not sufficient for final cichorine.,129
M4-FUNG-0015:E005,M4-FUNG-0015,E005,NCBITAXON:227321,STR_2fcc91bbcdad,LO8030 genetic-dereplication parental vs ΔpkbA,S006,Highly engineered background; useful for pathway attribution but not native ecological state.,130
M4-FUNG-0015:E006,M4-FUNG-0015,E006,NCBITAXON:227321,STR_4e4fa726f720,aspercryptin discovery strains,S005,Cichorine BGC contributes precursor chemistry to a metabolite assigned to another BGC family.,131
M4-FUNG-0015:E007,M4-FUNG-0015,E007,NCBITAXON:227321,STR_497534be7385,A. nidulans A1145/cicD,S007,Modern confirmation that regulator activation expands the accessible chemical state space.,132
M4-FUNG-0016:E001,M4-FUNG-0016,E001,NCBITAXON:5077,STR_b6a3e3afc4af,P. citrinum source producer,S003,Defining cluster study.,125
M4-FUNG-0016:E002,M4-FUNG-0016,E002,NCBITAXON:5077,STR_b07e8c29f14b,P. citrinum cluster-copy transformants,S004,Direct dosage-output evidence.,126
M4-FUNG-0016:E003,M4-FUNG-0016,E003,NCBITAXON:5077,STR_6d0ec61c6123,P. citrinum mlcD mutant,S004,Direct target-protection evidence.,127
M4-FUNG-0016:E004,M4-FUNG-0016,E004,NCBITAXON:5077,STR_264bd9b6d05d,MlcR functional/regulatory strains,S005; S006,,128
M4-FUNG-0017:E001,M4-FUNG-0017,E001,NCBITAXON:33178,STR_1cb0eac61e92,A. terreus AH-02-30-F7,S005,Producer provenance predates BGC cloning.,124
M4-FUNG-0017:E002,M4-FUNG-0017,E002,NCBITAXON:33178,STR_1cb0eac61e92,A. terreus AH-02-30-F7,S003,No native gene knockout was required to define the minimal chemical machinery.,125
M4-FUNG-0017:E003,M4-FUNG-0017,E003,NCBITAXON:33178,STR_9511e4e3aba4,S. cerevisiae BJ5464-NpgA expressing AtCURS1 + AtCURS2,S003,Strong sufficiency evidence.,126
M4-FUNG-0017:E004,M4-FUNG-0017,E004,NCBITAXON:33178,STR_011a654f396e,S. cerevisiae BJ5464-NpgA expressing AtCURS2 only,S003,Bypasses CurS1 and tests CurS2 substrate/programming directly.,127
M4-FUNG-0017:E005,M4-FUNG-0017,E005,NCBITAXON:33178,STR_6e9cb29837fb,S. cerevisiae control vectors,S003,Supports construct-specific attribution.,128
M4-FUNG-0017:E006,M4-FUNG-0017,E006,NCBITAXON:33178,STR_371068293126,A. terreus NIH2624 and A. flavus NRRL3357 genomic comparators,Important strain specificity: species-level genome presence cannot substitute for source-strain evidence.,,129
M4-FUNG-0018:E001,M4-FUNG-0018,E001,NCBITAXON:622360,STR_dc2e05617522,A. brassicicola ATCC 96836 and independent dep2 mutants,S003,Two independent dep2 mutants were generated in the defining study.,124
M4-FUNG-0018:E002,M4-FUNG-0018,E002,NCBITAXON:622360,STR_feed2684333e,A. brassicicola ATCC 96836 and independent dep4 mutants,S003,Two independent dep4 mutants were generated.,125
M4-FUNG-0018:E003,M4-FUNG-0018,E003,NCBITAXON:622360,STR_d13562d8c31a,A. brassicicola ATCC 96836 dep5 mutants,S003; S006,Defines early scaffold gate.,126
M4-FUNG-0018:E004,M4-FUNG-0018,E004,NCBITAXON:622360,STR_61d6fdc788bd,A. brassicicola ATCC 96836 dep6 mutants,S003,Defines transcriptional boundary.,127
M4-FUNG-0018:E005,M4-FUNG-0018,E005,NCBITAXON:622360,STR_3ce41e48cbbc,WT vs depudecin-minus mutants on cabbage,S003,Minor rather than dominant virulence contribution.,128
M4-FUNG-0018:E006,M4-FUNG-0018,E006,NCBITAXON:622360,STR_8535758d4bfe,WT vs depudecin-minus mutants on Arabidopsis,S003,Host-species dependence.,129
M4-FUNG-0018:E007,M4-FUNG-0018,E007,NCBITAXON:622360,STR_52cfbc18de8f,A. brassicicola culture-condition panel,S005,Demonstrates context-dependent native output.,130
M4-FUNG-0018:E008,M4-FUNG-0018,E008,NCBITAXON:622360,STR_8579c7d579f7,A. brassicicola liquid cultures with epigenetic modifiers,S005,Useful negative activation evidence; depudecin not broadly unlocked by these chromatin perturbations.,131
M4-FUNG-0018:E009,M4-FUNG-0018,E009,NCBITAXON:622360,STR_2f3de69828af,Fusarium langsethiae DEP-homolog cluster,S006,"Comparative evolutionary evidence, not direct ATCC96836 experiment.",132
M4-FUNG-0019:E001,M4-FUNG-0019,E001,NCBITAXON:675120,STR_efa4a41348ad,D. septosporum pksA mutants including FJT3,S002,Clean first-committed-step localization.,151
M4-FUNG-0019:E002,M4-FUNG-0019,E002,NCBITAXON:675120,STR_e02758b9e32f,D. septosporum NZE5 dotA/Ver1 mutants,S003,Strong biochemical intermediate evidence.,152
M4-FUNG-0019:E003,M4-FUNG-0019,E003,NCBITAXON:675120,STR_250dc5fcd4fb,NZE7 and NZE10,S005,Unusual timing relative to classical late-phase fungal secondary metabolism.,153
M4-FUNG-0019:E004,M4-FUNG-0019,E004,NCBITAXON:675120,STR_02b68d2da95e,reference genome NZE10 / comparative genomic analysis,S006,Establishes dispersed functional-programme architecture.,154
M4-FUNG-0019:E005,M4-FUNG-0019,E005,NCBITAXON:675120,STR_742ae2c12c41,ΔDsAflR vs WT,S007,Direct proof that dispersed loci share a pathway-specific regulator.,155
M4-FUNG-0019:E006,M4-FUNG-0019,E006,NCBITAXON:675120,STR_e2c59b456bb6,ΔDsLaeA vs WT,S009,Direction opposite canonical positive LaeA role in many Aspergillus pathways.,156
M4-FUNG-0019:E007,M4-FUNG-0019,E007,NCBITAXON:675120,STR_cbc1667d29de,chromatin-regulator / ChIP experiments,S010,Evidence for chromatin coordination across physically separated loci.,157
M4-FUNG-0019:E008,M4-FUNG-0019,E008,NCBITAXON:675120,STR_e49d204fb85f,NZE10 vs ΔPksA/ΔVbsA/ΔHexA mutants on Pinus radiata,S008,Distinguishes pathogenicity from degree of virulence.,158
M4-FUNG-0019:E009,M4-FUNG-0019,E009,NCBITAXON:675120,STR_e6aeb695e57a,DotC deletion/overexpression/GFP localization,S011,Important negative annotation test.,159
M4-FUNG-0019:E010,M4-FUNG-0019,E010,NCBITAXON:675120,STR_9a73dc78a457,global NZ D. septosporum isolate panel,S012,Association only; aneuploidy mechanism not established.,160
M4-FUNG-0020:E001,M4-FUNG-0020,E001,NCBITAXON:227321,STR_4dc55694f4fd,A. nidulans wild type across 20 culture conditions,S003,Demonstrates native accessibility by culture condition alone.,132
M4-FUNG-0020:E002,M4-FUNG-0020,E002,NCBITAXON:227321,STR_228f1caface2,A. nidulans cclAΔ versus control,S005,Initial chromatin-access route.,133
M4-FUNG-0020:E003,M4-FUNG-0020,E003,NCBITAXON:227321,STR_81f3aa7247f8,A. nidulans + 58 soil actinomycete screen,S004,Inducer historically reported as S. hygroscopicus and subsequently as S. rapamycinicus.,134
M4-FUNG-0020:E004,M4-FUNG-0020,E004,NCBITAXON:227321,STR_f4db2c8b84a8,A. nidulans + S. rapamycinicus contact controls,S004,Strong signal-access/geometry evidence.,135
M4-FUNG-0020:E005,M4-FUNG-0020,E005,NCBITAXON:227321,STR_599b651522c6,"WT, ΔgcnE and ΔadaB A. nidulans ± S. rapamycinicus",S006,Places histone acetylation mechanistically downstream of bacterial contact.,136
M4-FUNG-0020:E006,M4-FUNG-0020,E006,NCBITAXON:227321,STR_f4973c28dc95,ten NR-PKS deletion panel,S003,Strong candidate-identity test.,137
M4-FUNG-0020:E007,M4-FUNG-0020,E007,NCBITAXON:227321,STR_6d996f632109,local AN7901–AN7908 and AN7911–AN7915 deletion panel,S003,Direct falsification of transcript-defined membership.,138
M4-FUNG-0020:E008,M4-FUNG-0020,E008,NCBITAXON:227321,STR_70827e8ad815,orsBΔ and orsCΔ scale-up strains,S003,Chemically distinguishes downstream tailoring states.,139
M4-FUNG-0020:E009,M4-FUNG-0020,E009,NCBITAXON:227321,STR_24ac3431b357,"WT, ΔveA, OE::mvlAΔveA, ΔveAΔgcnE and related strains",S007,H3K9 acetylation is necessary in this context but not sufficient by itself.,140
M4-FUNG-0020:E010,M4-FUNG-0020,E010,NCBITAXON:227321,STR_8ee6297b1fa0,ΔcclA versus WT at metabolic-stage transitions,S009,Modern confirmation that CclA action is not a single time-invariant switch.,141
M4-FUNG-0021:E001,M4-FUNG-0021,E001,NCBITAXON:334819,STR_9007ca8ce5c1,M-3125 / FGSC7600 Δfum21 mutants + complementation,S005,Direct activation-gate experiment.,133
M4-FUNG-0021:E002,M4-FUNG-0021,E002,NCBITAXON:334819,STR_1c39d4e4dde0,fum1 mutants and producing controls in maize field tests,S004,Strong biological-role restraint.,134
M4-FUNG-0021:E003,M4-FUNG-0021,E003,NCBITAXON:334819,STR_5f6bf8f411cb,"Δfum1, Δfum6, Δfum8 single cultures and mutant cocultures",S006,Rare mutant-mutant cross-feeding evidence.,135
M4-FUNG-0021:E004,M4-FUNG-0021,E004,NCBITAXON:334819,STR_9e730d615333,Δfum13 vs WT,S018,Demonstrates both reaction and partial redundancy.,136
M4-FUNG-0021:E005,M4-FUNG-0021,E005,NCBITAXON:334819,STR_1104c8b79047,Δfum7/10/11/14/16 deletion panel,S007,Later FUM16 self-protection function resolves the older null biosynthesis phenotype.,137
M4-FUNG-0021:E006,M4-FUNG-0021,E006,NCBITAXON:334819,STR_bb8f8e69de41,purified Fum14 + hydrolyzed fumonisin substrates,S021,Direct enzyme-level proof.,138
M4-FUNG-0021:E007,M4-FUNG-0021,E007,NCBITAXON:334819,STR_198a15f1404c,WT/Δfum19/OE::FUM19 and FUM17/18 mutants,S008,"Separates export annotation, feedback regulation and resistance.",139
