compact_fact_id,dossier_id,section,source_row,fact_type,label_raw,statement_raw,source_ids,extra_raw_json,normalization_status
CF_baa9849abb8c,M4-FUNG-0079,ORGANISM_AND_SEQUENCE,20,organism_context_fact,ncbi_taxon_id,227321,S002,,unreviewed
CF_288c962fbf14,M4-FUNG-0079,ORGANISM_AND_SEQUENCE,21,organism_context_fact,reported_bgc_boundary,"BN001301.1:1,533,932–1,555,677",S001,,unreviewed
CF_f37516bc7048,M4-FUNG-0079,PRODUCT_ACTIVATION_EVIDENCE,23,product_fact,primary_product,asperthecin,S001; S003,,unreviewed
CF_1f1b643a4bc1,M4-FUNG-0079,PRODUCT_ACTIVATION_EVIDENCE,24,product_fact,activation_intervention_required,sumO deletion strongly increases asperthecin production and enabled pathway discovery; this is a global regulatory perturbation rather than a pathway-specific transcription-factor switch,S003,,unreviewed
CF_f48787b8b209,M4-FUNG-0079,PRODUCT_ACTIVATION_EVIDENCE,25,product_fact,pathway_identity_confidence,very_high; three required genes were established by targeted deletion,S003,,unreviewed
CF_df60cd475acc,M4-FUNG-0079,EXPERIMENTS_AND_CLAIMS,31,experiment_fact,E001,sumOΔ activation + surrounding-gene deletion series,defined minimal aptA-aptB-aptC cluster,"{""E"": ""S003""}",unreviewed
CF_e326de9624ac,M4-FUNG-0079,EXPERIMENTS_AND_CLAIMS,32,experiment_fact,C001,Asperthecin illustrates discovery of a cryptic/low-output PKS pathway through a global SUMO perturbation followed by gene-by-gene causal testing.,S003,,unreviewed
CF_886a72182db6,M4-FUNG-0080,ORGANISM_AND_SEQUENCE,19,organism_context_fact,organism_name,Alternaria brassicicola ATCC 96836,S001; S002,,unreviewed
CF_6c706a9e2b58,M4-FUNG-0080,ORGANISM_AND_SEQUENCE,20,organism_context_fact,ncbi_taxon_id,622360,S002,,unreviewed
CF_5780e4839059,M4-FUNG-0080,ORGANISM_AND_SEQUENCE,21,organism_context_fact,reported_bgc_boundary,"ACIW01000469.1; current generated MIBiG region 28,921 bp on contig edge",S001,,unreviewed
CF_5bcdce8366a2,M4-FUNG-0080,PRODUCT_ACTIVATION_EVIDENCE,23,product_fact,primary_product,brassicicene C,S001; S003,,unreviewed
CF_d47f9efc7e3a,M4-FUNG-0080,PRODUCT_ACTIVATION_EVIDENCE,24,product_fact,refined_bgc_class,"fusicoccane-type diterpenoid cluster with terpene cyclase, P450s, dioxygenase, methyltransferase and redox tailoring",S003; S004; S005,,unreviewed
CF_51e045e65488,M4-FUNG-0080,PRODUCT_ACTIVATION_EVIDENCE,25,product_fact,activation_intervention_required,no artificial cluster activation is required in the defining biochemical studies; pathway order was resolved by cloned enzymes and heterologous assays,S003; S004; S005,,unreviewed
CF_06a567b8231c,M4-FUNG-0080,EXPERIMENTS_AND_CLAIMS,32,experiment_fact,E001,cloned cluster enzymes + heterologous biochemical assays,resolved scaffold formation and early oxidative tailoring,"{""E"": ""S003; S004; S005""}",unreviewed
CF_edec052d923c,M4-FUNG-0080,EXPERIMENTS_AND_CLAIMS,33,experiment_fact,C001,Closely related fungal diterpene pathways diverge through regioselective dioxygenase chemistry; Bsc9 directs the C-3-hydroxylated brassicicene-type aglycon.,S005,,unreviewed
CF_e50b9612839d,M4-FUNG-0081,ORGANISM_AND_SEQUENCE,19,organism_context_fact,organism_name,Aspergillus fumigatus Af293,S001; S002,,unreviewed
CF_f73346980ef3,M4-FUNG-0081,ORGANISM_AND_SEQUENCE,20,organism_context_fact,ncbi_taxon_id,330879,S002,,unreviewed
CF_11e097f43934,M4-FUNG-0081,ORGANISM_AND_SEQUENCE,21,organism_context_fact,reported_bgc_boundary,"CM000172.1:3,892,066–3,908,342",S001,,unreviewed
CF_d557e483f42d,M4-FUNG-0081,PRODUCT_ACTIVATION_EVIDENCE,23,product_fact,primary_product,helvolic acid,S001; S003,,unreviewed
CF_8662608b51fb,M4-FUNG-0081,PRODUCT_ACTIVATION_EVIDENCE,24,product_fact,refined_bgc_class,fusidane/steroidal antibiotic triterpenoid pathway initiated by oxidosqualene cyclization and extensive P450/SDR/acyltransferase tailoring,S003,,unreviewed
CF_bfd81bbb6a21,M4-FUNG-0081,PRODUCT_ACTIVATION_EVIDENCE,25,product_fact,complete_pathway_reconstruction,high for early core formation and multiple tailoring steps; later work further resolves order and enzyme specificity,S003; S004,,unreviewed
CF_85fc35d0dba0,M4-FUNG-0081,EXPERIMENTS_AND_CLAIMS,31,experiment_fact,E001,yeast heterologous coexpression of AfuOSC3 with individual tailoring enzymes,established protostadienol core and specific early oxidative transformations,"{""E"": ""S003""}",unreviewed
CF_064f8807cdea,M4-FUNG-0081,EXPERIMENTS_AND_CLAIMS,32,experiment_fact,C001,Helvolic acid biosynthesis is a triterpenoid pathway whose core oxidosqualene cyclase and early oxidative tailoring were demonstrated by heterologous reconstitution.,S003,,unreviewed
CF_c083aca26475,M4-FUNG-0082,ORGANISM_AND_SEQUENCE,19,organism_context_fact,organism_name,Diaporthe amygdali (historical paper: Phomopsis amygdali),S001; S002; S003,,unreviewed
CF_de3f2e0c2670,M4-FUNG-0082,ORGANISM_AND_SEQUENCE,20,organism_context_fact,ncbi_taxon_id,1214568,S002,,unreviewed
CF_baeb914e2fac,M4-FUNG-0082,ORGANISM_AND_SEQUENCE,21,organism_context_fact,reported_bgc_boundary,"AB254158.1; current MIBiG generated region 25,841 bp",S001,,unreviewed
CF_f6515d6ac11b,M4-FUNG-0082,PRODUCT_ACTIVATION_EVIDENCE,23,product_fact,primary_product,phyllocladan-16α-ol,S001; S003,,unreviewed
CF_eb648c403f0c,M4-FUNG-0082,PRODUCT_ACTIVATION_EVIDENCE,24,product_fact,known_congeners,"trace labdane-related hydrocarbons and phyllocladan-11α,16α,18-triol isolated as a plausible downstream metabolite",S003,,unreviewed
CF_2c1828f80f00,M4-FUNG-0082,PRODUCT_ACTIVATION_EVIDENCE,25,product_fact,activation_intervention_required,genome walking from GGDP-synthase genes plus recombinant cyclase assays exposed the pathway; no native transcriptional activation gate was established,S003,,unreviewed
CF_ed0dd9a97fbf,M4-FUNG-0082,EXPERIMENTS_AND_CLAIMS,30,experiment_fact,E001,recombinant PaDC1 enzyme assay,directly demonstrated phyllocladan-16α-ol synthase activity,"{""E"": ""S003""}",unreviewed
CF_960347205933,M4-FUNG-0082,EXPERIMENTS_AND_CLAIMS,31,experiment_fact,C001,PaDC1 is a bifunctional fungal diterpene cyclase that converts GGDP through (+)-CPP to phyllocladan-16α-ol.,S003,,unreviewed
CF_e55d9847752d,M4-FUNG-0083,ORGANISM_AND_SEQUENCE,20,organism_context_fact,organism_name,Diaporthe amygdali (historical paper: Phomopsis amygdali),S001; S002; S003,,unreviewed
CF_3417fd864ba8,M4-FUNG-0083,ORGANISM_AND_SEQUENCE,21,organism_context_fact,ncbi_taxon_id,1214568,S002,,unreviewed
CF_6a56fb5301af,M4-FUNG-0083,ORGANISM_AND_SEQUENCE,22,organism_context_fact,reported_bgc_boundary,"AB254160.1; current MIBiG generated region 13,785 bp",S001,,unreviewed
CF_d96f01950eae,M4-FUNG-0083,PRODUCT_AND_EVIDENCE,24,product_fact,primary_product,(+)-copalyl diphosphate,S001; S003,,unreviewed
CF_d67e0187ed8b,M4-FUNG-0083,PRODUCT_AND_EVIDENCE,25,product_fact,functional_programme_boundary,PaGGS4 supplies GGDP and PaDC2 converts it to (+)-CPP; downstream utilization of this precursor is not established as part of this MIBiG locus,S003,,unreviewed
CF_b8968a24e358,M4-FUNG-0083,PRODUCT_AND_EVIDENCE,26,product_fact,complete_pathway_reconstruction,"complete for the encoded precursor-forming reaction, incomplete as a full secondary-metabolite end-product pathway",S003,,unreviewed
CF_07b412fea558,M4-FUNG-0083,EXPERIMENTS_AND_CLAIMS,31,experiment_fact,E001,recombinant PaDC2 assay,demonstrated (+)-CPP formation,"{""E"": ""S003""}",unreviewed
CF_9fac6d427c33,M4-FUNG-0083,EXPERIMENTS_AND_CLAIMS,32,experiment_fact,C001,BGC0000688 is best interpreted as a validated precursor-generating diterpene module rather than proof of a complete terminal metabolite pathway.,S001; S003,,unreviewed
CF_76282ff9a86d,M4-FUNG-0084,ORGANISM_AND_PRODUCT,20,product_fact,organism_name,Aspergillus fumigatus Af293,S001; S002,,unreviewed
CF_b696f5e15348,M4-FUNG-0084,ORGANISM_AND_PRODUCT,21,product_fact,ncbi_taxon_id,330879,S002,,unreviewed
CF_23855323ae42,M4-FUNG-0084,ORGANISM_AND_PRODUCT,22,product_fact,primary_product,fumigaclavine C,S001; S003; S004,,unreviewed
CF_f0d844917765,M4-FUNG-0084,ORGANISM_AND_PRODUCT,23,product_fact,refined_bgc_class,"fungal ergot-alkaloid pathway initiated by dimethylallyltryptophan synthesis and completed by late oxidation, acetylation and reverse prenylation",S003; S004,,unreviewed
CF_2c3b3bf69877,M4-FUNG-0084,MEASUREMENTS_AND_CLAIMS,33,measurement_fact,Q001,FgaPT1 Km(app) fumigaclavine A,µM,"{""E"": ""S004""}",unreviewed
CF_8ebe9cddf7f3,M4-FUNG-0084,MEASUREMENTS_AND_CLAIMS,34,measurement_fact,Q002,FgaPT1 Km(app) DMAPP,µM,"{""E"": ""S004""}",unreviewed
CF_86f8fb14c439,M4-FUNG-0084,MEASUREMENTS_AND_CLAIMS,35,measurement_fact,Q003,FgaPT1 turnover,s^-1,"{""E"": ""S004""}",unreviewed
CF_d2dab82c5f38,M4-FUNG-0084,MEASUREMENTS_AND_CLAIMS,36,measurement_fact,C001,"FgaPT1 is a directly characterized, soluble reverse prenyltransferase that completes fumigaclavine C formation from fumigaclavine A.",S004,,unreviewed
CF_66ed1ab217d0,M4-FUNG-0085,ORGANISM_AND_PRODUCT,20,product_fact,organism_name,Shiraia sp. Slf14,S001; S002,,unreviewed
CF_67a99dd58c56,M4-FUNG-0085,ORGANISM_AND_PRODUCT,21,product_fact,ncbi_taxon_id,665115,S002,,unreviewed
CF_66b79cc76023,M4-FUNG-0085,ORGANISM_AND_PRODUCT,22,product_fact,primary_product,huperzine A,S003,,unreviewed
CF_6c0474fb742c,M4-FUNG-0085,ORGANISM_AND_PRODUCT,23,product_fact,product_formation_evidence,"very high at strain level: TLC, HPLC, LC-MS, 1H-NMR and AChE inhibition matched authentic huperzine A",S003,,unreviewed
CF_6d52c92b6467,M4-FUNG-0085,ORGANISM_AND_PRODUCT,24,product_fact,bgc_product_attribution,"low/uncertain: the MIBiG defining reference is a genome announcement and does not establish this locus by deletion, heterologous reconstruction or cluster-specific expression evidence",S001; S004,,unreviewed
CF_1717987474d9,M4-FUNG-0085,ORGANISM_AND_PRODUCT,25,product_fact,candidate_bgc_credibility,UNCERTAIN,S001; S004,,unreviewed
CF_c8c91d5456d2,M4-FUNG-0085,MEASUREMENTS_AND_PATHWAY_CANDIDATES,27,measurement_fact,Q001,huperzine A titer in Slf14 culture,µg/L,"{""E"": ""S003""}",unreviewed
CF_ace87eb0a8b1,M4-FUNG-0085,MEASUREMENTS_AND_PATHWAY_CANDIDATES,28,measurement_fact,CAO candidate,copper amine oxidase,high for enzyme function / low for BGC attribution,"{""E"": ""S005""}",unreviewed
CF_495c9c723403,M4-FUNG-0085,CLAIMS_AND_CONFLICTS,30,claim_fact,C001,Shiraia sp. Slf14 genuinely produces huperzine A.,S003,,unreviewed
CF_22ff519054fc,M4-FUNG-0085,CLAIMS_AND_CONFLICTS,31,claim_fact,C002,The current evidence does not justify treating BGC0000812 as a causally validated huperzine A BGC.,S001; S004,,unreviewed
CF_19dbc1a49f0b,M4-FUNG-0085,CLAIMS_AND_CONFLICTS,32,claim_fact,U001,database attribution,open,"{""E"": ""S001; S004""}",unreviewed
CF_b264380091d7,M4-FUNG-0086,ORGANISM_PRODUCT_CONTEXT,20,product_fact,organism_name,Epichloë uncinata (historical literature: Neotyphodium uncinatum),S001; S002; S003,,unreviewed
CF_a129974f69e9,M4-FUNG-0086,ORGANISM_PRODUCT_CONTEXT,21,product_fact,ncbi_taxon_id,5050,S002,,unreviewed
CF_eed0a92da9c5,M4-FUNG-0086,ORGANISM_PRODUCT_CONTEXT,22,product_fact,primary_product,loline; N-acetylnorloline; N-formylloline,S001; S003,,unreviewed
CF_0539825edb34,M4-FUNG-0086,ORGANISM_PRODUCT_CONTEXT,23,product_fact,biological_role,anti-insect chemical defense supplied by grass endophyte to host plant,S003; S004,,unreviewed
CF_4cb68408e94a,M4-FUNG-0086,ORGANISM_PRODUCT_CONTEXT,24,product_fact,functional_programme_boundary,"LOL1 contains nine genes in order lolF-lolC-lolD-lolO-lolA-lolU-lolP-lolT-lolE; a second homologous cluster LOL2 is also present, with a large deletion affecting lolP2",S003; S004,,unreviewed
CF_a92b7e868110,M4-FUNG-0086,MEASUREMENTS_AND_TEMPORAL_CONTEXT,30,measurement_fact,Q001,lolC RNAi effect,P < 0.001,"{""E"": ""S003""}",unreviewed
CF_3f62b58b69e2,M4-FUNG-0086,MEASUREMENTS_AND_TEMPORAL_CONTEXT,31,measurement_fact,temporal_window,"all nine LOL genes rise before detectable loline accumulation, peak near maximal accumulation rate, then decline as metabolite levels plateau",S006,,unreviewed
CF_1f1ef93af05c,M4-FUNG-0086,CLAIMS_AND_CONFLICTS,33,claim_fact,C001,The LOL cluster is causally linked to loline biosynthesis through expression correlation plus gene-specific RNAi/knockout phenotypes.,S003; S004; S005,,unreviewed
CF_d924bdc958ee,M4-FUNG-0086,CLAIMS_AND_CONFLICTS,34,claim_fact,U001,copy-number boundary,open-provenance,"{""E"": ""S003; S004""}",unreviewed
CF_df037ec99634,M4-FUNG-0087,GENES_AND_MECHANISM,23,gene_or_mechanism_fact,malA,flavin-dependent halogenase; iterative late-stage chlorination of premalbrancheamide,S003,,unreviewed
CF_8639055047b7,M4-FUNG-0087,GENES_AND_MECHANISM,24,gene_or_mechanism_fact,malB / malE,prenyltransferases assigned in comparative pathway reconstruction,S002,,unreviewed
CF_d576ad80a443,M4-FUNG-0087,GENES_AND_MECHANISM,25,gene_or_mechanism_fact,malG,NRPS/condensation-domain-containing core biosynthetic enzyme in the mapped cluster,S001,,unreviewed
CF_4334eafe9b11,M4-FUNG-0087,GENES_AND_MECHANISM,26,gene_or_mechanism_fact,C001,"The genomic locus is strongly associated with malbrancheamide biosynthesis, but the 2012 pathway map contains prediction-led assignments that should not all be treated as experimentally proven.",S002,,unreviewed
CF_60c184006ae2,M4-FUNG-0087,GENES_AND_MECHANISM,27,gene_or_mechanism_fact,C002,MalA directly catalyzes iterative late-stage halogenation of premalbrancheamide.,S003,,unreviewed
CF_762cbe03af8e,M4-FUNG-0088,GENES_AND_MECHANISM,22,gene_or_mechanism_fact,notE,bimodular NRPS; predicted Pro-Trp cyclodipeptide assembly,S001; S002,,unreviewed
CF_b53eeb7c4f96,M4-FUNG-0088,GENES_AND_MECHANISM,23,gene_or_mechanism_fact,notB,FAD monooxygenase; homologous notoamide-system enzyme has direct in-vitro support for oxidative tailoring,S002,,unreviewed
CF_2ebe606671a0,M4-FUNG-0088,GENES_AND_MECHANISM,24,gene_or_mechanism_fact,notC,prenyltransferase in mapped cluster,S001,,unreviewed
CF_c215ef53c9c7,M4-FUNG-0088,GENES_AND_MECHANISM,25,gene_or_mechanism_fact,C001,"notA–J-like architecture strongly supports pathway assignment, but antipodal notoamide stereochemistry cannot be inferred from gene content alone.",S002,,unreviewed
CF_876c18975670,M4-FUNG-0088,GENES_AND_MECHANISM,26,gene_or_mechanism_fact,U001,Several original enzyme-to-step assignments were proposed by comparative annotation and require individual biochemical validation.,S002,,unreviewed
CF_f3e72db5f31e,M4-FUNG-0089,GENES_AND_MECHANISM,22,gene_or_mechanism_fact,phqB,bimodular NRPS with terminal reductase domain; proposed assembly of Trp/β-methylproline precursor,S002,,unreviewed
CF_c17a7ac0c631,M4-FUNG-0089,GENES_AND_MECHANISM,23,gene_or_mechanism_fact,phqK,flavin monooxygenase catalyzing spiro-oxindole formation in paraherquamide pathway,S003,,unreviewed
CF_217890c317ae,M4-FUNG-0089,GENES_AND_MECHANISM,24,gene_or_mechanism_fact,C001,The phq locus contains fifteen candidate biosynthetic genes and is structurally consistent with the greater tailoring complexity of paraherquamides.,S002,,unreviewed
CF_4efe5366a45c,M4-FUNG-0089,GENES_AND_MECHANISM,25,gene_or_mechanism_fact,C002,"Direct PhqK deletion/enzymology supports a late spirocyclization gate, but those experiments were performed in a homologous paraherquamide producer and are not treated as strain-identical evidence.",S003,,unreviewed
CF_1ccc62a3834f,M4-FUNG-0090,GENES_AND_MECHANISM,22,gene_or_mechanism_fact,pksCT,iterative PKS responsible for citrinin polyketide backbone; disruption abolishes/reduces citrinin depending on Monascus strain,S003; S004,,unreviewed
CF_34e21fb124fd,M4-FUNG-0090,GENES_AND_MECHANISM,23,gene_or_mechanism_fact,ctnA,Zn(II)2Cys6 transcriptional activator controlling pksCT and transporter expression in M. purpureus,S005,,unreviewed
CF_c8d84abc316d,M4-FUNG-0090,GENES_AND_MECHANISM,24,gene_or_mechanism_fact,ctnB,oxidoreductase adjacent to pksCT/ctnA; disruption lowers citrinin in M. aurantiacus,S006,,unreviewed
CF_cbd60b0f3fb8,M4-FUNG-0090,GENES_AND_MECHANISM,25,gene_or_mechanism_fact,U001,MIBiG explicitly marks this locus partial; complete pathway boundaries should not be inferred from EU309474.1 alone.,S001,,unreviewed
CF_9e0810a95dbf,M4-FUNG-0091,CLAIMS_AND_UNCERTAINTY,22,claim_fact,C001,The record contains two annotated ORFs but no MIBiG biosynthesis narrative or gene-level experimental evidence sufficient to establish a complete ferrichrome pathway.,S001,,unreviewed
CF_7f2de462834d,M4-FUNG-0091,CLAIMS_AND_UNCERTAINTY,23,claim_fact,U001,Do not transfer SidC/SidL/SreA/HapX mechanistic assignments from other Aspergillus species into this locus without strain-specific evidence.,S001,,unreviewed
CF_7e19d65c97d2,M4-FUNG-0091,CLAIMS_AND_UNCERTAINTY,24,claim_fact,U002,Primary support in the source atlas is patent JP2003125779A; mechanistic confidence therefore remains limited.,S002,,unreviewed
CF_8d3a4e981003,M4-FUNG-0092,PHYSIOLOGY_AND_REGULATION,22,unresolved_compact_fact,ferrichrome production,HPLC identified ferrichrome as a major secreted siderophore and the dominant intracellular siderophore in A. niger,S003,,unreviewed
CF_5da306365ea1,M4-FUNG-0092,PHYSIOLOGY_AND_REGULATION,23,unresolved_compact_fact,sreA deletion,increases iron uptake and cellular ferrichrome accumulation,S003,,unreviewed
CF_9c2dc85153d0,M4-FUNG-0092,PHYSIOLOGY_AND_REGULATION,24,unresolved_compact_fact,C001,"A. niger ferrichrome biology is experimentally validated, but the exact 23.1-kb MIBiG region is not demonstrated to be a self-sufficient complete pathway.",S001; S003,,unreviewed
CF_fa348db24a82,M4-FUNG-0093,GENES_AND_MECHANISM,22,gene_or_mechanism_fact,Tri13,"C-4 oxygenation determinant; deletion in NIV strain switches production toward DON, transfer to DON strain enables NIV",S003,,unreviewed
CF_4f63742e0a20,M4-FUNG-0093,GENES_AND_MECHANISM,23,gene_or_mechanism_fact,Tri7,C-4 acetyltransferase required with Tri13 for 4-acetylnivalenol formation,S003,,unreviewed
CF_0c36416d9917,M4-FUNG-0093,GENES_AND_MECHANISM,24,gene_or_mechanism_fact,C001,Tri13/Tri7 state is a causal chemotype gate separating DON and NIV/4-ANIV outputs.,S003,,unreviewed
CF_8bec178ad242,M4-FUNG-0093,GENES_AND_MECHANISM,25,gene_or_mechanism_fact,C002,Recent 2026 genetic work independently confirms TRI13 deletion converts NIV chemotypes toward DON and links chemotype to host preference.,S004,,unreviewed
CF_caaf74f0a049,M4-FUNG-0094,CLAIMS_AND_CONFLICTS,22,claim_fact,C001,The record is retired and therefore excluded from active-cluster counting; it remains useful for tracing early Fusarium trichothecene sequence submissions.,S001,,unreviewed
CF_fcc7a540ae07,M4-FUNG-0094,CLAIMS_AND_CONFLICTS,23,claim_fact,C002,"Mechanistic interpretation should be taken from active trichothecene/nivalenol records and primary TRI-gene experiments, especially Tri13/Tri7 chemotype work.",S002,,unreviewed
CF_1ad498cf39b1,M4-FUNG-0094,CLAIMS_AND_CONFLICTS,24,claim_fact,U001,Do not infer a distinct second complete pathway from AF336366.2 solely because it survives in the historical source list.,S001,,unreviewed
CF_a81edc858068,M4-FUNG-0095,GENES_AND_MECHANISM,22,gene_or_mechanism_fact,ApdA,iterative PKS-NRPS hybrid megasynthetase; reconstituted in vitro and in engineered Saccharomyces cerevisiae,S003,,unreviewed
CF_65cd677d3603,M4-FUNG-0095,GENES_AND_MECHANISM,23,gene_or_mechanism_fact,ApdC,trans-acting enoylreductase partner required with ApdA for preaspyridone production,S003,,unreviewed
CF_89479b971182,M4-FUNG-0095,GENES_AND_MECHANISM,24,gene_or_mechanism_fact,ApdR,cluster-associated transcriptional activator used in genomics-driven pathway activation,S004,,unreviewed
CF_5a87d6279750,M4-FUNG-0095,GENES_AND_MECHANISM,25,gene_or_mechanism_fact,C001,Aspyridone is a strong example in which transcriptional activation exposed a silent cluster and biochemical reconstitution then localized scaffold formation to ApdA plus ApdC.,S003; S004,,unreviewed
CF_684198c46d15,M4-FUNG-0096,GENES_AND_MECHANISM,22,gene_or_mechanism_fact,cheA,hybrid iterative type I PKS-NRPS; RNA silencing reduces chaetoglobosin production and establishes scaffold involvement,S003,,unreviewed
CF_572d7de2ca4b,M4-FUNG-0096,GENES_AND_MECHANISM,23,gene_or_mechanism_fact,cheB,putative enoyl reductase / alcohol dehydrogenase tailoring partner,S001,,unreviewed
CF_66ee83909113,M4-FUNG-0096,GENES_AND_MECHANISM,24,gene_or_mechanism_fact,cheD / cheE / cheG,cluster monooxygenase/P450 tailoring enzymes,S001,,unreviewed
CF_0d7f14a22c03,M4-FUNG-0096,GENES_AND_MECHANISM,25,gene_or_mechanism_fact,C001,CheA provides direct genetic causality for the mixed polyketide-amino-acid cytochalasan scaffold.,S003,,unreviewed
CF_778040872801,M4-FUNG-0096,GENES_AND_MECHANISM,26,gene_or_mechanism_fact,U001,"The source atlas includes PMID 3611317, which is unrelated to chaetoglobosin biosynthesis; it is excluded from mechanistic support.",S002,,unreviewed
CF_d3bd8bb374cf,M4-FUNG-0097,GENES_AND_MECHANISM,11,gene_or_mechanism_fact,cpaH,A. oryzae-specific detoxification enzyme; targeted inactivation demonstrates conversion of CPA to less-toxic 2-oxo-CPA,S003,,unreviewed
CF_52ffe199d4e3,M4-FUNG-0097,GENES_AND_MECHANISM,12,gene_or_mechanism_fact,C001,The A. oryzae CPA programme retains biosynthetic capacity but includes a genetic detoxification safeguard through cpaH.,S003,,unreviewed
CF_74f1f0ca1cc4,M4-FUNG-0098,GENES_AND_MECHANISM,10,gene_or_mechanism_fact,ccsA,hybrid PKS-NRPS; deletion abolishes cytochalasin E/K,S002,,unreviewed
CF_32a538378a8b,M4-FUNG-0098,GENES_AND_MECHANISM,11,gene_or_mechanism_fact,ccsR,pathway-specific regulator; overexpression raises cytochalasin E from 25 to 175 mg/L,S002,,unreviewed
CF_7f57220a5e4e,M4-FUNG-0098,GENES_AND_MECHANISM,12,gene_or_mechanism_fact,Q001,ccsR overexpression,7-fold,"{""E"": ""S002""}",unreviewed
CF_acb58dcdad9f,M4-FUNG-0107,GENES_AND_MECHANISM,21,gene_or_mechanism_fact,fma-PKS / Afu8g00370,iterative PKS required for the polyketide-derived dioic-acid branch,S002,,unreviewed
CF_3825fcacda0d,M4-FUNG-0107,GENES_AND_MECHANISM,22,gene_or_mechanism_fact,fma-AT / Afu8g00380,acyltransferase acting with Fma-PKS in dioic-acid branch,S002,,unreviewed
CF_38af6aced910,M4-FUNG-0107,GENES_AND_MECHANISM,23,gene_or_mechanism_fact,Fma-TC,membrane-bound terpene cyclase converting FPP to β-trans-bergamotene,S002,,unreviewed
CF_1aa5b3fed916,M4-FUNG-0107,GENES_AND_MECHANISM,24,gene_or_mechanism_fact,fumR/fapR,cluster regulator linking fumagillin and intertwined pseurotin transcriptional control,S003,,unreviewed
CF_a60e59cc7d3c,M4-FUNG-0107,GENES_AND_MECHANISM,25,gene_or_mechanism_fact,C001,Fumagillin assembly requires convergence of polyketide-derived and sesquiterpene-derived branches.,S002; S003,,unreviewed
CF_3991ac426cc0,M4-FUNG-0107,GENES_AND_MECHANISM,26,gene_or_mechanism_fact,U001,MIBiG display boundary is broader than the evidence locus; both are retained separately.,S001,,unreviewed
CF_6f5e8fda90c7,M4-FUNG-0108,FUNCTIONAL_PROGRAMME,20,unresolved_compact_fact,LTM_locus,at least 10 genes distributed across linked subclusters at a subtelomeric locus; strongly induced in planta,S002; S003,,unreviewed
CF_88053eb57a44,M4-FUNG-0108,FUNCTIONAL_PROGRAMME,21,unresolved_compact_fact,ltmM,FAD-dependent monooxygenase; deletion abolishes detectable lolitrems and complementation restores pathway competence,S002,,unreviewed
CF_f2a49611bdcf,M4-FUNG-0108,FUNCTIONAL_PROGRAMME,22,unresolved_compact_fact,ltmC,functional orthologue of Penicillium paxilli paxC in indole-diterpene biosynthesis,S003,,unreviewed
CF_0512ecab3872,M4-FUNG-0108,FUNCTIONAL_PROGRAMME,23,unresolved_compact_fact,C001,"The broader LTM programme is genetically validated, but BGC0001081 itself is a retired historical representation and is excluded from active-cluster counting.",S001; S002; S003,,unreviewed
CF_d014c20f7606,M4-FUNG-0109,GENES_AND_MECHANISM,20,gene_or_mechanism_fact,paxG/paxM/paxB/paxC,"four-gene core sufficient for paspaline formation; GGPP supply, FAD monooxygenation, cyclization and indole prenylation",S001; S002,,unreviewed
