source_key,dossier_id,source_id,source_type_raw,year_raw,title_or_database_raw,doi_or_accession_raw,pmid_raw,url_raw,note,source_row
M4-FUNG-0003:S013,M4-FUNG-0003,S013,primary research,2005,An aflatoxin biosynthesis cluster gene encodes a novel oxidase required for conversion of versicolorin A to sterigmatocystin,10.1128/AEM.71.12.8963-8965.2005,16332900,https://pubmed.ncbi.nlm.nih.gov/16332900/,Resolves a gene that was only hypothetical in the 2004 sequence-era annotation.,222
M4-FUNG-0003:S014,M4-FUNG-0003,S014,primary research,2006,The aflatoxin biosynthesis cluster gene aflX encodes an oxidoreductase involved in conversion of versicolorin A to demethylsterigmatocystin,10.1128/AEM.72.2.1096-1101.2006,16461654,https://pubmed.ncbi.nlm.nih.gov/16461654/,Direct experiment was in A. flavus; conserved ortholog context must be stated.,223
M4-FUNG-0003:S015,M4-FUNG-0003,S015,primary research,2008,Involvement of the nadA gene in formation of G-group aflatoxins in Aspergillus parasiticus,10.1016/j.fgb.2008.03.003,18486503,https://pubmed.ncbi.nlm.nih.gov/18486503/,Critical evidence that functional pathway activity extends beyond the historical 25-gene core boundary.,224
M4-FUNG-0003:S016,M4-FUNG-0003,S016,primary research,2008,Are the genes nadA and norB involved in formation of aflatoxin G1?,10.3390/ijms9091717,19325828,https://pubmed.ncbi.nlm.nih.gov/19325828/,Important alias risk: later paper terminology should not collapse the distinct AY371490 hypA and nadA loci.,225
M4-FUNG-0003:S017,M4-FUNG-0003,S017,primary research,1998,"Characterization of the critical amino acids of an Aspergillus parasiticus cytochrome P-450 monooxygenase encoded by ordA that is involved in the biosynthesis of aflatoxins B1, G1, B2, and G2",10.1128/AEM.64.12.4834-4841.1998,9835571,https://pubmed.ncbi.nlm.nih.gov/9835571/,Strengthens late-pathway gene-level attribution.,226
M4-FUNG-0004:S001,M4-FUNG-0004,S001,database,2024,MIBiG BGC0000006.3,BGC0000006.3,,https://mibig.secondarymetabolites.org/repository/BGC0000006.3/index.html,Version 3 active; quality SQ_A; completeness unknown.,199
M4-FUNG-0004:S002,M4-FUNG-0004,S002,sequence database,2004,"Aspergillus flavus isolate AF13 aflatoxin biosynthesis gene cluster, complete sequence",AY510451.1,,https://www.ncbi.nlm.nih.gov/nuccore/AY510451.1,Sequence title uses 'complete sequence'; functional branch completeness requires separate interpretation.,200
M4-FUNG-0004:S003,M4-FUNG-0004,S003,primary research,1989,Virulence and Cultural Characteristics of Two Aspergillus flavus Strains Pathogenic on Cotton,10.1094/PHYTO-79-808,,https://doi.org/10.1094/PHYTO-79-808,Primary historical AF13 characterization.,201
M4-FUNG-0004:S004,M4-FUNG-0004,S004,primary research,2004,Aflatoxin biosynthesis cluster gene cypA is required for G aflatoxin formation,10.1128/AEM.70.11.6518-6524.2004,15528514,https://doi.org/10.1128/AEM.70.11.6518-6524.2004,Core source for B-only branch interpretation.,202
M4-FUNG-0004:S005,M4-FUNG-0004,S005,primary research,2020,Two New Aspergillus flavus Reference Genomes Reveal a Large Insertion Potentially Contributing to Isolate Stress Tolerance and Aflatoxin Production,10.1534/g3.120.401405,32817124,https://doi.org/10.1534/g3.120.401405,Important genome/context modifier source.,203
M4-FUNG-0004:S006,M4-FUNG-0004,S006,primary research,2000,Influence of Lipids with and without Other Cottonseed Reserve Materials on Aflatoxin B1 Production by Aspergillus flavus,10.1021/jf0000878,10956158,https://doi.org/10.1021/jf0000878,Strong environmental-gating experiment.,204
M4-FUNG-0004:S007,M4-FUNG-0004,S007,primary research,2002,Time Course Study of Substrate Utilization by Aspergillus flavus in Medium Simulating Corn (Zea mays) Kernels,10.1021/jf011048e,11804543,https://doi.org/10.1021/jf011048e,Retained as supporting source; detailed values not extracted in this pass.,205
M4-FUNG-0004:S008,M4-FUNG-0004,S008,primary research,1993,Competitive Exclusion of a Toxigenic Strain of Aspergillus flavus by an Atoxigenic Strain,10.1094/PHYTO-83-1283,,https://www.apsnet.org/publications/phytopathology/backissues/Documents/1993Articles/Phyto83n12_1283.pdf,Cotton-boll competition study.,206
M4-FUNG-0004:S009,M4-FUNG-0004,S009,review/minireview,2004,Clustered pathway genes in aflatoxin biosynthesis,10.1128/AEM.70.3.1253-1262.2004,15006741,https://doi.org/10.1128/AEM.70.3.1253-1262.2004,Used for gene-function harmonization rather than AF13-specific perturbation claims.,207
M4-FUNG-0004:S010,M4-FUNG-0004,S010,taxonomy database,current,NCBI Taxonomy: Aspergillus flavus,TaxID 5059,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=5059,Species-level taxonomy used for dossier lineage.,208
M4-FUNG-0004:S011,M4-FUNG-0004,S011,culture collection,current,ATCC Aspergillus flavus 96044,ATCC 96044,NA,https://www.atcc.org/products/96044,"Current catalog calls the material AF13 niaD−, mutant derived from AF13; primary 2004 literature historically labels AF13 as ATCC 96044 / SRRC 1273.",209
M4-FUNG-0004:S012,M4-FUNG-0004,S012,primary research,2005,Function of the cypX and moxY genes in aflatoxin biosynthesis in Aspergillus parasiticus,10.1128/AEM.71.6.3192-3198.2005,15933021,https://pubmed.ncbi.nlm.nih.gov/15933021/,Ortholog functional evidence from A. parasiticus; retain species caveat for AF13.,210
M4-FUNG-0004:S013,M4-FUNG-0004,S013,primary research,2005,An aflatoxin biosynthesis cluster gene encodes a novel oxidase required for conversion of versicolorin A to sterigmatocystin,10.1128/AEM.71.12.8963-8965.2005,16332900,https://pubmed.ncbi.nlm.nih.gov/16332900/,Ortholog functional evidence from A. parasiticus.,211
M4-FUNG-0004:S014,M4-FUNG-0004,S014,primary research,2006,The aflatoxin biosynthesis cluster gene aflX encodes an oxidoreductase involved in conversion of versicolorin A to demethylsterigmatocystin,10.1128/AEM.72.2.1096-1101.2006,16461654,https://pubmed.ncbi.nlm.nih.gov/16461654/,"A. flavus evidence; study strain is not AF13, so preserve strain caveat.",212
M4-FUNG-0004:S015,M4-FUNG-0004,S015,primary research,1998,"Characterization of the critical amino acids of an Aspergillus parasiticus cytochrome P-450 monooxygenase encoded by ordA that is involved in the biosynthesis of aflatoxins B1, G1, B2, and G2",10.1128/AEM.64.12.4834-4841.1998,9835571,https://pubmed.ncbi.nlm.nih.gov/9835571/,Ortholog functional evidence from A. parasiticus.,213
M4-FUNG-0005:S001,M4-FUNG-0005,S001,database,2024,MIBiG BGC0000007.3,BGC0000007.3,,https://mibig.secondarymetabolites.org/repository/BGC0000007.3/index.html,Active; quality SQ_A; completeness unknown.,202
M4-FUNG-0005:S002,M4-FUNG-0005,S002,primary research,1999,Divergence of West African and North American Communities of Aspergillus Section Flavi,10.1128/AEM.65.5.2264-2266.1999,10224034,https://journals.asm.org/doi/10.1128/aem.65.5.2264-2266.1999,Primary quantitative condition-response source.,203
M4-FUNG-0005:S003,M4-FUNG-0005,S003,primary research,2002,Variability in nitrogen regulation of aflatoxin production by Aspergillus flavus strains,10.1007/s00253-002-1094-5,12382060,https://doi.org/10.1007/s00253-002-1094-5,MIBiG defining reference.,204
M4-FUNG-0005:S004,M4-FUNG-0005,S004,primary research,2004,Aflatoxin biosynthesis cluster gene cypA is required for G aflatoxin formation,10.1128/AEM.70.11.6518-6524.2004,15528514,https://doi.org/10.1128/AEM.70.11.6518-6524.2004,Core branch-genetics source.,205
M4-FUNG-0005:S005,M4-FUNG-0005,S005,primary research,2005,Divergent regulation of aflatoxin production at acidic pH by two Aspergillus strains,10.1007/s11046-005-1150-7,,https://doi.org/10.1007/s11046-005-1150-7,High-value state/context experiment.,206
M4-FUNG-0005:S006,M4-FUNG-0005,S006,primary research,2005,Aflatoxin biosynthesis gene clusters and flanking regions,10.1111/j.1365-2672.2005.02637.x,16108793,https://doi.org/10.1111/j.1365-2672.2005.02637.x,Pathway-architecture context.,207
M4-FUNG-0005:S007,M4-FUNG-0005,S007,primary research,2018,Aspergillus texensis: A Novel Aflatoxin Producer with S Morphology from the United States,10.3390/toxins10120513,30513994,https://doi.org/10.3390/toxins10120513,Later taxonomic provenance.,208
M4-FUNG-0005:S008,M4-FUNG-0005,S008,taxonomic research,2019,"Taxonomy of Aspergillus section Flavi and their production of aflatoxins, ochratoxins and other mycotoxins",10.1016/j.simyco.2018.06.001,30108412,https://doi.org/10.1016/j.simyco.2018.06.001,Use together with strain-specific S007.,209
M4-FUNG-0005:S009,M4-FUNG-0005,S009,taxonomy database,current,NCBI Taxonomy: Aspergillus aflatoxiformans,TaxID 2059437,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=2059437,Authoritative current taxonomy record.,210
M4-FUNG-0005:S010,M4-FUNG-0005,S010,sequence database,current,"Aspergillus aflatoxiformans isolate BN008-R calmodulin (cmdA) gene, partial cds",MK119715.1,NA,https://www.ncbi.nlm.nih.gov/nuccore/MK119715.1,Direct NCBI sequence record naming BN008-R as A. aflatoxiformans.,211
M4-FUNG-0005:S011,M4-FUNG-0005,S011,primary research,2005,Function of the cypX and moxY genes in aflatoxin biosynthesis in Aspergillus parasiticus,10.1128/AEM.71.6.3192-3198.2005,15933021,https://pubmed.ncbi.nlm.nih.gov/15933021/,Ortholog evidence from A. parasiticus; retain species caveat.,212
M4-FUNG-0005:S012,M4-FUNG-0005,S012,primary research,2005,An aflatoxin biosynthesis cluster gene encodes a novel oxidase required for conversion of versicolorin A to sterigmatocystin,10.1128/AEM.71.12.8963-8965.2005,16332900,https://pubmed.ncbi.nlm.nih.gov/16332900/,Ortholog evidence from A. parasiticus.,213
M4-FUNG-0005:S013,M4-FUNG-0005,S013,primary research,2006,The aflatoxin biosynthesis cluster gene aflX encodes an oxidoreductase involved in conversion of versicolorin A to demethylsterigmatocystin,10.1128/AEM.72.2.1096-1101.2006,16461654,https://pubmed.ncbi.nlm.nih.gov/16461654/,"A. flavus evidence, but not BN008R-specific.",214
M4-FUNG-0005:S014,M4-FUNG-0005,S014,primary research,1998,"Characterization of the critical amino acids of an Aspergillus parasiticus cytochrome P-450 monooxygenase encoded by ordA that is involved in the biosynthesis of aflatoxins B1, G1, B2, and G2",10.1128/AEM.64.12.4834-4841.1998,9835571,https://pubmed.ncbi.nlm.nih.gov/9835571/,Ortholog evidence from A. parasiticus.,215
M4-FUNG-0005:S015,M4-FUNG-0005,S015,primary research,2008,Are the genes nadA and norB involved in formation of aflatoxin G1?,10.3390/ijms9091717,19325828,https://pubmed.ncbi.nlm.nih.gov/19325828/,Direct mechanistic evidence is in A. parasiticus; used for the conserved BN008R norB ortholog with species caveat.,216
M4-FUNG-0006:S001,M4-FUNG-0006,S001,database,2024,MIBiG BGC0000008.3,BGC0000008.3,,https://mibig.secondarymetabolites.org/repository/BGC0000008.3/index.html,Active; quality SQ_A; completeness unknown.,199
M4-FUNG-0006:S002,M4-FUNG-0006,S002,database,current,NCBI genome assembly — Aspergillus flavus AF70,GCA_000952835.1,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_000952835.1/,924 contigs; no assembled chromosomes.,200
M4-FUNG-0006:S003,M4-FUNG-0006,S003,primary research,1989,Virulence and Cultural Characteristics of Two Aspergillus flavus Strains Pathogenic on Cotton,10.1094/PHYTO-79-808,,https://doi.org/10.1094/PHYTO-79-808,Historical strain characterization.,201
M4-FUNG-0006:S004,M4-FUNG-0006,S004,primary research,2004,Aflatoxin biosynthesis cluster gene cypA is required for G aflatoxin formation,10.1128/AEM.70.11.6518-6524.2004,15528514,https://doi.org/10.1128/AEM.70.11.6518-6524.2004,Core sequence/branch interpretation.,202
M4-FUNG-0006:S005,M4-FUNG-0006,S005,primary research,2018,Whole genome comparison of Aspergillus flavus L-morphotype strain NRRL 3357 (type) and S-morphotype strain AF70,10.1371/journal.pone.0199169,29966003,https://doi.org/10.1371/journal.pone.0199169,Primary morphotype comparison.,203
M4-FUNG-0006:S006,M4-FUNG-0006,S006,primary research,2018,Inferring the presence of aflatoxin-producing Aspergillus flavus strains using RNA sequencing and electronic probes as a transcriptomic screening tool,10.1371/journal.pone.0198575,30325975,https://doi.org/10.1371/journal.pone.0198575,Single RNA-seq library per treatment; toxin measurements independently validate state difference.,204
M4-FUNG-0006:S007,M4-FUNG-0006,S007,primary research,2005,Divergent regulation of aflatoxin production at acidic pH by two Aspergillus strains,10.1007/s11046-005-1150-7,,https://doi.org/10.1007/s11046-005-1150-7,Useful state-response dataset.,205
M4-FUNG-0006:S008,M4-FUNG-0006,S008,primary research,2017,"The Aspergillus flavus Homeobox Gene, hbx1, Is Required for Development and Aflatoxin Production",10.3390/toxins9100315,29023405,https://doi.org/10.3390/toxins9100315,Strong global-regulator genetics.,206
M4-FUNG-0006:S009,M4-FUNG-0006,S009,primary research,2019,The Transcriptional Regulator Hbx1 Affects the Expression of Thousands of Genes in the Aflatoxin-Producing Fungus Aspergillus flavus,10.1534/g3.118.200870,30425054,https://doi.org/10.1534/g3.118.200870,Global-regulator scope and temporal transcription evidence.,207
M4-FUNG-0006:S010,M4-FUNG-0006,S010,primary research,2025,"The putative forkhead transcription factor FhpA is necessary for development, aflatoxin production, and stress response in Aspergillus flavus",10.1371/journal.pone.0315766,,https://doi.org/10.1371/journal.pone.0315766,No successful complementation strain; preserve caveat.,208
M4-FUNG-0006:S011,M4-FUNG-0006,S011,primary research,2020,Two New Aspergillus flavus Reference Genomes Reveal a Large Insertion Potentially Contributing to Isolate Stress Tolerance and Aflatoxin Production,10.1534/g3.120.401405,32817124,https://doi.org/10.1534/g3.120.401405,Conflicts with one statement in Gilbert et al. 2018; do not silently resolve.,209
M4-FUNG-0007:S001,M4-FUNG-0007,S001,database,2024,MIBiG BGC0000009.3,BGC0000009.3,,https://mibig.secondarymetabolites.org/repository/BGC0000009.3/index.html,Active; quality SQ_A; completeness unknown.,200
M4-FUNG-0007:S002,M4-FUNG-0007,S002,taxonomy database,current,NCBI Taxonomy — Aspergillus nomiae,TaxID 41061; strain TaxID 1509407,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=41061&mode=Info,A. nomiae is current NCBI name; culture from type includes ATCC15546/NRRL13137.,201
M4-FUNG-0007:S003,M4-FUNG-0007,S003,primary taxonomy research,1987,"Aspergillus nomius, a new aflatoxin-producing species related to Aspergillus flavus and Aspergillus tamarii",10.1007/BF00393843,,https://doi.org/10.1007/BF00393843,Historical orthography/nomenclature.,202
M4-FUNG-0007:S004,M4-FUNG-0007,S004,primary research,2004,Aflatoxin biosynthesis cluster gene cypA is required for G aflatoxin formation,10.1128/AEM.70.11.6518-6524.2004,15528514,https://doi.org/10.1128/AEM.70.11.6518-6524.2004,Direct cypA disruption done in A. parasiticus.,203
M4-FUNG-0007:S005,M4-FUNG-0007,S005,primary genomics,2015,Genomic sequence of the aflatoxigenic filamentous fungus Aspergillus nomius,10.1186/s12864-015-1719-6,26216546,https://doi.org/10.1186/s12864-015-1719-6,Paper uses historical A. nomius name.,204
M4-FUNG-0007:S006,M4-FUNG-0007,S006,primary research,2012,Aspergillus flavus grown in peptone as the carbon source exhibits spore density- and peptone concentration-dependent aflatoxin biosynthesis,10.1186/1471-2180-12-106,22694821,https://doi.org/10.1186/1471-2180-12-106,NRRL13137 toxin readout is TLC/qualitative; detailed qPCR/metabolomics centered on A. flavus A3.2890.,205
M4-FUNG-0007:S007,M4-FUNG-0007,S007,primary research,2018,Suppression of Aflatoxin Production in Aspergillus Species by Selected Peanut Stilbenoids,10.1021/acs.jafc.7b04542,29207242,https://doi.org/10.1021/acs.jafc.7b04542,Ecological chemical perturbation.,206
M4-FUNG-0007:S008,M4-FUNG-0007,S008,primary research,2022,Transformation of Major Peanut Stilbenoid Phytoalexins Caused by Selected Microorganisms,10.1021/acs.jafc.1c06122,,https://doi.org/10.1021/acs.jafc.1c06122,Supporting ecological-metabolism source.,207
M4-FUNG-0007:S009,M4-FUNG-0007,S009,primary research,2020,"Effect of temperature on growth, gene expression, and aflatoxin production by Aspergillus nomius isolated from Brazil nuts",10.1007/s12550-019-00380-w,31828531,https://doi.org/10.1007/s12550-019-00380-w,Seven Brazil-nut isolates; not NRRL13137.,208
M4-FUNG-0007:S010,M4-FUNG-0007,S010,primary research,2022,Early expression of the aflatoxin gene cluster in Aspergillus nomiae isolated from Brazil nut,10.1016/j.toxicon.2022.01.008,35104535,https://doi.org/10.1016/j.toxicon.2022.01.008,Two Brazil-nut isolates; not NRRL13137.,209
M4-FUNG-0007:S011,M4-FUNG-0007,S011,primary metabolomics/taxonomy context,2019,Secondary Metabolite Dereplication and Phylogenetic Analysis Identify Various Emerging Mycotoxins and Reveal the High Intra-Species Diversity in Aspergillus flavus,10.3389/fmicb.2019.00667,,https://doi.org/10.3389/fmicb.2019.00667,Study focus is A. flavus diversity; NRRL13137 included as section-Flavi reference.,210
M4-FUNG-0007:S012,M4-FUNG-0007,S012,curated BGC database,current,FunBGCs FBGC00052,FBGC00052,,https://staffweb1.cityu.edu.hk/ymatsuda/funbgcs/funbgcs/FBGC00052.html,Useful for boundary reconciliation with MIBiG.,211
M4-FUNG-0007:S013,M4-FUNG-0007,S013,authoritative nomenclature database,current,Index Fungorum — Aspergillus nomiae name record,IF 634998,NA,https://www.indexfungorum.org/names/NamesRecord.asp?RecordID=634998,Supports nomenclatural reconciliation independently of NCBI.,212
M4-FUNG-0008:S001,M4-FUNG-0008,S001,database,2024,MIBiG BGC0000010.3,BGC0000010.3,,https://mibig.secondarymetabolites.org/repository/BGC0000010.3/index.html,Core database source.,194
M4-FUNG-0008:S002,M4-FUNG-0008,S002,sequence database,2004,"Aspergillus flavus isolate AF36 aflatoxin biosynthesis gene cluster, complete sequence",AY510455.1,,https://www.ncbi.nlm.nih.gov/nuccore/AY510455.1,GenBank sequence title calls the locus complete.,195
M4-FUNG-0008:S003,M4-FUNG-0008,S003,primary research,2004,An isolate of Aspergillus flavus used to reduce aflatoxin contamination in cottonseed has a defective polyketide synthase gene,10.1007/s00253-004-1670-y,15235754,https://doi.org/10.1007/s00253-004-1670-y,Primary mechanistic source.,196
M4-FUNG-0008:S004,M4-FUNG-0008,S004,primary research,2004,Aflatoxin biosynthesis cluster gene cypA is required for G aflatoxin formation,10.1128/AEM.70.11.6518-6524.2004,15528514,https://doi.org/10.1128/AEM.70.11.6518-6524.2004,Mechanistic G-branch comparison.,197
M4-FUNG-0008:S005,M4-FUNG-0008,S005,primary research,2016,Degeneration of aflatoxin gene clusters in Aspergillus flavus from Africa and North America,10.1186/s13568-016-0228-6,27576895,https://doi.org/10.1186/s13568-016-0228-6,Strong comparative degeneration source.,198
M4-FUNG-0008:S006,M4-FUNG-0008,S006,primary research,2015,Genetic Analysis of the Aspergillus flavus Vegetative Compatibility Group to Which a Commercial Aflatoxin Biocontrol Agent Belongs,10.1128/AEM.00738-15,26092465,https://doi.org/10.1128/AEM.00738-15,VCG context.,199
M4-FUNG-0008:S007,M4-FUNG-0008,S007,primary research,2016,The vegetative compatibility group to which the US biocontrol agent Aspergillus flavus AF36 belongs is also endemic to Mexico,10.1111/jam.13047,26744130,https://doi.org/10.1111/jam.13047,Population-level lesion stability.,200
M4-FUNG-0008:S008,M4-FUNG-0008,S008,primary genomics,2023,Nanopore PCR-cDNA sequencing of the biocontrol isolate Aspergillus flavus AF36 (NRRL 18543) informs gene annotation,10.1128/MRA.00527-23,37728564,https://doi.org/10.1128/MRA.00527-23,Useful modern reference source.,201
M4-FUNG-0008:S009,M4-FUNG-0008,S009,primary field research,2014,Evaluation of the Atoxigenic Aspergillus flavus Strain AF36 in Pistachio Orchards,10.1094/PDIS-10-13-1053-RE,30708840,https://doi.org/10.1094/PDIS-10-13-1053-RE,Ecological/field consequence of stable atoxigenicity.,202
M4-FUNG-0009:S001,M4-FUNG-0009,S001,database,2024,MIBiG BGC0000011.3,BGC0000011.3,,https://mibig.secondarymetabolites.org/repository/BGC0000011.3/index.html,Active; quality SQ_A; completeness unknown.,198
M4-FUNG-0009:S002,M4-FUNG-0009,S002,sequence/taxonomy database,current,NCBI AY092402.3 / Taxonomy,AY092402.3; TaxID 138278,,https://www.ncbi.nlm.nih.gov/nuccore/AY092402.3,Sequence is explicitly called complete AF/ST gene-cluster sequence.,199
M4-FUNG-0009:S003,M4-FUNG-0009,S003,taxonomy reference,2020,"Classification of Aspergillus, Penicillium, Talaromyces and related genera",NR,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7426331/,"CBS550.77 = NRRL28622 = ATCC38873 = SRRC1432; soil, Ivory Coast.",200
M4-FUNG-0009:S004,M4-FUNG-0009,S004,primary research,2009,Characterization of the Aspergillus ochraceoroseus aflatoxin/sterigmatocystin biosynthetic gene cluster,10.3852/08-173,19537208,https://pubmed.ncbi.nlm.nih.gov/19537208/,Defining architecture/function paper.,201
