claim_key,dossier_id,claim_id,claim_text,evidence_type_raw,direct_or_inferred_raw,supporting_detail_raw,caveat_raw,source_ids,source_row
M4-FUNG-0003:C007,M4-FUNG-0003,C007,The same reference strain contains a partial duplicated aflatoxin module that is not fully functional,sequence + regulator and deletion assays,direct,"Duplicated aflR2 can activate transcription, but damaged duplicate structural genes and inability to compensate for aflR1 loss demonstrate incomplete functional redundancy.",Do not count the partial duplicate as a second complete BGC.,S010,181
M4-FUNG-0003:C008,M4-FUNG-0003,C008,The historical 25-gene aflatoxin core is not a complete modern functional boundary because nadA immediately beyond it contributes directly to G-aflatoxin biosynthesis.,gene disruption + expression + cell-free enzymology,direct-plus-boundary-synthesis,"nadA is induced in aflatoxin-permissive conditions/AflR-dependent, and disruption alters G-group aflatoxin production and late intermediates.",Retain the 25-gene core as a historical sequence annotation rather than erasing it.,S003; S004; S015; S016,182
M4-FUNG-0004:C001,M4-FUNG-0004,C001,BGC0000006 is a high-confidence naturally productive aflatoxin B1/B2 pathway in A. flavus AF13,MIBiG + sequence + production evidence,direct,AF13 is a strongly aflatoxigenic isolate and MIBiG links B1/B2 with authentic-standard evidence.,MIBiG quality remains 'SQ_A'; this flag should not be conflated with pathway inactivity.,S001; S002; S003; S005,168
M4-FUNG-0004:C002,M4-FUNG-0004,C002,AF13's failure to produce G aflatoxins is explained by structural degeneration of the proximal norB–cypA module,comparative sequence + transcription + mechanistic comparator,direct/inferred,AF13 carries 32-bp and 854-bp deletions; norB/cypA transcripts are absent; A. parasiticus cypA disruption removes G-aflatoxin formation.,"The causal knockout itself was done in A. parasiticus, so AF13 branch attribution combines direct structural data with mechanistic transfer.",S004,169
M4-FUNG-0004:C003,M4-FUNG-0004,C003,Cottonseed lipid availability is a major environmental determinant of AF13 AFB1 output,substrate-removal / reconstitution experiment,direct,Removing lipids lowered AFB1 from 11.6 to 0.014 µg/culture; crude-lipid restoration recovered ~13.0 µg/culture.,This is one substrate architecture and does not imply lipids are universally the dominant carbon signal.,S006,170
M4-FUNG-0004:C004,M4-FUNG-0004,C004,AF13 aflatoxin production is temporally coupled to changing substrate utilization,7-day longitudinal fermentation,direct,"AFB1 rises after day 1 and peaks day 5 while carbohydrates, triglycerides and fatty acids are consumed sequentially.",Association in the time course does not uniquely identify a causal signalling mechanism.,S006,171
M4-FUNG-0004:C005,M4-FUNG-0004,C005,Ecological competition can suppress realized AF13 aflatoxin contamination in host tissue,coinoculation study,direct,AF13-alone cotton bolls exceeded 50 µg/g aflatoxin B at maturity; atoxigenic AF36 coinoculation reduced contamination.,Suppression may involve competition and host colonization dynamics rather than direct BGC repression.,S008,172
M4-FUNG-0004:C006,M4-FUNG-0004,C006,AtfC is not yet a cleanly established causal regulator of AF13 aflatoxin output,two-context mutant comparison,inferred,"No aflatoxin effect was detected in YES/H2O2 TLC assays, while two independent kernel-assay mutants diverged from one another.","Treat AtfC as a context-dependent candidate modifier outside the BGC, not as a proven pathway gate.",S005,173
M4-FUNG-0005:C001,M4-FUNG-0005,C001,BN008R carries a high-confidence B/G-aflatoxin biosynthetic cluster,sequence + authentic-standard product evidence,direct,"AY510452.1 is an 82,511-bp MIBiG cluster and BN008R produces B1/G1.",Current species label differs from MIBiG.,S001; S002; S004,171
M4-FUNG-0005:C002,M4-FUNG-0005,C002,Nitrogen chemical form can alter realized BN008R aflatoxin output by orders of magnitude without changing nitrogen concentration,controlled fermentation,direct,"At 100 mM N, B1 rose from 16 µg with ammonium to 1,400 µg with urea; G1 from 0.04 to 1,900 µg.",Medium-specific result.,S002,172
M4-FUNG-0005:C003,M4-FUNG-0005,C003,Nitrate suppression in S_BG isolates is not explained simply by loss of aflR expression,product + transcript comparison,direct,Aflatoxin could fall up to ~20-fold on nitrate while aflR was often not significantly altered; aflS/aflJ showed a different response.,Group-level result across S_BG isolates.,S003,173
M4-FUNG-0005:C004,M4-FUNG-0005,C004,BN008R shows an inverted pH-response relative to typical A. flavus in the tested range,controlled pH experiment,direct,"Very acidic conditions strongly suppressed B1/G1 in BN008R, whereas typical SB isolates produced more AF as medium acidified.",Architecture-specific.,S005,174
M4-FUNG-0005:C005,M4-FUNG-0005,C005,Product output in BN008R cannot be inferred reliably from aflR transcript alone,qRT-PCR + quantitative toxin data,direct/inferred,aflR–aflatoxin r²=0.25 (P=0.5) across the pH series.,Does not establish which downstream gate is causal.,S005,175
M4-FUNG-0005:C006,M4-FUNG-0005,C006,The intact norB–cypA region distinguishes BN008R from canonical B-only A. flavus and is consistent with G-aflatoxin capacity,comparative genomics + mechanistic transfer,direct/inferred,Large cypA/norB deletions characterize B-only A. flavus; BN008R lacks them; cypA disruption removes G formation in A. parasiticus.,Knockout performed in comparator species.,S004,176
M4-FUNG-0005:C007,M4-FUNG-0005,C007,MIBiG's Aspergillus flavus species label is taxonomically outdated for BN008R,later phylogenetic/taxonomic assignment,inferred,Later studies use A. aflatoxiformans for BN008-R / ATCC MYA-379.,Taxonomy of section Flavi has changed repeatedly; preserve provenance.,S007; S008,177
M4-FUNG-0006:C001,M4-FUNG-0006,C001,BGC0000008 is a high-confidence naturally productive AFB1/AFB2 cluster in A. flavus AF70,MIBiG + authentic-standard production + sequence evidence,direct,AF70 is a canonical high-toxin S-morphotype and MIBiG links B1/B2 with authentic-standard evidence.,MIBiG quality remains SQ_A; this should not be read as product uncertainty.,S001; S003; S005; S006,168
M4-FUNG-0006:C002,M4-FUNG-0006,C002,Substrate identity produces a large coordinated shift in AF70 aflatoxin output and cluster transcription,matrix comparison + RNA-seq + toxin measurement,direct,Ground corn yielded ~455.79 ppm AFB1 versus 43.67 ppm in PDB and many AF-cluster transcripts were enriched.,RNA-seq replication was limited to one selected library per treatment.,S006,169
M4-FUNG-0006:C003,M4-FUNG-0006,C003,AF70's S-morphotype developmental state is associated with substantially higher toxin output than the NRRL3357 L-morphotype under the comparison conditions,paired phenotype comparison,direct,AF70 showed ~4× AFB1 and ~3.5× AFB2 alongside abundant small sclerotia.,Morphotype is a composite trait; this does not identify a single causal pathway gate.,S005,170
M4-FUNG-0006:C004,M4-FUNG-0006,C004,Hbx1 is required for normal AF70 aflatoxin production and developmental competence,deletion + complementation,direct,"Δhbx1 abolishes conidiation, sclerotia, B1/B2 production and suppresses most AF-cluster genes.",Hbx1 is a broad global regulator rather than an aflatoxin-cluster gene.,S008; S009,171
M4-FUNG-0006:C005,M4-FUNG-0006,C005,"FhpA modulates AF70 AFB1 output, but the deletion result has a complementation limitation",deletion/overexpression genetics,direct with caveat,ΔfhpA significantly increased AFB1; OE strain not significantly different; complementation failed for technical reasons.,Do not score fhpA as fully validated causal regulator without successful rescue.,S010,172
M4-FUNG-0006:C006,M4-FUNG-0006,C006,AF70's inability to produce G aflatoxins is structurally encoded in the proximal aflF/aflU region,comparative genomics + pathway genetics,direct/inferred,"AF70 carries the S-type deletion pattern in the norB/cypA region, while intact cypA is required for G formation in comparator genetics.",Mechanistic cypA knockout was not performed in AF70 itself.,S004; S005,173
M4-FUNG-0006:C007,M4-FUNG-0006,C007,Aflatoxin output cannot be represented by cluster sequence alone because extensive AF70/NRRL3357 polymorphism coexists with strong environmental and global-regulatory control,integrated evidence synthesis,inferred,"Cluster has >2000 SNPs/indels distinguishing morphotypes, yet substrate, pH and regulators strongly reshape output.",Causal contribution of individual variants remains unresolved.,S005; S006; S007; S008; S010,174
M4-FUNG-0007:C001,M4-FUNG-0007,C001,BGC0000009 is a high-confidence naturally productive B/G-aflatoxin pathway in the ex-type A. nomiae NRRL 13137,sequence + product + species-characterization evidence,direct,MIBiG links B1/G1; broader strain literature documents B1/B2/G1/G2.,MIBiG still uses historical A. nomius nomenclature.,S001; S003; S004,169
M4-FUNG-0007:C002,M4-FUNG-0007,C002,The intact norB–cypA module is the key structural feature distinguishing the G-capable NRRL 13137 pathway from B-only A. flavus clusters,comparative genomics + mechanistic gene disruption,direct/inferred,NRRL 13137 retains both genes; cypA disruption in A. parasiticus removes G aflatoxins while preserving B aflatoxins.,Direct knockout was in comparator species.,S004,170
M4-FUNG-0007:C003,M4-FUNG-0007,C003,Population-density effects on NRRL 13137 aflatoxin biosynthesis are conditional on nutrient context rather than universally inhibitory,factorial-like medium×density experiment,direct,"Higher density increased AF in glucose medium but suppressed it in peptone medium, especially ≥10^5 spores/mL.",Toxin analysis for NRRL 13137 was TLC/qualitative rather than a full quantitative curve.,S006,171
M4-FUNG-0007:C004,M4-FUNG-0007,C004,Peanut prenylated stilbenoids can perturb both development and aflatoxin output in NRRL 13137,feeding experiment,direct,Arachidin-3 strongly altered fungal formation and inhibited AFB1; arachidin-1 shifted conidial morphology without significant inhibition of all AF congeners.,Specific effects differ by stilbenoid and congener.,S007,172
M4-FUNG-0007:C005,M4-FUNG-0007,C005,"In A. nomiae, maximum aflatoxin-gene expression and maximum toxin production can occur at different temperatures",species-comparative temperature study,direct,30°C maximized growth and aflR/aflD/aflQ expression; 25°C maximized B/G aflatoxin production.,Not measured in NRRL 13137 specifically.,S009,173
M4-FUNG-0007:C006,M4-FUNG-0007,C006,A. nomiae cluster transcription can precede analytically detectable aflatoxin production,longitudinal Brazil-nut-matrix study,direct,"Cluster expression detected day 2, B1/G1 day 3, all four congeners by day 4.","Comparative isolates, not the AY510454 ex-type strain.",S010,174
M4-FUNG-0007:C007,M4-FUNG-0007,C007,"The MIBiG and FunBGCs length difference is a boundary-definition issue, not conflicting biology",coordinate reconciliation,inferred,"MIBiG = 1–75,352 with flanks; FunBGCs 68,362 bp equals norB 6,862 through hypA 75,223 inclusive.",FunBGCs is an independent manually curated resource.,S001; S012,175
M4-FUNG-0008:C001,M4-FUNG-0008,C001,BGC0000010 is an aflatoxin-pathway homolog that is natively nonproductive in AF36,sequence + negative phenotype,direct/inferred,AF36 retains most of the locus but does not accumulate aflatoxin.,Do not use the MIBiG compound field as evidence of native AF36 product formation.,S001; S003,163
M4-FUNG-0008:C002,M4-FUNG-0008,C002,A single early coding lesion in aflC/pksA is sufficient to explain AF36 atoxigenicity,sequence comparison + pathway biochemistry,direct,"G→A at nt591 creates W→STOP at aa176, precluding a functional multidomain PKS.",Precise genetic repair/rescue in AF36 itself was not the defining experiment.,S003,164
M4-FUNG-0008:C003,M4-FUNG-0008,C003,Presence of nearly the entire aflatoxin gene cluster is insufficient evidence of biosynthetic access,comparative genomics,direct/inferred,AF36 is in Group A with all standard cluster genes present yet is atoxigenic.,Illustrates importance of protein-coding competence beyond gene presence.,S005,165
M4-FUNG-0008:C004,M4-FUNG-0008,C004,The AF36 atoxigenicity lesion is stable across the broader YV36 lineage,population genetics,direct,All 59 YV36 isolates detected in the Mexican survey carried the same aflC SNP and MAT1-2 idiomorph.,Three isolates had additional degeneration.,S007,166
M4-FUNG-0008:C005,M4-FUNG-0008,C005,AF36's nonproductive BGC state has a positive ecological application,field population replacement,direct/inferred,AF36 application raises YV36 population frequency and reduces aflatoxin contamination in harvested pistachios.,"Field benefit arises from competition, not biosynthetic activation.",S009,167
M4-FUNG-0008:C006,M4-FUNG-0008,C006,MIBiG BGC class and compound annotations can describe pathway ancestry even when the current strain lacks a functional core biosynthetic enzyme,database/provenance audit,inferred,MIBiG calls the entry PKS and lists aflatoxin while no functional PKS CDS exists in the record and AF36 is atoxigenic.,Atlas should separate pathway-family identity from current execution capacity.,S001; S003,168
M4-FUNG-0009:C001,M4-FUNG-0009,C001,BGC0000011 is a high-confidence naturally productive AF/ST core cluster in A. ochraceoroseus,sequence + authentic-standard/LC-MS product evidence,direct,The ex-type strain accumulates ST and B-series aflatoxins.,The exact MIBiG region is not the complete functional aflatoxin programme.,S001; S004; S005,167
M4-FUNG-0009:C002,M4-FUNG-0009,C002,The A. ochraceoroseus cluster is evolutionarily and structurally closer to the A. nidulans ST cluster than to the canonical A. flavus AF cluster,gene-order and sequence comparison,direct,Most gene order is A. nidulans-like; homologs share 62–76% nt identity.,Evolutionary interpretation should remain separate from functional completeness.,S004,168
M4-FUNG-0009:C003,M4-FUNG-0009,C003,A. ochraceoroseus AflR is functionally competent to activate an ST biosynthetic programme,heterologous complementation,direct,Ao aflR restored ST production in A. nidulans aflR mutant.,"Heterologous background, but direct functional rescue.",S004,169
M4-FUNG-0009:C004,M4-FUNG-0009,C004,The complete aflatoxin programme extends outside BGC0000011 because an essential aflQ/ordA function is extra-cluster,gene localization + functional complementation,direct/inferred,Ao aflQ is outside the cluster and rescues an A. parasiticus aflQ mutant.,The corresponding aflP/omtA location/function remains less completely resolved.,S006,170
M4-FUNG-0009:C005,M4-FUNG-0009,C005,Accumulation of both sterigmatocystin and aflatoxin in the same strain indicates incomplete conversion of precursor is compatible with downstream pathway access,native metabolite profile,direct/inferred,Both ST and AF products are recovered from A. ochraceoroseus.,Relative flux cannot be inferred without condition-matched quantitative measurements.,S001; S005,171
M4-FUNG-0009:C006,M4-FUNG-0009,C006,Database BGC boundaries cannot be assumed to capture every gene required for the assigned metabolite,boundary/provenance audit,inferred,"BGC0000011 lacks aflQ/aflP, yet AF is produced and extra-cluster aflQ is functional.",This is a particularly strong Atlas boundary test case.,S001; S004; S006,172
M4-FUNG-0010:C001,M4-FUNG-0010,C001,BGC0000012 is a genuine five-gene PKS-associated locus from A. solani,sequence/cluster cloning,direct,alt1–alt5 are contiguous on AB120221.1.,Cluster existence is distinct from whole-cluster product identification.,S001; S002; S003,150
M4-FUNG-0010:C002,M4-FUNG-0010,C002,Alt5/PKSN directly synthesizes alternapyrone without requiring Alt1–Alt4,heterologous gene-function experiment,direct,Expression of alt5 alone in A. oryzae produced alternapyrone.,"Host context may influence yield, but product identity is clear.",S003,151
M4-FUNG-0010:C003,M4-FUNG-0010,C003,The final product of the complete A. solani alt1–alt5 cluster is unresolved,evidence-boundary audit,direct/inferred,Defining study functionally resolved Alt5 only; later analysis explicitly notes the full cluster end product is unknown.,MIBiG's compound assignment is therefore more confident than the native whole-BGC evidence.,S003; S005,152
M4-FUNG-0010:C004,M4-FUNG-0010,C004,PKSN encodes unusually precise iterative reductive and C-methylation programming,isotope labeling + sequence/domain analysis,direct,"Decaketide synthesis includes eight C-methylations, seven KR/DH cycles and four ER events.","Counts refer to biosynthetic programming, not gene-copy number.",S003,153
M4-FUNG-0010:C005,M4-FUNG-0010,C005,Functions assigned to Alt1–Alt4 in BGC0000012 remain primarily predictive in the original A. solani record,homology versus direct function audit,direct/inferred,Alt1–3 were annotated P450s and Alt4 an FAD enzyme by homology.,Later homolog-cluster experiments support plausible tailoring roles but are not direct A. solani tests.,S003,154
M4-FUNG-0010:C006,M4-FUNG-0010,C006,Alternapyrone-family BGCs are conserved beyond A. solani and can be elaborated by homologous P450 tailoring enzymes,comparative genomics + homologous reconstruction,direct for homologs / inferred transfer,Alt2′/Alt3′ in A. arundinis convert alternapyrone into oxidized congeners; homologous cluster families occur across Pleosporales.,Do not equate homolog conservation with identical metabolite output.,S008; S009,155
M4-FUNG-0010:C007,M4-FUNG-0010,C007,BGC0000012 is an important example where heterologous core-enzyme proof should not be mistaken for native pathway activation,inference synthesis,inferred,The experiment answers 'what can Alt5 make?' but not 'what does native A. solani make from the entire cluster?',"Native transcription, regulation, developmental timing and realized exposure remain largely uncharacterized.",S003; S005,156
M4-FUNG-0011:C001,M4-FUNG-0011,C001,BGC0000013 is a compact two-gene alternariol-producing module when directly activated,dual promoter-replacement genetics + product isolation,direct,PkgA/PkgB co-induction produces alternariol and related isocoumarins.,Native unengineered production remains unresolved.,S003,148
M4-FUNG-0011:C002,M4-FUNG-0011,C002,Inducing nearby presumed pathway-specific transcription factors is insufficient to activate useful alternariol production from this locus,negative promoter-replacement screen,direct,"ANID_07061.1 and AN7073.3 induction, alone or together, produced no detectable new NP.","Negative under the tested engineered conditions, not proof those proteins never regulate the locus.",S003,149
M4-FUNG-0011:C003,M4-FUNG-0011,C003,Direct PkgA activation engages biosynthesis but leaves product release/output limiting,single-core-gene promoter replacement,direct/inferred,PkgA-only induction produced several compounds at low levels; PkgA lacks a release domain.,Low yield may also reflect other physiological constraints.,S003,150
M4-FUNG-0011:C004,M4-FUNG-0011,C004,PkgB is a functionally important trans-acting release enzyme for the PkgA pathway,dual promoter replacement,direct,Co-induction caused a dramatic increase in product yield.,The pathway can therefore fail downstream of PKS transcription if release capacity is limiting.,S003,151
M4-FUNG-0011:C005,M4-FUNG-0011,C005,The MIBiG 45.9-kb display region is much broader than the experimentally supported 7.85-kb functional alternariol locus,coordinate/provenance audit,direct/inferred,"Only pkgA/pkgB are listed as production genes; their locus spans 1,119,810–1,127,658.",Flanking genes may have contextual roles but are not required by the defining evidence.,S001; S003,152
M4-FUNG-0011:C006,M4-FUNG-0011,C006,The native FGSC A4 locus is better described as cryptic/bypass-activated than naturally alternariol-producing,experimental-state audit,inferred,Alternariol was revealed by promoter replacement and was not previously known from Aspergillus.,Absence of evidence under other ecological conditions is not proof of universal native silence.,S003,153
M4-FUNG-0011:C007,M4-FUNG-0011,C007,Alternariol biosynthesis is architecturally non-unique across fungi,cross-species functional comparison,direct/inferred,"P. nodorum SnPKS19 alone and A. alternata PksI alone can make AOH, whereas A. nidulans PkgA depends strongly on PkgB-mediated release.",Do not infer cluster membership solely from product identity.,S005; S006,154
M4-FUNG-0012:C001,M4-FUNG-0012,C001,BGC0000022 is a high-confidence asperfuranone pathway whose product is cryptic under the defining standard laboratory conditions but becomes accessible after AfoA activation,regulatory bypass + product isolation,direct,Wild-type product undetectable; alcA-driven afoA yields new polyketide asperfuranone.,"Condition-specific silence, not universal ecological silence.",S003,155
M4-FUNG-0012:C002,M4-FUNG-0012,C002,"Seven genes—AfoA and AfoB–AfoG—form the experimentally supported functional programme, despite a larger 11-CDS MIBiG region",systematic deletion + activation genetics,direct/inferred,AfoD/E/F/G abolish; AfoB/C reduce; AfoA activates; several flanking genes are dispensable.,AN1030 remains a co-induced but nonessential boundary ambiguity.,S001; S003,156
M4-FUNG-0012:C003,M4-FUNG-0012,C003,Two PKSs cooperate sequentially rather than redundantly,pathway biochemistry + deletions,direct/inferred,AfoG builds a methylated reduced starter; AfoE accepts it through SAT and extends/aromatizes it; deleting either eliminates product.,"Mechanistic order is strongly supported, though some tailoring order remains unresolved.",S003,157
M4-FUNG-0012:C004,M4-FUNG-0012,C004,AfoD deletion localizes a downstream oxidative gate because it traps preasperfuranone,intermediate accumulation,direct,Product lost while a defined intermediate accumulates.,One of the clearest intermediate-evidence records in the corpus.,S003,158
M4-FUNG-0012:C005,M4-FUNG-0012,C005,AfoB/AfoC illustrate partial constraints rather than binary pathway gates,deletion phenotypes,direct,Deleting either strongly reduces but does not eliminate asperfuranone.,Residual activity may arise from alternative transport/enzymes.,S003,159
M4-FUNG-0012:C006,M4-FUNG-0012,C006,ScpR from a physically separate chromosome-II BGC can activate the chromosome-VIII asperfuranone pathway through AfoA,transcriptomics + epistasis + product assay,direct/inferred,scpR OE activates afo genes and product; inpB deletion does not prevent it; afoA deletion abolishes it.,Promoter-binding inference is supported by motif/epistasis but direct biochemical DNA-binding proof is more limited.,S004,160
M4-FUNG-0012:C007,M4-FUNG-0012,C007,Co-expression is not equivalent to functional necessity,cross-talk transcription + deletion comparison,direct/inferred,AN1030 is upregulated during ScpR-mediated cluster activation but its deletion does not alter asperfuranone yield.,Important ontology test for transcriptomic BGC boundary calls.,S003; S004,161
M4-FUNG-0012:C008,M4-FUNG-0012,C008,Asperfuranone has in-vitro antiproliferative activity independent of its unresolved native fungal ecological role,cell bioactivity assay,direct,A549 IC50 15.3 µM with G0/G1 arrest and apoptosis.,Pharmacology does not establish fungal biological function.,S005,162
M4-FUNG-0013:C001,M4-FUNG-0013,C001,"BGC0000027 is a high-confidence Monascus azaphilone-pigment locus, but its strongest functional genetics come from M. purpureus orthologs rather than the sequenced M. pilosus source",sequence + cross-species genetics,direct/inferred,M. purpureus T-DNA/PKS experiments discovered the pathway; homologous full cluster was then identified in M. pilosus.,Sequence organism and experimental organism must remain separate.,S001; S002; S003,164
M4-FUNG-0013:C002,M4-FUNG-0013,C002,MpPKS5 is essential for azaphilone pigment backbone biosynthesis,targeted knockout,direct,MpPKS5 inactivation yields an albino M. purpureus mutant.,Ortholog transfer to M. pilosus is strongly plausible but not the same experiment.,S003,165
M4-FUNG-0013:C003,M4-FUNG-0013,C003,Dedicated FAS activity is required for short-chain acyl decoration rather than bulk cellular fatty-acid synthesis,targeted fasB2 knockout + metabolite/fatty-acid analysis,direct,F9 loses normal pigments and accumulates monascusone A without major C16/C18 changes.,Functional test in M. purpureus.,S004,166
M4-FUNG-0013:C004,M4-FUNG-0013,C004,MppE controls branch allocation toward reduced yellow pigments rather than simply overall pathway on/off state,deletion + overexpression,direct,ΔmppE shifts toward orange/red; overexpression increases yellow pigments.,Magnitude depends on culture architecture.,S005,167
M4-FUNG-0013:C005,M4-FUNG-0013,C005,MppG is required for the oxidative orange branch but does not simply convert yellow pigments into orange pigments,knockout + feeding experiment,direct,ΔmppG loses orange pigments with yellow largely preserved; monascin feeding does not produce rubropunctatin.,Supports divergent branch model.,S006,168
M4-FUNG-0013:C006,M4-FUNG-0013,C006,The 80-kb database boundary should not be equated with a 24-gene experimentally necessary pathway,boundary/provenance audit,inferred,"Many MIBiG CDSs are hypothetical or generic, while only a subset have strong functional support.","MIBiG completeness refers database pathway coverage, not proof every CDS is required.",S001; S003; S004; S005; S006,169
M4-FUNG-0013:C007,M4-FUNG-0013,C007,Pigment output can change composition without loss of total pathway access,branch-selective mutant synthesis,inferred,mppE and mppG perturbations redistribute yellow/orange/red components rather than producing a uniform null phenotype.,Strong example of product-profile evidence being more diagnostic than total-pigment endpoint.,S005; S006,170
M4-FUNG-0014:C001,M4-FUNG-0014,C001,BGC0000030 is a high-confidence six-gene bikaverin pathway in F. fujikuroi IMI58289,gene deletion + metabolite + sequence evidence,direct,"bik1–bik6 functions collectively account for biosynthesis, regulation and export.",MIBiG includes one upstream uncharacterized gene beyond the demonstrated core.,S001; S003; S004,152
M4-FUNG-0014:C002,M4-FUNG-0014,C002,"Bik1, Bik2 and Bik3 constitute the indispensable biochemical core",individual deletions + intermediate-resolved pathway analysis,direct,Deleting any of the three eliminates normal bikaverin production; later chemistry resolves Bik2/Bik3 alternating tailoring steps.,,S003; S004; S005,153
M4-FUNG-0014:C003,M4-FUNG-0014,C003,Bik4 and Bik5 regulate overlapping but non-identical subsets of the cluster,deletion + transcript analysis,direct,"Δbik4 strongly lowers bik1/2/3, whereas Δbik5 prominently lowers bik1/bik4/bik6 without the same effect on bik2/3.",Regulatory topology is not a simple single-TF switch.,S003,154
M4-FUNG-0014:C004,M4-FUNG-0014,C004,Bik6 is supportive for export rather than an absolute product-formation gate,transporter deletion,direct/inferred,Δbik6 significantly reduces product but some extracellular bikaverin remains.,Alternative transport/passive release may contribute.,S003,155
M4-FUNG-0014:C005,M4-FUNG-0014,C005,High nitrogen represses the entire bik cluster through a mechanism that is not dependent on the canonical global nitrogen regulator AreA,expression/regulatory genetics,direct,"All bik genes are high-N repressed, but AreA is not required for this regulation.",Exact nitrogen-sensing mechanism remains unresolved.,S003,156
M4-FUNG-0014:C006,M4-FUNG-0014,C006,Alkaline-pH repression of bikaverin is mediated by PacC,pacC deletion + dominant-active allele,direct,"Loss of pacC partially derepresses, constitutive PacC represses bik genes.",,S003,157
