organism_key,organism_name,ncbi_taxon_id,phylum,class,order,family,genus,ecological_lifestyle_raw,first_dossier_id
NCBITAXON:1365484,Penicillium roqueforti FM164,1365484,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,saprotrophic food/feed-associated fungus,M4-FUNG-0074
NCBITAXON:1979465,Neocamarosporium betae (historically Phoma betae),1979465,Ascomycota,Dothideomycetes,Dothideomycetes incertae sedis / Pleosporineae placement in modern literature,Neocamarosporiaceae,Neocamarosporium,plant pathogen / saprotrophic-capable filamentous fungus,M4-FUNG-0076
NCBITAXON:1214568,Diaporthe amygdali (historical paper: Phomopsis amygdali),1214568,,,,,,,M4-FUNG-0082
NCBITAXON:665115,Shiraia sp. Slf14,665115,,,,,,,M4-FUNG-0085
NCBITAXON:5050,Epichloë uncinata (historical literature: Neotyphodium uncinatum),5050,,,,,,,M4-FUNG-0086
NCBITAXON:78605,Malbranchea aurantiaca,78605,,,,,,,M4-FUNG-0087
NCBITAXON:46472,Aspergillus versicolor,46472,,,,,,,M4-FUNG-0088
NCBITAXON:70095,Penicillium fellutanum,70095,,,,,,,M4-FUNG-0089
NCBITAXON:225353,Monascus aurantiacus,225353,,,,,,,M4-FUNG-0090
NCBITAXON:5061,Aspergillus niger,5061,,,,,,,M4-FUNG-0092
NCBITAXON:5518,Fusarium graminearum (historical literature: Gibberella zeae),5518,,,,,,,M4-FUNG-0093
ORG_b0ca58a6a560,Aspergillus clavatus NRRL 1,,,,,,,,M4-FUNG-0098
ORG_0dc23fd5d2f9,Fusarium heterosporum,,,,,,,,M4-FUNG-0099
ORG_dda3b060c9c2,Metarhizium robertsii; source atlas historical label M. anisopliae,,,,,,,,M4-FUNG-0100
ORG_00aa7bf8b645,Penicillium nordicum,,,,,,,,M4-FUNG-0101
ORG_bac04d6f1e95,Glarea lozoyensis ATCC 20868,,,,,,,,M4-FUNG-0102
ORG_1829b4449fb3,Aspergillus fumigatus Af293,,,,,,,,M4-FUNG-0103
ORG_19dc5e54cc78,Leptosphaeria maculans,,,,,,,,M4-FUNG-0104
ORG_b74eecf1d3db,Beauveria bassiana,,,,,,,,M4-FUNG-0105
ORG_cbed182a893e,Fusarium graminearum (teleomorph historical literature: Gibberella zeae),,,,,,,,M4-FUNG-0106
ORG_54ffdc0bbd51,Epichloë festucae var. lolii; historical literature uses Neotyphodium lolii,,,,,,,,M4-FUNG-0108
ORG_b13e7c50ad4e,Penicillium paxilli,,,,,,,,M4-FUNG-0109
NCBITAXON:877550,Aspergillus sp. MF297-2,877550,,,,,,,M4-FUNG-0110
ORG_af691354f998,Aspergillus nidulans FGSC A4,,,,,,,,M4-FUNG-0112
ORG_540eb7bbdd06,Aspergillus terreus NIH2624,,,,,,,,M4-FUNG-0113
NCBITAXON:510516,Aspergillus oryzae RIB40,510516,,,,,,,M4-FUNG-0114
ORG_3f738c0c4e78,Aspergillus niger ATCC 1015,,,,,,,,M4-FUNG-0115
ORG_c510f7151b08,Penicillium brefeldianum,,,,,,,,M4-FUNG-0117
ORG_d81376d1d2ed,Penicillium aethiopicum,,,,,,,,M4-FUNG-0118
ORG_9206fec171a6,Trichophyton tonsurans CBS 112818,,,,,,,,M4-FUNG-0120
ORG_8c064f106766,Botrytis cinerea,,,,,,,,M4-FUNG-0121
ORG_83e25adeea8c,Alternaria jesenskae,,,,,,,,M4-FUNG-0122
ORG_c7d41b0e71b2,Glarea lozoyensis,,,,,,,,M4-FUNG-0123
ORG_db9930cab997,Fusarium verticillioides 7600,,,,,,,,M4-FUNG-0124
ORG_7f561733f323,Penicillium expansum,,,,,,,,M4-FUNG-0125
ORG_7b25a803f331,Cordyceps fumosorosea,,,,,,,,M4-FUNG-0126
NCBITAXON:306901,Chaetomium globosum CBS 148.51,306901,,,,,,,M4-FUNG-0127
NCBITAXON:34381,Aspergillus japonicus,34381,,,,,,,M4-FUNG-0128
NCBITAXON:568076,Metarhizium robertsii,568076,,,,,,,M4-FUNG-0132
NCBITAXON:40602,Claviceps fusiformis,40602,,,,,,,M4-FUNG-0133
NCBITAXON:5127,Fusarium fujikuroi,5127,,,,,,,M4-FUNG-0134
NCBITAXON:40559,Botrytis cinerea,40559,,,,,,,M4-FUNG-0135
NCBITAXON:13684,Parastagonospora nodorum,13684,,,,,,,M4-FUNG-0136
NCBITAXON:45133,Lasiodiplodia theobromae,45133,,,,,,,M4-FUNG-0137
NCBITAXON:1036732,Sarocladium zeae (historical primary paper: Acremonium zeae),1036732,,,,,,,M4-FUNG-0138
NCBITAXON:29003,Cercospora nicotianae,29003,,,,,,,M4-FUNG-0139
NCBITAXON:71945,Hypholoma sublateritium,71945,,,,,,,M4-FUNG-0140
NCBITAXON:35717,Epichloë festucae,35717,,,,,,,M4-FUNG-0142
ORG_245994777974,Alternaria alternata tangerine pathotype,,,,,,,,M4-FUNG-0145
NCBITAXON:42747,Fusarium heterosporum,42747,,,,,,,M4-FUNG-0147
NCBITAXON:80604,Tapinella panuoides,80604,,,,,,,M4-FUNG-0148
NCBITAXON:96454,Nodulisporium sp. ATCC 74245,96454,,,,,,,M4-FUNG-0149
NCBITAXON:101852,Glarea lozoyensis,101852,,,,,,,M4-FUNG-0150
NCBITAXON:40997,Elsinoë fawcettii,40997,,,,,,,M4-FUNG-0151
NCBITAXON:124418,Tolypocladium album; historical paper name Chaunopycnis alba,124418,,,,,,,M4-FUNG-0152
NCBITAXON:5111,Claviceps purpurea,5111,,,,,,,M4-FUNG-0155
NCBITAXON:101162,Bipolaris oryzae,101162,,,,,,,M4-FUNG-0157
NCBITAXON:27339,Cladonia grayi,27339,,,,,,,M4-FUNG-0158
NCBITAXON:49223,Sphaceloma manihoticola,49223,,,,,,,M4-FUNG-0161
NCBITAXON:40380 in canonical source row,Aspergillus ochraceus in MIBiG; defining paper reports Aspergillus westerdijkiae,40380 in canonical source row,,,,,,,M4-FUNG-0165
NCBITAXON:75736,Starmerella bombicola (historical literature: Candida bombicola),75736,,,,,,,M4-FUNG-0166
NCBITAXON:5514,Fusarium sporotrichioides,5514,,,,,,,M4-FUNG-0170
NCBITAXON:1859971,Paramyrothecium roridum (historical Myrothecium roridum),1859971,,,,,,,M4-FUNG-0171
NCBITAXON:237631,Ustilago maydis 521,237631,,,,,,,M4-FUNG-0173
NCBITAXON:5047,Epichloë coenophiala,5047,,,,,,,M4-FUNG-0174
NCBITAXON:321614,Parastagonospora nodorum SN15,321614,,,,,,,M4-FUNG-0175
NCBITAXON:5270,Ustilago maydis,5270,,,,,,,M4-FUNG-0176
NCBITAXON:174080,Cladonia uncialis mycobiont,174080,Ascomycota,,,,,,M4-FUNG-0181
NCBITAXON:89489,Monascus ruber,89489,Ascomycota,,,,,,M4-FUNG-0182
NCBITAXON:1828523,Phoma sp. MF5453,1828523,Ascomycota,,,,,,M4-FUNG-0183
NCBITAXON:89137,"Byssochlamys fulva, historical producer strain IMI 40021",89137,,,,,,,M4-FUNG-0184
NCBITAXON:33203,Purpureocillium lilacinum,33203,Ascomycota,,,,,,M4-FUNG-0185
NCBITAXON:1111077,Claviceps purpurea 20.1,1111077,Ascomycota,,,,,,M4-FUNG-0187
NCBITAXON:1160106,Aspergillus nidulans NRRL 8112,1160106,Ascomycota,,,,,,M4-FUNG-0188
NCBITAXON:293382,Penicillium thymicola,293382,Ascomycota,,,,,,M4-FUNG-0189
NCBITAXON:573841,Sordaria araneosa,573841,Ascomycota,,,,,,M4-FUNG-0190
NCBITAXON:69488,Penicillium simplicissimum,69488,Ascomycota,,,,,,M4-FUNG-0191
NCBITAXON:80385,Stachybotrys bisbyi,80385,Ascomycota,,,,,,M4-FUNG-0193
NCBITAXON:291059,Phomopsis leptostromiformis,291059,Ascomycota,,,,,,M4-FUNG-0194
NCBITAXON:47429,Armillaria mellea,47429,Basidiomycota,,,,,,M4-FUNG-0197
NCBITAXON:78579,Thermothelomyces thermophilus,78579,,,,,,,M4-FUNG-0203
NCBITAXON:374132,Penicillium terrestre,374132,,,,,,,M4-FUNG-0204
NCBITAXON:28567,Talaromyces wortmannii,28567,Ascomycota,,,,,,M4-FUNG-0205
NCBITAXON:180999,Cladonia uncialis subsp. uncialis,180999,Ascomycota,,,,,,M4-FUNG-0208
NCBITAXON:5082,Penicillium roqueforti,5082,Ascomycota,,,,,,M4-FUNG-0209
NCBITAXON:42742,Gelatoporia subvermispora,42742,Basidiomycota,,,,,,M4-FUNG-0214
NCBITAXON:122368,Cercospora beticola,122368,Ascomycota,,,,,,M4-FUNG-0216
NCBITAXON:348901,Cercospora zeina,348901,Ascomycota,,,,,,M4-FUNG-0217
NCBITAXON:1392248,Aspergillus campestris IBT 28561,1392248,Ascomycota,,,,,,M4-FUNG-0218
NCBITAXON:229533,Fusarium graminearum PH-1,229533,Ascomycota,,,,,,M4-FUNG-0219
NCBITAXON:1549217,Aspergillus stellatus,1549217,,,,,,,M4-FUNG-0220
NCBITAXON:644132,"Canonical source: Paecilomyces divaricatus, TaxID 644132",644132,,,,,,,M4-FUNG-0221
NCBITAXON:318706,"Canonical source: Cochliobolus pallescens, TaxID 318706",318706,,,,,,,M4-FUNG-0222
NCBITAXON:37994,"Canonical source/MIBiG: Beauveria felina, TaxID 37994",37994,,,,,,,M4-FUNG-0223
NCBITAXON:1897413,Nodulisporium sp.,1897413,Ascomycota,,,,,,M4-FUNG-0224
NCBITAXON:83212,Claviceps africana,83212,Ascomycota,,,,,,M4-FUNG-0225
NCBITAXON:150374,Escovopsis weberi,150374,Ascomycota,,,,,,M4-FUNG-0227
NCBITAXON:413071,Trichoderma virens Gv29-8,413071,Ascomycota,,,,,,M4-FUNG-0231
NCBITAXON:1888172,Trichoderma hypoxylon,1888172,Ascomycota,,,,,,M4-FUNG-0232
NCBITAXON:721885,Stereum hirsutum FP-91666 SS1,721885,Basidiomycota,,,,,,M4-FUNG-0234
NCBITAXON:393283,Pestalotiopsis fici,393283,Ascomycota,,,,,,M4-FUNG-0236
NCBITAXON:1283841,Stachybotrys chlorohalonata IBT 40285,1283841,Ascomycota,,,,,,M4-FUNG-0237
NCBITAXON:95742,Curvularia clavata,95742,,,,,,,M4-FUNG-0238
ORG_17bac3b9f14e,Fusarium fujikuroi IMI 58289,,,,,,,,M4-FUNG-0239
ORG_31f88d0ac475,Fusarium equiseti,,,,,,,,M4-FUNG-0240
NCBITAXON:1053259,Thelonectria discophora,1053259,,,,,,,M4-FUNG-0244
NCBITAXON:367110,Neurospora crassa OR74A,367110,,,,,,,M4-FUNG-0245
NCBITAXON:1243767,Hypoxylon pulicicidum,1243767,,,,,,,M4-FUNG-0247
NCBITAXON:1392255,Aspergillus novofumigatus IBT 16806,1392255,,,,,,,M4-FUNG-0248
NCBITAXON:1392250,Aspergillus steynii IBT 23096,1392250,,,,,,,M4-FUNG-0249
NCBITAXON:690307,Aspergillus aculeatus ATCC 16872,690307,,,,,,,M4-FUNG-0251
NCBITAXON:655819,Beauveria bassiana ARSEF 2860,655819,,,,,,,M4-FUNG-0252
NCBITAXON:933388,Penicillium oxalicum 114-2,933388,,,,,,,M4-FUNG-0254
NCBITAXON:104259,Penicillium brasilianum,104259,,,,,,,M4-FUNG-0255
ORG_a08e3831fd82,historical record: Aspergillus sp.; original isolation: Penicillium sp. CNL-338; later pathway study: Aspergillus flavipes CNL-338,UNCERTAIN,,,,,,,M4-FUNG-0256
NCBITAXON:1756125,Pyrenochaetopsis sp.,1756125,,,,,,,M4-FUNG-0257
NCBITAXON:1986016,Phyllosticta cirsii,1986016,,,,,,,M4-FUNG-0258
NCBITAXON:242507,Pyricularia oryzae 70-15 (pathway paper uses Magnaporthe oryzae),242507,,,,,,,M4-FUNG-0259
NCBITAXON:660122,current taxonomy: Fusarium vanettenii 77-13-4; historical/MIBiG: [Nectria] haematococca mpVI 77-13-4 / Fusarium solani,660122,,,,,,,M4-FUNG-0260
NCBITAXON:1293529,Cordana terrestris,1293529,,,,,,,M4-FUNG-0261
NCBITAXON:5079,Penicillium janthinellum,5079,,,,,,,M4-FUNG-0262
NCBITAXON:1963369,Chaetothyriaceae sp.,1963369,,,,,,,M4-FUNG-0263
NCBITAXON:570715,Alternaria oxytropis,570715,,,,,,,M4-FUNG-0264
NCBITAXON:282267,Fusarium asiaticum,282267,,,,,,,M4-FUNG-0265
NCBITAXON:1955101,historical MIBiG: Gliocladium sp.; defining study: Clonostachys rogersoniana (formerly Gliocladium sp. 6.102),1955101,,,,,,,M4-FUNG-0266
NCBITAXON:2203296,Sarocladium sp. 'schorii'; defining study proposes Sarocladium schorii for former Acremonium strictum IMI 501407,2203296,,,,,,,M4-FUNG-0268
NCBITAXON:1662659,Aspergillus sp. Z5,1662659,,,,,,,M4-FUNG-0269
NCBITAXON:5544,Trichoderma harzianum t-22,5544,,,,,,,M4-FUNG-0270
NCBITAXON:209559,MIBiG: Aspergillus sp. CLMG-2019a; defining paper: Aspergillus burnettii,209559,,,,,,,M4-FUNG-0271
NCBITAXON:264951,Byssochlamys spectabilis,264951,,,,,,,M4-FUNG-0274
NCBITAXON:148305,Pyricularia grisea,148305,,,,,,,M4-FUNG-0276
NCBITAXON:985895,Leptosphaeria maculans JN3; current MIBiG display uses Plenodomus lingam JN3,985895,,,,,,,M4-FUNG-0281
NCBITAXON:1169046,Daldinia eschscholzii IFB-TL01,1169046,,,,,,,M4-FUNG-0283
NCBITAXON:41251,Strobilurus tenacellus,41251,,,,,,,M4-FUNG-0285
NCBITAXON:1729595,fungal sp. ATCC 74256,1729595,,,,,,,M4-FUNG-0286
NCBITAXON:749675,Acremonium egyptiacum,749675,,,,,,,M4-FUNG-0288
NCBITAXON:198730,Talaromyces verruculosus,198730,,,,,,,M4-FUNG-0290
NCBITAXON:1707701,Phoma sp. F3723,1707701,,,,,,,M4-FUNG-0293
NCBITAXON:28985,Kluyveromyces lactis,28985,,,,,,,M4-FUNG-0300
NCBITAXON:1735992,Neonectria sp. DH2,1735992,,,,,,,M4-FUNG-0305
NCBITAXON:2572248,Cryptosporiopsis sp. 8999,2572248,,,,,,,M4-FUNG-0307
NCBITAXON:28576,Talaromyces variabilis,28576,,,,,,,M4-FUNG-0311
NCBITAXON:2765005,Fusarium sp. 190-020-2,2765005,,,,,,,M4-FUNG-0312
NCBITAXON:2040732,Cladobotryum sp. No. 11231 / Cladobotryum sp.,2040732,,,,,,,M4-FUNG-0314
NCBITAXON:1156157,Fulvia fulva CBS 131901 (syn. Cladosporium fulvum),1156157,,,,,,,M4-FUNG-0318
NCBITAXON:240176,Coprinopsis cinerea okayama7#130,240176,,,,,,,M4-FUNG-0321
NCBITAXON:1028729,Fusarium pseudograminearum CS3096,1028729,,,,,,cereal pathogen causing Fusarium crown rot,M4-FUNG-0324
NCBITAXON:451804,Aspergillus fumigatus A1163,451804,,,,,,opportunistic fungal pathogen and environmental saprotroph,M4-FUNG-0333
NCBITAXON:1159556,Ustilaginoidea virens,1159556,,,,,,,M4-FUNG-0337
NCBITAXON:693819,Rhodocybe pseudopiperita,693819,,,,,,,M4-FUNG-0341
NCBITAXON:29875,Trichoderma virens,29875,,,,,,,M4-FUNG-0342
NCBITAXON:49331,Wickerhamiella pararugosa,49331,,,,,,,M4-FUNG-0343
NCBITAXON:344612,Aspergillus clavatus NRRL 1,344612,,,,,,,M4-FUNG-0344
NCBITAXON:5081 (canonical source genus-level taxon),Penicillium sp. sh18; canonical source lists Penicillium sp.,5081 (canonical source genus-level taxon),,,,,,,M4-FUNG-0345
NCBITAXON:1380566,Pochonia chlamydosporia 170,1380566,,,,,,,M4-FUNG-0347
NCBITAXON:1318459,Fusarium pseudograminearum CS5834 in canonical source; defining paper refers to C5834,1318459,,,,,,,M4-FUNG-0349
NCBITAXON:1813822,fungal sp. No.14919; species unresolved in canonical source,1813822,,,,,,,M4-FUNG-0352
NCBITAXON:105696,Epicoccum nigrum,105696,,,,,,,M4-FUNG-0354
NCBITAXON:36656,Penicillium crustosum,36656,,,,,,,M4-FUNG-0356
NCBITAXON:2081996,Aspergillus terreus var. terreus,2081996,,,,,,,M4-FUNG-0358
NCBITAXON:2582783,Aspergillus nanangensis,2582783,,,,,,,M4-FUNG-0359
NCBITAXON:240499,Calcarisporium arbuscula,240499,,,,,,,M4-FUNG-0360
NCBITAXON:930091,Bipolaris victoriae FI3; defining paper uses historical Cochliobolus victoriae nomenclature,930091,,,,,,,M4-FUNG-0361
NCBITAXON:41900,Aspergillus flavipes; defining study strain CNL-338,41900,,,,,,,M4-FUNG-0364
NCBITAXON:1491466,Trichoderma guizhouense,1491466,,,,,,,M4-FUNG-0366
NCBITAXON:93625,Psilocybe cyanescens,93625,,,,,,,M4-FUNG-0367
NCBITAXON:40382,Aspergillus ustus,40382,,,,,,,M4-FUNG-0368
NCBITAXON:657443,Aspergillus violaceofuscus CBS 115571,657443,,,,,,,M4-FUNG-0370
NCBITAXON:1460663,Paraphaeosphaeria sporulosa,1460663,,,,,,,M4-FUNG-0371
NCBITAXON:1381753,Moniliophthora roreri MCA 2997,1381753,,,,,,,M4-FUNG-0372
NCBITAXON:741275,Punctularia strigosozonata HHB-11173 SS5,741275,,,,,,,M4-FUNG-0373
ORG_6e8172f57e08,,,,,,,,,M4-FUNG-0374
ORG_21b49e6f1695,,,,,,,,,M4-FUNG-0375
ORG_c6017f90d7b0,,,,,,,,,M4-FUNG-0376
ORG_b22b5ba9a6f7,,,,,,,,,M4-FUNG-0377
ORG_d85b59831717,,,,,,,,,M4-FUNG-0378
ORG_72fc323b1874,,,,,,,,,M4-FUNG-0379
ORG_70768ab916c8,,,,,,,,,M4-FUNG-0380
ORG_6e29ff2602e5,,,,,,,,,M4-FUNG-0381
ORG_dccbef159ffa,,,,,,,,,M4-FUNG-0382
ORG_a825e454814d,,,,,,,,,M4-FUNG-0383
ORG_43dffc297132,,,,,,,,,M4-FUNG-0384
ORG_ddcf71f2b181,,,,,,,,,M4-FUNG-0385
