observation_id,dossier_id,experiment_key,observation_type,subject_type,subject_id,value_raw,measurement_scale,timepoint_raw,source_ids,source_row,normalization_status
OBS_cb32ff8b04be,M4-FUNG-0003,M4-FUNG-0003:E005,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0003:E005,"Native-locus reporter expressed under inducing conditions; ectopic integrations showed little/no expression. At 24 h nor-1 and aflatoxin were absent, while both were high at 48–72 h.",qualitative_or_composite,"24, 48, 72 h",S008,151,unreviewed
OBS_776e0a2eab87,M4-FUNG-0003,M4-FUNG-0003:E006,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0003:E006,Six disruption transformants lacked aflatoxin G1 while retaining B-aflatoxin production; cypA is required for G-aflatoxin branch formation,qualitative_or_composite,3 days,S009,152,unreviewed
OBS_7b0a04504bc9,M4-FUNG-0003,M4-FUNG-0003:E007,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0003:E007,Partial duplicated module aflR-aflS(old aflJ)-adhA-estA-norA-ver1-omtB identified; several duplicated structural genes are damaged. AflR2 retains transcriptional activity but cannot fully replace aflR1 in vivo.,qualitative_or_composite,endpoint,S010,153,unreviewed
OBS_08d693d86d1a,M4-FUNG-0003,M4-FUNG-0003:E001,measurement,EXPERIMENT,M4-FUNG-0003:E001,82081,quantitative,sequence,S002; S003,160,mapped
OBS_9ae8316143d9,M4-FUNG-0003,M4-FUNG-0003:E001,measurement,EXPERIMENT,M4-FUNG-0003:E001,25,quantitative,sequence,S003; S004,161,mapped
OBS_3d092934abbf,M4-FUNG-0003,M4-FUNG-0003:E001,measurement,EXPERIMENT,M4-FUNG-0003:E001,4,quantitative,sequence,S003,162,mapped
OBS_b9edd306ccaa,M4-FUNG-0003,M4-FUNG-0003:E005,measurement,EXPERIMENT,M4-FUNG-0003:E005,not detected,qualitative_or_text,24 h,S008,163,mapped
OBS_f680e6ec943c,M4-FUNG-0003,M4-FUNG-0003:E005,measurement,EXPERIMENT,M4-FUNG-0003:E005,high,qualitative_or_text,48–72 h,S008,164,mapped
OBS_5f90a92dc060,M4-FUNG-0003,M4-FUNG-0003:E006,measurement,EXPERIMENT,M4-FUNG-0003:E006,6,quantitative,3 days,S009,165,mapped
OBS_fea09c50d5cc,M4-FUNG-0003,M4-FUNG-0003:E006,measurement,EXPERIMENT,M4-FUNG-0003:E006,1,quantitative,3 days,S009,166,mapped
OBS_cf9edc23ad7b,M4-FUNG-0004,M4-FUNG-0004:E001,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0004:E001,AY510451.1 established the complete AF13 aflatoxin-cluster sequence; proximal comparison revealed deletion of the ancestral norB–cypA module,qualitative_or_composite,sequence study,S002; S004,139,unreviewed
OBS_33c3ec07e9ed,M4-FUNG-0004,M4-FUNG-0004:E002,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0004:E002,No norB or cypA transcript detected in A. flavus AF13/AF70; promoter and 5' coding regions are deleted,qualitative_or_composite,3 days,S004,140,unreviewed
OBS_2cb523308b6c,M4-FUNG-0004,M4-FUNG-0004:E003,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0004:E003,Petroleum-ether lipid removal reduced AFB1 >800-fold; reconstitution restored output. In the time course AFB1 rose from day 1 and peaked day 5.,qualitative_or_composite,5-day endpoint; separate 0–7-day time course,S006,141,unreviewed
OBS_f8156ba5670b,M4-FUNG-0004,M4-FUNG-0004:E004,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0004:E004,AF13 produced significantly more aflatoxin contamination than NRRL3357 (P=0.0447),qualitative_or_composite,endpoint,S005,142,unreviewed
OBS_b31d7016ed6c,M4-FUNG-0004,M4-FUNG-0004:E005,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0004:E005,No observable/significant aflatoxin-production effect of atfC deletion under this liquid-stress assay despite altered stress tolerance,qualitative_or_composite,5 days,S005,143,unreviewed
OBS_03c450115eb5,M4-FUNG-0004,M4-FUNG-0004:E006,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0004:E006,ΔatfC-1 remained near WT aflatoxin output whereas ΔatfC-2 fell to NRRL3357-like levels,qualitative_or_composite,endpoint,S005,144,unreviewed
OBS_9c49715c2a9c,M4-FUNG-0004,M4-FUNG-0004:E007,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0004:E007,AF13 alone repeatedly yielded >50 µg/g aflatoxin B at maturity; co-inoculation with AF36 reduced contamination,qualitative_or_composite,maturity,S008,145,unreviewed
OBS_9f9394fd5fb2,M4-FUNG-0004,M4-FUNG-0004:E008,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0004:E008,"Six cypA-disruption transformants produced B1 plus minor B2 but lacked G1, establishing cypA as required for the G branch",qualitative_or_composite,3 days,S004,146,unreviewed
OBS_51da0be49448,M4-FUNG-0004,M4-FUNG-0004:E001,measurement,EXPERIMENT,M4-FUNG-0004:E001,88318,quantitative,sequence,S001; S002,150,mapped
OBS_f5d161c320a1,M4-FUNG-0004,M4-FUNG-0004:E001,measurement,EXPERIMENT,M4-FUNG-0004:E001,854,quantitative,sequence,S004,151,mapped
OBS_9e447cbeb6c8,M4-FUNG-0004,M4-FUNG-0004:E001,measurement,EXPERIMENT,M4-FUNG-0004:E001,32,quantitative,sequence,S004,152,mapped
OBS_9acd78164945,M4-FUNG-0004,M4-FUNG-0004:E002,measurement,EXPERIMENT,M4-FUNG-0004:E002,not detected,qualitative_or_text,3 days,S004,153,mapped
OBS_cd13e2a3774b,M4-FUNG-0004,M4-FUNG-0004:E003,measurement,EXPERIMENT,M4-FUNG-0004:E003,11.6,quantitative,5 days,S006,154,mapped
OBS_dc0d5961e27c,M4-FUNG-0004,M4-FUNG-0004:E003,measurement,EXPERIMENT,M4-FUNG-0004:E003,0.014,quantitative,5 days,S006,155,mapped
OBS_4c972b04ef2b,M4-FUNG-0004,M4-FUNG-0004:E003,measurement,EXPERIMENT,M4-FUNG-0004:E003,13,quantitative,5 days,S006,156,mapped
OBS_e92bf31e6be2,M4-FUNG-0004,M4-FUNG-0004:E003,measurement,EXPERIMENT,M4-FUNG-0004:E003,107,quantitative,5 days,S006,157,mapped
OBS_4d4a01e2b726,M4-FUNG-0004,M4-FUNG-0004:E003,measurement,EXPERIMENT,M4-FUNG-0004:E003,534,quantitative,5 days,S006,158,mapped
OBS_9a86651408d2,M4-FUNG-0004,M4-FUNG-0004:E003,measurement,EXPERIMENT,M4-FUNG-0004:E003,704,quantitative,5 days,S006,159,mapped
OBS_e40bf8f074f9,M4-FUNG-0004,M4-FUNG-0004:E003,measurement,EXPERIMENT,M4-FUNG-0004:E003,7490,quantitative,5 days,S006,160,mapped
OBS_b407dc8bc299,M4-FUNG-0004,M4-FUNG-0004:E003,measurement,EXPERIMENT,M4-FUNG-0004:E003,day 5,qualitative_or_text,day 5,S006,161,mapped
OBS_da23cfc1760b,M4-FUNG-0004,M4-FUNG-0004:E004,measurement,EXPERIMENT,M4-FUNG-0004:E004,0.0447,quantitative,endpoint,S005,162,mapped
OBS_a5b35f6fdb8e,M4-FUNG-0004,M4-FUNG-0004:E007,measurement,EXPERIMENT,M4-FUNG-0004:E007,>50,qualitative_or_text,maturity,S008,163,mapped
OBS_b85b53732548,M4-FUNG-0004,M4-FUNG-0004:E008,measurement,EXPERIMENT,M4-FUNG-0004:E008,6,quantitative,3 days,S004,164,mapped
OBS_5957c18e7523,M4-FUNG-0005,M4-FUNG-0005:E001,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0005:E001,Urea caused massive increases in B1 and G1 compared with ammonium; effect persisted at both 45 and 100 mM N,qualitative_or_composite,5 days,S002,141,unreviewed
OBS_80eb259194c7,M4-FUNG-0005,M4-FUNG-0005:E002,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0005:E002,"S_BG aflatoxin levels were up to 20-fold lower on nitrate; aflR usually changed little, while aflJ/aflS expression was ~2-fold lower on nitrate",qualitative_or_composite,endpoint,S003,142,unreviewed
OBS_62c46c51ec4a,M4-FUNG-0005,M4-FUNG-0005:E003,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0005:E003,"Unlike typical A. flavus SB strains, acidification to final pH ~2.5–2.8 strongly suppressed BN008R B1/G1 accumulation",qualitative_or_composite,4 days,S005,143,unreviewed
OBS_de1cf780a914,M4-FUNG-0005,M4-FUNG-0005:E004,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0005:E004,"B1/G1 rose strongly as pH increased; G1 was particularly suppressed at low pH, while transcript changes only partially tracked product output",qualitative_or_composite,3 d RNA / 4 d toxin,S005,144,unreviewed
OBS_b9054357e3ed,M4-FUNG-0005,M4-FUNG-0005:E005,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0005:E005,BN008R retains norB and cypA without the large deletions characteristic of canonical B-only A. flavus; only a small indel was reported in this region,qualitative_or_composite,sequence study,S004,145,unreviewed
OBS_9bf13082b88b,M4-FUNG-0005,M4-FUNG-0005:E006,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0005:E006,cypA disruption eliminated G-aflatoxin production while retaining B1 and minor B2,qualitative_or_composite,endpoint,S004,146,unreviewed
OBS_83883aeedbc9,M4-FUNG-0005,M4-FUNG-0005:E001,measurement,EXPERIMENT,M4-FUNG-0005:E001,6,quantitative,5 d,S002,152,mapped
OBS_bb4eee6750bb,M4-FUNG-0005,M4-FUNG-0005:E001,measurement,EXPERIMENT,M4-FUNG-0005:E001,940,quantitative,5 d,S002,153,mapped
OBS_9f490824a640,M4-FUNG-0005,M4-FUNG-0005:E001,measurement,EXPERIMENT,M4-FUNG-0005:E001,0,quantitative,5 d,S002,154,mapped
OBS_cb39cd8f7207,M4-FUNG-0005,M4-FUNG-0005:E001,measurement,EXPERIMENT,M4-FUNG-0005:E001,270,quantitative,5 d,S002,155,mapped
OBS_aebbe9aa04f1,M4-FUNG-0005,M4-FUNG-0005:E001,measurement,EXPERIMENT,M4-FUNG-0005:E001,16,quantitative,5 d,S002,156,mapped
OBS_32ac4d7a7791,M4-FUNG-0005,M4-FUNG-0005:E001,measurement,EXPERIMENT,M4-FUNG-0005:E001,1400,quantitative,5 d,S002,157,mapped
OBS_1f78ba34418b,M4-FUNG-0005,M4-FUNG-0005:E001,measurement,EXPERIMENT,M4-FUNG-0005:E001,0.04,quantitative,5 d,S002,158,mapped
OBS_68bd9b216edc,M4-FUNG-0005,M4-FUNG-0005:E001,measurement,EXPERIMENT,M4-FUNG-0005:E001,1900,quantitative,5 d,S002,159,mapped
OBS_fa80b207bcaa,M4-FUNG-0005,M4-FUNG-0005:E004,measurement,EXPERIMENT,M4-FUNG-0005:E004,15,quantitative,4 d,S005,160,mapped
OBS_43c0cd285aa4,M4-FUNG-0005,M4-FUNG-0005:E004,measurement,EXPERIMENT,M4-FUNG-0005:E004,1,quantitative,4 d,S005,161,mapped
OBS_2e00e2da7d00,M4-FUNG-0005,M4-FUNG-0005:E004,measurement,EXPERIMENT,M4-FUNG-0005:E004,793,quantitative,4 d,S005,162,mapped
OBS_5e5f46054483,M4-FUNG-0005,M4-FUNG-0005:E004,measurement,EXPERIMENT,M4-FUNG-0005:E004,1820,quantitative,4 d,S005,163,mapped
OBS_0b02e186796f,M4-FUNG-0005,M4-FUNG-0005:E004,measurement,EXPERIMENT,M4-FUNG-0005:E004,3,quantitative,3 d,S005,164,mapped
OBS_48cc23f0f22a,M4-FUNG-0005,M4-FUNG-0005:E004,measurement,EXPERIMENT,M4-FUNG-0005:E004,5.5,quantitative,3 d,S005,165,mapped
OBS_074a9bef60bd,M4-FUNG-0005,M4-FUNG-0005:E004,measurement,EXPERIMENT,M4-FUNG-0005:E004,10.2,quantitative,3 d,S005,166,mapped
OBS_47755960effc,M4-FUNG-0005,M4-FUNG-0005:E004,measurement,EXPERIMENT,M4-FUNG-0005:E004,0.25,quantitative,pH series,S005,167,mapped
OBS_e6af8a9147b1,M4-FUNG-0006,M4-FUNG-0006:E001,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0006:E001,AF70 formed abundant small sclerotia and produced ~4-fold more AFB1 and ~3.5-fold more AFB2 than NRRL3357,qualitative_or_composite,6 days for YGT morphology,S005,139,unreviewed
OBS_0753c85546ff,M4-FUNG-0006,M4-FUNG-0006:E002,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0006:E002,AFB1 was ~455.79 ppm on corn versus 43.67 ppm in PDB; 17 of 44 AF70 corn-upregulated sequences mapped to the aflatoxin cluster,qualitative_or_composite,10 days,S006,140,unreviewed
OBS_ed751c38d32a,M4-FUNG-0006,M4-FUNG-0006:E003,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0006:E003,AFB1 was ~300–380 µg/g at pH2.5–4.5 and ~1050 µg/g at pH5.5; G1 remained undetectable; transcription changed nonuniformly,qualitative_or_composite,3 d RNA / 4 d toxin,S007,141,unreviewed
OBS_5d1c51796111,M4-FUNG-0006,M4-FUNG-0006:E004,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0006:E004,Δhbx1 lacked conidia and sclerotia and failed to produce detectable AFB1 or AFB2; complementation restored phenotypes,qualitative_or_composite,endpoint/time-course,S008,142,unreviewed
OBS_a25f9228b870,M4-FUNG-0006,M4-FUNG-0006:E005,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0006:E005,Most aflatoxin-cluster genes were suppressed in Δhbx1; Hbx1 affected thousands of genes and many secondary-metabolite clusters,qualitative_or_composite,6 h; 24 h; 48 h,S009,143,unreviewed
OBS_2e4e6a046bc4,M4-FUNG-0006,M4-FUNG-0006:E006,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0006:E006,fhpA disruption significantly increased AFB1; overexpression caused a slight non-significant increase,qualitative_or_composite,7 days,S010,144,unreviewed
OBS_401659f19ca5,M4-FUNG-0006,M4-FUNG-0006:E007,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0006:E007,"1192 transitions/transversions distinguished clusters; AF70 contained 742 deleted bases in the alignment, with largest deletion concentration in aflF/aflU region",qualitative_or_composite,sequence study,S005,145,unreviewed
OBS_10208c778609,M4-FUNG-0006,M4-FUNG-0006:E001,measurement,EXPERIMENT,M4-FUNG-0006:E001,4,quantitative,endpoint,S005,150,mapped
OBS_a18cdec0cb5a,M4-FUNG-0006,M4-FUNG-0006:E001,measurement,EXPERIMENT,M4-FUNG-0006:E001,3.5,quantitative,endpoint,S005,151,mapped
OBS_d81e9a0e43c8,M4-FUNG-0006,M4-FUNG-0006:E002,measurement,EXPERIMENT,M4-FUNG-0006:E002,455.79,quantitative,10 d,S006,152,mapped
OBS_9cc4d5626220,M4-FUNG-0006,M4-FUNG-0006:E002,measurement,EXPERIMENT,M4-FUNG-0006:E002,43.67,quantitative,10 d,S006,153,mapped
OBS_448bb2c12d1a,M4-FUNG-0006,M4-FUNG-0006:E002,measurement,EXPERIMENT,M4-FUNG-0006:E002,17,quantitative,10 d,S006,154,mapped
OBS_da57d550bca4,M4-FUNG-0006,M4-FUNG-0006:E002,measurement,EXPERIMENT,M4-FUNG-0006:E002,231,quantitative,10 d,S006,155,mapped
OBS_5421abe91e8e,M4-FUNG-0006,M4-FUNG-0006:E002,measurement,EXPERIMENT,M4-FUNG-0006:E002,231,quantitative,10 d,S006,156,mapped
OBS_b333eb3f3f3b,M4-FUNG-0006,M4-FUNG-0006:E002,measurement,EXPERIMENT,M4-FUNG-0006:E002,39,quantitative,10 d,S006,157,mapped
OBS_fbdb5bb9e8b2,M4-FUNG-0006,M4-FUNG-0006:E003,measurement,EXPERIMENT,M4-FUNG-0006:E003,380,quantitative,4 d,S007,158,mapped
OBS_78a0637bbb28,M4-FUNG-0006,M4-FUNG-0006:E003,measurement,EXPERIMENT,M4-FUNG-0006:E003,370,quantitative,4 d,S007,159,mapped
OBS_36a188a2baca,M4-FUNG-0006,M4-FUNG-0006:E003,measurement,EXPERIMENT,M4-FUNG-0006:E003,300,quantitative,4 d,S007,160,mapped
OBS_2c685c20a1cc,M4-FUNG-0006,M4-FUNG-0006:E003,measurement,EXPERIMENT,M4-FUNG-0006:E003,1050,quantitative,4 d,S007,161,mapped
OBS_09a236cff38e,M4-FUNG-0006,M4-FUNG-0006:E003,measurement,EXPERIMENT,M4-FUNG-0006:E003,0,quantitative,all tested pH,S007,162,mapped
OBS_1095f631e7c9,M4-FUNG-0006,M4-FUNG-0006:E007,measurement,EXPERIMENT,M4-FUNG-0006:E007,1192,quantitative,sequence,S005,163,mapped
OBS_a424fc338dfd,M4-FUNG-0006,M4-FUNG-0006:E007,measurement,EXPERIMENT,M4-FUNG-0006:E007,742,quantitative,sequence,S005,164,mapped
OBS_afae13f603ab,M4-FUNG-0007,M4-FUNG-0007:E001,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0007:E001,Ex-type strain established as a distinct aflatoxigenic species and producer of B/G aflatoxins,qualitative_or_composite,endpoint,S003,141,unreviewed
OBS_cc9e43ee1080,M4-FUNG-0007,M4-FUNG-0007:E002,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0007:E002,NRRL 13137 retains intact norB and cypA; G-producing species contrast with A. flavus deletions,qualitative_or_composite,sequence / 3-day production assays in study,S004,142,unreviewed
OBS_8e58664e3769,M4-FUNG-0007,M4-FUNG-0007:E003,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0007:E003,"In GMS, toxin increased with higher initial spore density; in PMS, high density—especially ≥10^5 spores/mL—suppressed aflatoxin biosynthesis",qualitative_or_composite,3 days,S006,143,unreviewed
OBS_9de40407c153,M4-FUNG-0007,M4-FUNG-0007:E004,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0007:E004,Arachidin-3 substantially inhibited fungal formation and AFB1 accumulation; arachidin-1 altered conidial development but did not significantly inhibit all four aflatoxins,qualitative_or_composite,24–120 h,S007,144,unreviewed
OBS_30d3b06f8ad0,M4-FUNG-0007,M4-FUNG-0007:E005,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0007:E005,"~36-Mb genome, 11,918 protein-coding genes; MAT1-1 only",qualitative_or_composite,overnight,S005,145,unreviewed
OBS_aa1fb989fefb,M4-FUNG-0007,M4-FUNG-0007:E006,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0007:E006,"Growth and aflR/aflD/aflQ expression were maximal at 30°C, whereas maximum B/G aflatoxin production occurred at 25°C",qualitative_or_composite,study endpoint,S009,146,unreviewed
OBS_9d1495e0ba68,M4-FUNG-0007,M4-FUNG-0007:E007,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0007:E007,Cluster expression began day 2; B1/G1 detected day 3; from day 4 all four aflatoxins detected with approximate ordering G1>B1>G2>B2,qualitative_or_composite,days 2–7,S010,147,unreviewed
OBS_4fea89571137,M4-FUNG-0007,M4-FUNG-0007:E002,measurement,EXPERIMENT,M4-FUNG-0007:E002,75352,quantitative,sequence,S001,152,mapped
OBS_72556304f39d,M4-FUNG-0007,M4-FUNG-0007:E002,measurement,EXPERIMENT,M4-FUNG-0007:E002,68362,quantitative,sequence,S001; S012,153,mapped
OBS_27daac105972,M4-FUNG-0007,M4-FUNG-0007:E005,measurement,EXPERIMENT,M4-FUNG-0007:E005,36,quantitative,genome,S005,154,mapped
OBS_5c813d725b1e,M4-FUNG-0007,M4-FUNG-0007:E005,measurement,EXPERIMENT,M4-FUNG-0007:E005,11918,quantitative,genome,S005,155,mapped
OBS_029c3d57b7ab,M4-FUNG-0007,M4-FUNG-0007:E005,measurement,EXPERIMENT,M4-FUNG-0007:E005,42,quantitative,genome,S005,156,mapped
OBS_1c20245bd83d,M4-FUNG-0007,M4-FUNG-0007:E005,measurement,EXPERIMENT,M4-FUNG-0007:E005,1,quantitative,genome,S005,157,mapped
OBS_28209944cdee,M4-FUNG-0007,M4-FUNG-0007:E003,measurement,EXPERIMENT,M4-FUNG-0007:E003,100,quantitative,3 d,S006,158,mapped
OBS_3104b4af7ca6,M4-FUNG-0007,M4-FUNG-0007:E003,measurement,EXPERIMENT,M4-FUNG-0007:E003,≥1e5,qualitative_or_text,3 d,S006,159,mapped
OBS_51e4db2c8ad9,M4-FUNG-0007,M4-FUNG-0007:E004,measurement,EXPERIMENT,M4-FUNG-0007:E004,0.3,quantitative,24–120 h,S007,160,mapped
OBS_e870b7514b76,M4-FUNG-0007,M4-FUNG-0007:E006,measurement,EXPERIMENT,M4-FUNG-0007:E006,30,quantitative,study endpoint,S009,161,mapped
OBS_f5b9b6514d97,M4-FUNG-0007,M4-FUNG-0007:E006,measurement,EXPERIMENT,M4-FUNG-0007:E006,25,quantitative,study endpoint,S009,162,mapped
OBS_7f5e64c291d1,M4-FUNG-0007,M4-FUNG-0007:E007,measurement,EXPERIMENT,M4-FUNG-0007:E007,day 2,qualitative_or_text,time course,S010,163,mapped
OBS_6ecd66d3ff9f,M4-FUNG-0007,M4-FUNG-0007:E007,measurement,EXPERIMENT,M4-FUNG-0007:E007,day 3,qualitative_or_text,time course,S010,164,mapped
OBS_7c850b7caeec,M4-FUNG-0007,M4-FUNG-0007:E007,measurement,EXPERIMENT,M4-FUNG-0007:E007,day 4,qualitative_or_text,time course,S010,165,mapped
OBS_ea86fc1a1e98,M4-FUNG-0008,M4-FUNG-0008:E001,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0008:E001,"AF36 pksA contains G→A at nt591, generating premature stop codon. Other HexA/HexB polymorphisms were judged unlikely to abolish enzyme function. The pksA lesion is sufficient to explain AF36 atoxigenicity.",qualitative_or_composite,3 days,S003,139,unreviewed
OBS_56fd2aa11ce5,M4-FUNG-0008,M4-FUNG-0008:E002,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0008:E002,"AF36 belonged to Group A, one of 17/35 genotypes retaining the full standard set of aflatoxin-cluster genes while remaining atoxigenic through smaller lesions/SNPs",qualitative_or_composite,sequence analysis,S005,140,unreviewed
OBS_4b93bdff8e76,M4-FUNG-0008,M4-FUNG-0008:E003,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0008:E003,"59 of >3,500 isolates (1.6%) belonged to YV36; all 59 carried MAT1-2 and the same aflC atoxigenicity SNP; three had additional cluster degeneration",qualitative_or_composite,2005–2008 collections,S007,141,unreviewed
OBS_e4d3ff6770d1,M4-FUNG-0008,M4-FUNG-0008:E004,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0008:E004,Repeated application increased YV36 frequency to as high as 93% of A. flavus isolates in treated soils and reduced aflatoxin-positive nut samples by 20–45% depending on year,qualitative_or_composite,2008–2011 commercial trials; earlier research 2002–2005,S009,142,unreviewed
OBS_38344842b65f,M4-FUNG-0008,M4-FUNG-0008:E005,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0008:E005,Generated high-quality transcript evidence to improve AF36 genome gene annotation; confirms AF36 as a modern genomic reference biocontrol strain,qualitative_or_composite,RNA sampling across conditions,S008,143,unreviewed
OBS_defc0183d22e,M4-FUNG-0008,M4-FUNG-0008:E001,measurement,EXPERIMENT,M4-FUNG-0008:E001,591,quantitative,sequence,S003,150,mapped
OBS_695d7122f316,M4-FUNG-0008,M4-FUNG-0008:E001,measurement,EXPERIMENT,M4-FUNG-0008:E001,G→A,qualitative_or_text,sequence,S003,151,mapped
OBS_0ca7e229ee69,M4-FUNG-0008,M4-FUNG-0008:E001,measurement,EXPERIMENT,M4-FUNG-0008:E001,176,quantitative,sequence,S003,152,mapped
OBS_a69843a4cbad,M4-FUNG-0008,M4-FUNG-0008:E002,measurement,EXPERIMENT,M4-FUNG-0008:E002,17,quantitative,comparative sequencing,S005,153,mapped
