relationship_key,dossier_id,relationship_id,subject_raw,predicate_raw,object_raw,relationship_text_raw,source_ids,note,source_row,normalization_status
M4-FUNG-0003:R007,M4-FUNG-0003,R007,ATCC 56775,contains,partial duplicated aflatoxin-cluster module,,S010,Not a second intact cluster.,194,mapped_triplet
M4-FUNG-0003:R008,M4-FUNG-0003,R008,BGC0000005.3,database_status,retired,,S001,Preserve status in Atlas rather than silently treating as active MIBiG entry.,195,mapped_triplet
M4-FUNG-0003:R009,M4-FUNG-0003,R009,nadA,contributes_to,late G-group aflatoxin biosynthesis beyond the historical 25-gene core,,S015; S016,Boundary-extending functional relationship.,196,mapped_triplet
M4-FUNG-0004:R001,M4-FUNG-0004,R001,BGC0000006,encoded_by,AY510451.1:1-88318,,S001; S002,Exact deposited AF13 locus.,179,mapped_triplet
M4-FUNG-0004:R002,M4-FUNG-0004,R002,AF13,produces,aflatoxin B1 and aflatoxin B2,,S001; S005,Natural producer phenotype.,180,mapped_triplet
M4-FUNG-0004:R003,M4-FUNG-0004,R003,AF13 norB–cypA proximal module,has_state,degenerated by 32-bp + 854-bp deletions,,S004,Explains loss of G-aflatoxin branch capacity.,181,mapped_triplet
M4-FUNG-0004:R004,M4-FUNG-0004,R004,norB–cypA deletion,constrains,G-aflatoxin formation,,S004,Supported by absent AF13 transcription plus A. parasiticus cypA-disruption phenotype.,182,mapped_triplet
M4-FUNG-0004:R005,M4-FUNG-0004,R005,cottonseed lipids,promote_contextually,AFB1 production by AF13,,S006,Removal/reconstitution experiment.,183,mapped_triplet
M4-FUNG-0004:R006,M4-FUNG-0004,R006,atoxigenic A. flavus AF36,suppresses_contextually,realized AF13 aflatoxin contamination in cotton,,S008,Co-inoculation/ecological interaction.,184,mapped_triplet
M4-FUNG-0004:R007,M4-FUNG-0004,R007,atfC,located_outside,BGC0000006,,S005,atfC lies in a 310-kb AF13-specific chromosome-1 insertion.,185,mapped_triplet
M4-FUNG-0004:R008,M4-FUNG-0004,R008,atfC,modifies,oxidative-stress tolerance; aflatoxin effect remains context-dependent,,S005,Do not encode as a direct BGC regulator.,186,mapped_triplet
M4-FUNG-0005:R001,M4-FUNG-0005,R001,BGC0000007,encoded_by,AY510452.1:1-82511,,S001,,182,mapped_triplet
M4-FUNG-0005:R002,M4-FUNG-0005,R002,BN008R / ATCC MYA-379,current_literature_assignment,Aspergillus aflatoxiformans,,S007; S008,MIBiG retains historical A. flavus label.,183,mapped_triplet
M4-FUNG-0005:R003,M4-FUNG-0005,R003,BN008R,produces,aflatoxin B1 and aflatoxin G1,,S001; S002; S003; S005,,184,mapped_triplet
M4-FUNG-0005:R004,M4-FUNG-0005,R004,urea nitrogen,promotes_contextually,BN008R B1/G1 accumulation relative to ammonium,,S002,Large effect at both 45 and 100 mM N.,185,mapped_triplet
M4-FUNG-0005:R005,M4-FUNG-0005,R005,very acidic pH,suppresses_contextually,BN008R B1/G1 accumulation,,S005,Opposite directional pattern to typical SB A. flavus under tested conditions.,186,mapped_triplet
M4-FUNG-0005:R006,M4-FUNG-0005,R006,aflR transcript,imperfectly_predicts,BN008R aflatoxin output across pH,,S005,"r²=0.25, P=0.5.",187,mapped_triplet
M4-FUNG-0005:R007,M4-FUNG-0005,R007,cypA,required_for,G-aflatoxin branch,,S004,Mechanistic evidence from A. parasiticus.,188,mapped_triplet
M4-FUNG-0006:R001,M4-FUNG-0006,R001,BGC0000008,encoded_by,AY510453.1:1-75829,,S001,,179,mapped_triplet
M4-FUNG-0006:R002,M4-FUNG-0006,R002,AF70,has_strain_taxonomy,A. flavus AF70 / ATCC MYA-384 (strain TaxID 1392242),,S002,,180,mapped_triplet
M4-FUNG-0006:R003,M4-FUNG-0006,R003,AF70,produces,aflatoxin B1 and aflatoxin B2,,S001; S003; S005; S006,,181,mapped_triplet
M4-FUNG-0006:R004,M4-FUNG-0006,R004,ground corn,promotes_contextually,AF70 aflatoxin-cluster transcription and AFB1 output relative to PDB,,S006,,182,mapped_triplet
M4-FUNG-0006:R005,M4-FUNG-0006,R005,Hbx1,supports,AF70 development and aflatoxin production,,S008; S009,Global developmental regulator.,183,mapped_triplet
M4-FUNG-0006:R006,M4-FUNG-0006,R006,FhpA,negatively_modulates_contextually,AF70 AFB1 production,,S010,Deletion increased AFB1; complementation unavailable.,184,mapped_triplet
M4-FUNG-0006:R007,M4-FUNG-0006,R007,AF70 aflF/aflU region,has_state,S-morphotype deletion/degeneration,,S004; S005,Explains B-only product repertoire.,185,mapped_triplet
M4-FUNG-0006:R008,M4-FUNG-0006,R008,AF70 cluster genotype,differs_extensively_from,NRRL3357 aflatoxin cluster,,S005,Large SNP/indel burden.,186,mapped_triplet
M4-FUNG-0007:R001,M4-FUNG-0007,R001,BGC0000009,encoded_by,AY510454.1:1-75352,,S001,,180,mapped_triplet
M4-FUNG-0007:R002,M4-FUNG-0007,R002,NRRL 13137,current_species_name,Aspergillus nomiae,,S002; S003,MIBiG and historical literature use A. nomius.,181,mapped_triplet
M4-FUNG-0007:R003,M4-FUNG-0007,R003,NRRL 13137,produces,aflatoxin B1/B2/G1/G2,,S004; S005; S007,,182,mapped_triplet
M4-FUNG-0007:R004,M4-FUNG-0007,R004,intact aflU/cypA,supports,G-aflatoxin branch competence,,S004,,183,mapped_triplet
M4-FUNG-0007:R005,M4-FUNG-0007,R005,high initial spore density in peptone medium,suppresses_contextually,NRRL 13137 aflatoxin biosynthesis,,S006,Especially ≥10^5 spores/mL.,184,mapped_triplet
M4-FUNG-0007:R006,M4-FUNG-0007,R006,high initial spore density in glucose medium,promotes_contextually,NRRL 13137 aflatoxin biosynthesis,,S006,Opposite directional response to peptone medium.,185,mapped_triplet
M4-FUNG-0007:R007,M4-FUNG-0007,R007,arachidin-3,suppresses_contextually,NRRL 13137 growth/development and AFB1 accumulation,,S007,Ecological phytoalexin interaction.,186,mapped_triplet
M4-FUNG-0007:R008,M4-FUNG-0007,R008,temperature,differentially_controls,A. nomiae growth/transcript state versus final toxin output,,S009,Species-comparative evidence.,187,mapped_triplet
M4-FUNG-0008:R001,M4-FUNG-0008,R001,BGC0000010,encoded_by,AY510455.1:1-78264,,S001; S002,,174,mapped_triplet
M4-FUNG-0008:R002,M4-FUNG-0008,R002,AF36,belongs_to_VCG,YV36,,S006; S007,,175,mapped_triplet
M4-FUNG-0008:R003,M4-FUNG-0008,R003,AF36,has_mating_type,MAT1-2,,S007,,176,mapped_triplet
M4-FUNG-0008:R004,M4-FUNG-0008,R004,aflC/pksA nt591 G→A,causes,premature stop codon / nonfunctional PKS,,S003,,177,mapped_triplet
M4-FUNG-0008:R005,M4-FUNG-0008,R005,nonfunctional PksA,prevents,aflatoxin pathway biochemical execution,,S003,First committed polyketide step is blocked.,178,mapped_triplet
M4-FUNG-0008:R006,M4-FUNG-0008,R006,AF36/YV36 field application,suppresses_ecologically,aflatoxin contamination from toxigenic A. flavus populations,,S009,Population replacement/competitive exclusion.,179,mapped_triplet
M4-FUNG-0008:R007,M4-FUNG-0008,R007,MIBiG aflatoxin compound annotation,does_not_equal,native AF36 product evidence,,S001; S003,,180,mapped_triplet
M4-FUNG-0009:R001,M4-FUNG-0009,R001,BGC0000011,encoded_by,AY092402.3:1-59535,,S001; S002,,178,mapped_triplet
M4-FUNG-0009:R002,M4-FUNG-0009,R002,SRRC 1432,same_strain_as,CBS 550.77 / NRRL 28622 / ATCC 38873,,S003,Ex-type strain aliases.,179,mapped_triplet
M4-FUNG-0009:R003,M4-FUNG-0009,R003,A. ochraceoroseus,produces,sterigmatocystin + aflatoxin B1 + aflatoxin B2,,S001; S005,,180,mapped_triplet
M4-FUNG-0009:R004,M4-FUNG-0009,R004,A. ochraceoroseus aflR,complements,A. nidulans aflR mutant,,S004,Restores ST production.,181,mapped_triplet
M4-FUNG-0009:R005,M4-FUNG-0009,R005,A. ochraceoroseus aflQ/ordA,located_outside,BGC0000011,,S006,,182,mapped_triplet
M4-FUNG-0009:R006,M4-FUNG-0009,R006,A. ochraceoroseus aflQ/ordA,complements,A. parasiticus aflQ mutant,,S006,Restores AF production.,183,mapped_triplet
M4-FUNG-0009:R007,M4-FUNG-0009,R007,BGC0000011 architecture,resembles,A. nidulans sterigmatocystin cluster,,S004,,184,mapped_triplet
M4-FUNG-0010:R001,M4-FUNG-0010,R001,BGC0000012,encoded_by,AB120221.1:1-21971,,S001; S002,,161,mapped_triplet
M4-FUNG-0010:R002,M4-FUNG-0010,R002,Alt5 / PKSN,produces,alternapyrone,,S003,Direct heterologous expression evidence.,162,mapped_triplet
M4-FUNG-0010:R003,M4-FUNG-0010,R003,Alt1,predicted_function,cytochrome P450 tailoring,,S001; S003,No direct A. solani reaction assignment.,163,mapped_triplet
M4-FUNG-0010:R004,M4-FUNG-0010,R004,Alt2,predicted_function,cytochrome P450 tailoring,,S001; S003; S008,Homolog Alt2′ has direct oxidative function in another fungus.,164,mapped_triplet
M4-FUNG-0010:R005,M4-FUNG-0010,R005,Alt3,predicted_function,cytochrome P450 tailoring,,S001; S003; S008,Homolog Alt3′ has direct oxidative function in another fungus.,165,mapped_triplet
M4-FUNG-0010:R006,M4-FUNG-0010,R006,Alt4,predicted_function,FAD/FMN-dependent oxidative tailoring,,S001; S003,No direct A. solani reaction assignment.,166,mapped_triplet
M4-FUNG-0010:R007,M4-FUNG-0010,R007,alternapyrone,may_be,core intermediate / released PKS product rather than proven full-cluster end product,,S003; S005,Key Atlas distinction.,167,mapped_triplet
M4-FUNG-0010:R008,M4-FUNG-0010,R008,BGC0000012-like clusters,distributed_across,multiple Pleosporalean/Dothideomycete fungi,,S009,Presence does not prove expression/product.,168,mapped_triplet
M4-FUNG-0011:R001,M4-FUNG-0011,R001,BGC0000013 displayed region,located_on,"A. nidulans chromosome IV / BN001304.1:1,099,810–1,145,772",,S001; S002,,159,mapped_triplet
M4-FUNG-0011:R002,M4-FUNG-0011,R002,compact functional locus,spans,"BN001304.1:1,119,810–1,127,658",,S001,,160,mapped_triplet
M4-FUNG-0011:R003,M4-FUNG-0011,R003,PkgA,synthesizes,alternariol/isocoumarin polyketide backbone,,S003,,161,mapped_triplet
M4-FUNG-0011:R004,M4-FUNG-0011,R004,PkgB,enables_efficient_release_of,PkgA polyketide product,,S003,,162,mapped_triplet
M4-FUNG-0011:R005,M4-FUNG-0011,R005,PkgA + PkgB direct induction,produces,alternariol + dehydrocitreoisocoumarin + minor isocoumarins,,S003,,163,mapped_triplet
M4-FUNG-0011:R006,M4-FUNG-0011,R006,nearby putative TF induction,fails_to_produce,detectable new natural product under tested conditions,,S003,,164,mapped_triplet
M4-FUNG-0011:R007,M4-FUNG-0011,R007,MIBiG historical alternariol structure reference,does_not_establish,A. nidulans production,,S001; S007,A. nidulans production is established by Ahuja et al. 2012.,165,mapped_triplet
M4-FUNG-0011:R008,M4-FUNG-0011,R008,sterigmatocystin-deficient background,reduces_confounding_for,induced natural-product discovery,,S003,Also potentially changes precursor competition.,166,mapped_triplet
M4-FUNG-0012:R001,M4-FUNG-0012,R001,BGC0000022,displayed_on,"AACD01000015.1:109,597–170,464",,S001,MIBiG displayed region.,166,mapped_triplet
M4-FUNG-0012:R002,M4-FUNG-0012,R002,MIBiG locus feature,spans,"AACD01000015.1:111,993–153,232",,S001,"41,240 bp nested feature.",167,mapped_triplet
M4-FUNG-0012:R003,M4-FUNG-0012,R003,functional afo programme,contains_required,afoA + afoB/afoC/afoD/afoE/afoF/afoG,,S003; S004,,168,mapped_triplet
M4-FUNG-0012:R004,M4-FUNG-0012,R004,AN1030,coexpressed_with,asperfuranone cluster under ScpR activation,,S004,,169,mapped_triplet
M4-FUNG-0012:R005,M4-FUNG-0012,R005,AN1030,not_required_for,asperfuranone production in deletion assay,,S003,,170,mapped_triplet
M4-FUNG-0012:R006,M4-FUNG-0012,R006,AfoG,supplies_starter_to,AfoE,,S003; S007,Sequential dual-PKS biosynthesis.,171,mapped_triplet
M4-FUNG-0012:R007,M4-FUNG-0012,R007,AfoD deletion,accumulates,preasperfuranone,,S003,,172,mapped_triplet
M4-FUNG-0012:R008,M4-FUNG-0012,R008,ScpR chromosome-II regulator,activates_via,AfoA on chromosome VIII,,S004,Cross-BGC/cross-chromosome regulation.,173,mapped_triplet
M4-FUNG-0012:R009,M4-FUNG-0012,R009,AfoB,supports,product transport/recovery,,S003; S007,Deletion reduces but does not eliminate final product.,174,mapped_triplet
M4-FUNG-0013:R001,M4-FUNG-0013,R001,BGC0000027,encoded_by,KC148521.1:1-80000,,S001; S002,,175,mapped_triplet
M4-FUNG-0013:R002,M4-FUNG-0013,R002,M. purpureus discovery locus,homologous_to,M. pilosus BGC0000027,,S003,Functional evidence transferred with provenance.,176,mapped_triplet
M4-FUNG-0013:R003,M4-FUNG-0013,R003,MpPKS5,required_for,Monascus azaphilone pigment backbone,,S003,,177,mapped_triplet
M4-FUNG-0013:R004,M4-FUNG-0013,R004,MppR1,regulates,MpPKS5 / pigment pathway access,,S003,W13 upstream insertion represses both.,178,mapped_triplet
M4-FUNG-0013:R005,M4-FUNG-0013,R005,MpFAS2,supplies,short-chain C8/C10 acyl moieties for pigment decoration,,S004,,179,mapped_triplet
M4-FUNG-0013:R006,M4-FUNG-0013,R006,MppE,promotes,yellow ankaflavin/monascin branch,,S005,,180,mapped_triplet
M4-FUNG-0013:R007,M4-FUNG-0013,R007,MppG,promotes,orange rubropunctatin/monascorubrin branch,,S006,,181,mapped_triplet
M4-FUNG-0013:R008,M4-FUNG-0013,R008,mppE overexpression phenotype,depends_on,culture method,,S005,Experimental architecture is a context modifier.,182,mapped_triplet
M4-FUNG-0014:R001,M4-FUNG-0014,R001,BGC0000030,displayed_on,"HF679027.1:82,202–128,472 / chromosome V",,S001; S002,,164,mapped_triplet
M4-FUNG-0014:R002,M4-FUNG-0014,R002,functional bik core,spans,"FFUJ_06742–FFUJ_06747 / 102,202–119,287",,S001; S003,,165,mapped_triplet
M4-FUNG-0014:R003,M4-FUNG-0014,R003,Bik1,produces,pre-bikaverin polyketide scaffold,,S003; S004; S005,,166,mapped_triplet
M4-FUNG-0014:R004,M4-FUNG-0014,R004,Bik2,oxidizes,bikaverin pathway intermediates,,S003; S005,,167,mapped_triplet
M4-FUNG-0014:R005,M4-FUNG-0014,R005,Bik3,methylates,bikaverin pathway intermediates,,S003; S005,,168,mapped_triplet
M4-FUNG-0014:R006,M4-FUNG-0014,R006,Bik4,positively_regulates,bik1/bik2/bik3 expression,,S003,,169,mapped_triplet
M4-FUNG-0014:R007,M4-FUNG-0014,R007,Bik5,positively_regulates,bik1/bik4/bik6 and pathway output,,S003,,170,mapped_triplet
M4-FUNG-0014:R008,M4-FUNG-0014,R008,Bik6,supports,bikaverin export/recovery,,S003,,171,mapped_triplet
M4-FUNG-0014:R009,M4-FUNG-0014,R009,PacC,represses_under,alkaline pH,,S003,,172,mapped_triplet
M4-FUNG-0014:R010,M4-FUNG-0014,R010,high nitrogen,represses,bik1–bik6 transcription,,S003; S006,AreA-independent in defining study.,173,mapped_triplet
M4-FUNG-0014:R011,M4-FUNG-0014,R011,ralsolamycin,induces,bik1/bik2/bik3 transcription and bikaverin production,,S008,Works under both high and low nitrogen.,174,mapped_triplet
M4-FUNG-0014:R012,M4-FUNG-0014,R012,bikaverin,reduces,Ralstonia invasion frequency in chlamydospores,,S008,Ecological defensive phenotype.,175,mapped_triplet
M4-FUNG-0015:R001,M4-FUNG-0015,R001,BGC0000037 display region,located_on,"BN001301.1 chromosome I:119,085–166,905",,S001; S002,,165,mapped_triplet
M4-FUNG-0015:R002,M4-FUNG-0015,R002,MIBiG locus feature,corresponds_primarily_to,"cicF/PKS at 139,085–146,905",,S001,,166,mapped_triplet
M4-FUNG-0015:R003,M4-FUNG-0015,R003,CicF,produces,3-methylorsellinic acid scaffold,,S003; S004,,167,mapped_triplet
M4-FUNG-0015:R004,M4-FUNG-0015,R004,CicB deletion,accumulates,3-methylorsellinic acid,,S003,,168,mapped_triplet
M4-FUNG-0015:R005,M4-FUNG-0015,R005,CicC deletion,accumulates,nidulol,,S003,,169,mapped_triplet
M4-FUNG-0015:R006,M4-FUNG-0015,R006,CicD,positively_regulates,cichorine pathway and derivative production,,S003; S007,,170,mapped_triplet
M4-FUNG-0015:R007,M4-FUNG-0015,R007,CicG,not_required_for,cichorine production under YES deletion assay,,S003,,171,mapped_triplet
M4-FUNG-0015:R008,M4-FUNG-0015,R008,cichorine-derived precursor,contributes_to,aspercryptin assembled by separate BGC,,S005,Cross-BGC chemistry.,172,mapped_triplet
M4-FUNG-0015:R009,M4-FUNG-0015,R009,acidified extraction,reveals,otherwise missed ionizable pathway intermediates,,S003,Analytical observability relationship.,173,mapped_triplet
M4-FUNG-0015:R010,M4-FUNG-0015,R010,local cic cluster,likely_requires_extra_cluster_function_for,lactone-to-lactam conversion,,S003,Specific enzyme unresolved.,174,mapped_triplet
M4-FUNG-0016:R001,M4-FUNG-0016,R001,MlcA,builds,compactin nonaketide core,,S005,,156,mapped_triplet
M4-FUNG-0016:R002,M4-FUNG-0016,R002,MlcG,partners_with,MlcA reductive programming,,S005,,157,mapped_triplet
M4-FUNG-0016:R003,M4-FUNG-0016,R003,MlcB,synthesizes,compactin diketide side chain,,S005,,158,mapped_triplet
M4-FUNG-0016:R004,M4-FUNG-0016,R004,MlcH,couples,diketide side chain + ML-236A → compactin,,S005,,159,mapped_triplet
M4-FUNG-0016:R005,M4-FUNG-0016,R005,MlcR,positively_regulates,mlc biosynthetic genes,,S005; S006,,160,mapped_triplet
M4-FUNG-0016:R006,M4-FUNG-0016,R006,MlcD,confers,compactin target resistance,,S004,,161,mapped_triplet
M4-FUNG-0016:R007,M4-FUNG-0016,R007,MlcE,predicted_to_support,compactin efflux/self-resistance,,S001; S005,Substrate-specific transport not directly measured.,162,mapped_triplet
M4-FUNG-0017:R001,M4-FUNG-0017,R001,BGC0000045,encoded_by,JX971534.1:1-31000,,S001; S002,,163,mapped_triplet
M4-FUNG-0017:R002,M4-FUNG-0017,R002,AtCURS1,supplies_starter_to,AtCURS2,,S003,Reduced tetraketide transfer.,164,mapped_triplet
M4-FUNG-0017:R003,M4-FUNG-0017,R003,AtCURS2,produces_with_AtCURS1,"10,11-dehydrocurvularin",,S003,,165,mapped_triplet
M4-FUNG-0017:R004,M4-FUNG-0017,R004,CurR,predicted_to_regulate,dehydrocurvularin locus,,S003,No native knockout/overexpression in defining work.,166,mapped_triplet
M4-FUNG-0017:R005,M4-FUNG-0017,R005,CurE,predicted_to_export,dehydrocurvularin,,S003,Native role plausible; heterologous host substitutes export.,167,mapped_triplet
M4-FUNG-0017:R006,M4-FUNG-0017,R006,AtCURS1 + AtCURS2,sufficient_for,heterologous final-product formation,,S003,,168,mapped_triplet
M4-FUNG-0017:R007,M4-FUNG-0017,R007,starter-unit feeding,bypasses,AtCURS1 requirement experimentally,,S003,Used to interrogate CurS2 programming.,169,mapped_triplet
M4-FUNG-0017:R008,M4-FUNG-0017,R008,A. terreus NIH2624,lacks,producer-strain curS1/curS2 orthologs,,S003,Strain-specific pathway presence.,170,mapped_triplet
M4-FUNG-0018:R001,M4-FUNG-0018,R001,BGC0000046,encoded_by,FJ977165.1:1–25000,,S001,,162,mapped_triplet
M4-FUNG-0018:R002,M4-FUNG-0018,R002,DEP6,positively_regulates,DEP1–DEP5,,S003,Immediate flanking genes are not co-regulated.,163,mapped_triplet
M4-FUNG-0018:R003,M4-FUNG-0018,R003,DEP5,required_for,depudecin polyketide scaffold formation,,S003,,164,mapped_triplet
M4-FUNG-0018:R004,M4-FUNG-0018,R004,DEP2,required_for,oxidative tailoring toward depudecin,,S003,,165,mapped_triplet
M4-FUNG-0018:R005,M4-FUNG-0018,R005,DEP4,required_for,oxidative tailoring toward depudecin,,S003,,166,mapped_triplet
M4-FUNG-0018:R006,M4-FUNG-0018,R006,DEP3,predicted_to_support,transport/export of depudecin or related function,,S003; S006,Direct native functional requirement unresolved.,167,mapped_triplet
M4-FUNG-0018:R007,M4-FUNG-0018,R007,depudecin,contributes_to,cabbage virulence,,S003,Small ~10% effect.,168,mapped_triplet
M4-FUNG-0018:R008,M4-FUNG-0018,R008,depudecin,not_required_detectably_for,Arabidopsis virulence in defining assay,,S003,,169,mapped_triplet
M4-FUNG-0018:R009,M4-FUNG-0018,R009,higher temperature 23→30°C,reduces,depudecin production,,S005,,170,mapped_triplet
M4-FUNG-0018:R010,M4-FUNG-0018,R010,reduced nitrate / ammonium substitution,increases_contextually,depudecin production at 23°C,,S005,,171,mapped_triplet
M4-FUNG-0018:R011,M4-FUNG-0018,R011,DEP cluster family,shows,horizontal transfer and recurrent partial degeneration across fungi,,S006,,172,mapped_triplet
M4-FUNG-0019:R001,M4-FUNG-0019,R001,BGC0000048,encodes_region,"DQ149246.3:1–52,829 / pksA mini-cluster",,S001,,193,mapped_triplet
M4-FUNG-0019:R002,M4-FUNG-0019,R002,dothistromin functional programme,distributed_across,six loci on chromosome 12,,S006; S007,,194,mapped_triplet
M4-FUNG-0019:R003,M4-FUNG-0019,R003,PksA,required_for,de novo dothistromin scaffold synthesis,,S002,,195,mapped_triplet
M4-FUNG-0019:R004,M4-FUNG-0019,R004,PksA mutant,retains,downstream precursor-to-dothistromin conversion competence,,S002,,196,mapped_triplet
M4-FUNG-0019:R005,M4-FUNG-0019,R005,DotA/Ver1 loss,accumulates,versicolorin A,,S003,,197,mapped_triplet
M4-FUNG-0019:R006,M4-FUNG-0019,R006,DsAflR,coordinates,multiple physically separated dothistromin loci,,S007,,198,mapped_triplet
M4-FUNG-0019:R007,M4-FUNG-0019,R007,DsLaeA,negatively_regulates,DsAflR and dothistromin output,,S009,,199,mapped_triplet
M4-FUNG-0019:R008,M4-FUNG-0019,R008,H3K27me3,represses_or_constrains,dispersed chromosome-12 dothistromin genes,,S010,,200,mapped_triplet
M4-FUNG-0019:R009,M4-FUNG-0019,R009,early exponential state,associates_with,high dothistromin-gene expression and production,,S005,,201,mapped_triplet
M4-FUNG-0019:R010,M4-FUNG-0019,R010,dothistromin,promotes,mesophyll colonization / lesion expansion / sporulation,,S008,,202,mapped_triplet
M4-FUNG-0019:R011,M4-FUNG-0019,R011,dothistromin,not_required_for,initial infection and disease-cycle completion,,S008,,203,mapped_triplet
M4-FUNG-0019:R012,M4-FUNG-0019,R012,chromosome-11 NorB,responds_to,DsAflR,,S007,Candidate extra-cluster pathway member.,204,mapped_triplet
M4-FUNG-0020:R001,M4-FUNG-0020,R001,BGC0000057 display region,located_on,"AACD01000135.1:108,096–154,597",,S001,,173,mapped_triplet
M4-FUNG-0020:R002,M4-FUNG-0020,R002,OrsA,produces,orsellinic acid,,S003; S004,,174,mapped_triplet
M4-FUNG-0020:R003,M4-FUNG-0020,R003,OrsA + OrsB + OrsC,required_for,F9775A/F9775B local biosynthesis,,S003,,175,mapped_triplet
M4-FUNG-0020:R004,M4-FUNG-0020,R004,OrsB deletion,accumulates,gerfelin + C10-deoxygerfelin + orsellinic acid,,S003,,176,mapped_triplet
M4-FUNG-0020:R005,M4-FUNG-0020,R005,OrsC deletion,accumulates,diorcinol + orsellinic acid,,S003,,177,mapped_triplet
M4-FUNG-0020:R006,M4-FUNG-0020,R006,AN7913–AN7915,coinduced_but_not_required_for,OA/F9775A/B under targeted-deletion conditions,,S003; S005,,178,mapped_triplet
M4-FUNG-0020:R007,M4-FUNG-0020,R007,S. rapamycinicus physical contact,induces,ors transcription and OA/lecanoric acid/F9775 chemistry,,S004,,179,mapped_triplet
M4-FUNG-0020:R008,M4-FUNG-0020,R008,SAGA/ADA GcnE/AdaB,required_for,bacteria-induced ors activation,,S006,,180,mapped_triplet
M4-FUNG-0020:R009,M4-FUNG-0020,R009,CclA loss,derepresses,ors/F9775 programme,,S005; S009,,181,mapped_triplet
M4-FUNG-0020:R010,M4-FUNG-0020,R010,VeA,represses_contextually,ors/F9775 programme,,S007,,182,mapped_triplet
M4-FUNG-0020:R011,M4-FUNG-0020,R011,MvlA overexpression,suppresses,ΔveA/ΔcclA F9775 activation,,S007,,183,mapped_triplet
M4-FUNG-0020:R012,M4-FUNG-0020,R012,stationary liquid Czapek culture,enables,wild-type OA/F9775 production,,S003,,184,mapped_triplet
M4-FUNG-0021:R001,M4-FUNG-0021,R001,BGC0000062,encoded_by,AF155773.5,,S001; S011,,177,mapped_triplet
M4-FUNG-0021:R002,M4-FUNG-0021,R002,Fum21,positively_regulates,most FUM biosynthetic genes,,S005,,178,mapped_triplet
M4-FUNG-0021:R003,M4-FUNG-0021,R003,Fum1,precedes,Fum8 in pathway order,,S006,,179,mapped_triplet
M4-FUNG-0021:R004,M4-FUNG-0021,R004,Fum8,precedes,Fum6-dependent oxidation,,S006,,180,mapped_triplet
M4-FUNG-0021:R005,M4-FUNG-0021,R005,Fum13,reduces,C3 carbonyl to C3 hydroxyl,,S018,,181,mapped_triplet
M4-FUNG-0021:R006,M4-FUNG-0021,R006,Fum2,controls,C10 hydroxylation/congener class,,S012; S019,,182,mapped_triplet
